occurrence_id	page	locus	section	language	hand	token_index	token_count	surface	stem	terminal	distance_from_end	position_class	any_line_final	multi_line_final	single_token_line	semantic_ceiling
GDT800-O0001	f100r	f100r.14	P	A	1	6	10	qokeol	qokeo	l	4	INTERNAL	False	False	False	FORMAL_TERMINAL_OCCURRENCE__NO_MEANING
GDT800-O0002	f100r	f100r.14	P	A	1	9	10	otal	ota	l	1	INTERNAL	False	False	False	FORMAL_TERMINAL_OCCURRENCE__NO_MEANING
GDT800-O0003	f100r	f100r.15	P	A	1	2	7	shol	sho	l	5	INTERNAL	False	False	False	FORMAL_TERMINAL_OCCURRENCE__NO_MEANING
GDT800-O0004	f100r	f100r.15	P	A	1	5	7	chol	cho	l	2	INTERNAL	False	False	False	FORMAL_TERMINAL_OCCURRENCE__NO_MEANING
GDT800-O0005	f100r	f100r.18	P	A	1	1	1	orol	oro	l	0	SINGLE	True	False	True	FORMAL_TERMINAL_OCCURRENCE__NO_MEANING
GDT800-O0006	f100r	f100r.19	P	A	1	1	1	olcheom	olcheo	m	0	SINGLE	True	False	True	FORMAL_TERMINAL_OCCURRENCE__NO_MEANING
GDT800-O0007	f100r	f100r.20	P	A	1	1	1	oteol	oteo	l	0	SINGLE	True	False	True	FORMAL_TERMINAL_OCCURRENCE__NO_MEANING
GDT800-O0008	f100r	f100r.22	P	A	1	5	9	cphol	cpho	l	4	INTERNAL	False	False	False	FORMAL_TERMINAL_OCCURRENCE__NO_MEANING
GDT800-O0009	f100r	f100r.23	P	A	1	2	12	chol	cho	l	10	INTERNAL	False	False	False	FORMAL_TERMINAL_OCCURRENCE__NO_MEANING
GDT800-O0010	f100r	f100r.23	P	A	1	3	12	cphol	cpho	l	9	INTERNAL	False	False	False	FORMAL_TERMINAL_OCCURRENCE__NO_MEANING
GDT800-O0011	f100r	f100r.23	P	A	1	4	12	shol	sho	l	8	INTERNAL	False	False	False	FORMAL_TERMINAL_OCCURRENCE__NO_MEANING
GDT800-O0012	f100r	f100r.23	P	A	1	5	12	shol	sho	l	7	INTERNAL	False	False	False	FORMAL_TERMINAL_OCCURRENCE__NO_MEANING
GDT800-O0013	f100r	f100r.23	P	A	1	6	12	qockhol	qockho	l	6	INTERNAL	False	False	False	FORMAL_TERMINAL_OCCURRENCE__NO_MEANING
GDT800-O0014	f100r	f100r.23	P	A	1	8	12	chol	cho	l	4	INTERNAL	False	False	False	FORMAL_TERMINAL_OCCURRENCE__NO_MEANING
GDT800-O0015	f100r	f100r.24	P	A	1	9	10	cheol	cheo	l	1	INTERNAL	False	False	False	FORMAL_TERMINAL_OCCURRENCE__NO_MEANING
GDT800-O0016	f100r	f100r.25	P	A	1	3	10	chol	cho	l	7	INTERNAL	False	False	False	FORMAL_TERMINAL_OCCURRENCE__NO_MEANING
GDT800-O0017	f100r	f100r.25	P	A	1	6	10	olcheol	olcheo	l	4	INTERNAL	False	False	False	FORMAL_TERMINAL_OCCURRENCE__NO_MEANING
GDT800-O0018	f100r	f100r.25	P	A	1	8	10	cheol	cheo	l	2	INTERNAL	False	False	False	FORMAL_TERMINAL_OCCURRENCE__NO_MEANING
GDT800-O0019	f100r	f100r.25	P	A	1	10	10	okeol	okeo	l	0	FINAL	True	True	False	FORMAL_TERMINAL_OCCURRENCE__NO_MEANING
GDT800-O0020	f100r	f100r.26	P	A	1	3	10	chol	cho	l	7	INTERNAL	False	False	False	FORMAL_TERMINAL_OCCURRENCE__NO_MEANING
GDT800-O0021	f100r	f100r.26	P	A	1	7	10	qokeol	qokeo	l	3	INTERNAL	False	False	False	FORMAL_TERMINAL_OCCURRENCE__NO_MEANING
GDT800-O0022	f100r	f100r.26	P	A	1	8	10	okeeol	okeeo	l	2	INTERNAL	False	False	False	FORMAL_TERMINAL_OCCURRENCE__NO_MEANING
GDT800-O0023	f100r	f100r.26	P	A	1	10	10	al	a	l	0	FINAL	True	True	False	FORMAL_TERMINAL_OCCURRENCE__NO_MEANING
GDT800-O0024	f100r	f100r.27	P	A	1	1	5	chol	cho	l	4	FIRST	False	False	False	FORMAL_TERMINAL_OCCURRENCE__NO_MEANING
GDT800-O0025	f100r	f100r.27	P	A	1	2	5	cheol	cheo	l	3	INTERNAL	False	False	False	FORMAL_TERMINAL_OCCURRENCE__NO_MEANING
