event_id	record	statement_id	surface	family	small_value_de	role	terminal
E014	H1	H1-S002	cthy	CTH_READY	bereit	RELEASE_OR_AVAILABILITY_GATE	NO
E016	H2	H2-S001	cthy	CTH_READY	bereit	RELEASE_OR_AVAILABILITY_GATE	NO
E054	H3	H3-S004	cthy	CTH_READY	bereit	RELEASE_OR_AVAILABILITY_GATE	NO
E125	B1	B1-S004	shedy	SHED_SETTLE	absetzen; Schluss	REST_OR_SETTLE_OPERATION	YES
E136	B1	B1-S008	shedy	SHED_SETTLE	absetzen; Schluss	REST_OR_SETTLE_OPERATION	YES
E155	B1	B1-S016	cheedy	SHED_SETTLE	absetzen; Schluss	REST_OR_SETTLE_OPERATION	YES
E163	B1	B1-S019	tedy	SHED_SETTLE	absetzen; Schluss	REST_OR_SETTLE_OPERATION	YES
E192	B2	B2-S008	shedy	SHED_SETTLE	absetzen; Schluss	REST_OR_SETTLE_OPERATION	YES
E193	B2	B2-S009	solshedy	SHED_SETTLE	mit Vorigem absetzen; Schluss	REST_OR_SETTLE_OPERATION	YES
E204	B2	B2-S012	qcthey	CTH_READY	bereit	RELEASE_OR_AVAILABILITY_GATE	NO
E255	B3	B3-S012	shedy	SHED_SETTLE	absetzen; Schluss	REST_OR_SETTLE_OPERATION	YES
E258	B3	B3-S013	shcthey	CTH_READY	bereit	RELEASE_OR_AVAILABILITY_GATE	NO
E261	B3	B3-S014	sheedy	SHED_SETTLE	länger absetzen; Schluss	REST_OR_SETTLE_OPERATION	YES
E266	B3	B3-S018	shedy	SHED_SETTLE	absetzen; Schluss	REST_OR_SETTLE_OPERATION	YES
E267	B3	B3-S019	qokshedy	SHED_SETTLE	zum Absetzen stellen; Schluss	REST_OR_SETTLE_OPERATION	YES
E271	B3	B3-S021	shcthy	CTH_READY	bereit	RELEASE_OR_AVAILABILITY_GATE	NO
E275	B3	B3-S021	shedal	SHED_SETTLE	Absetzstelle	REST_OR_SETTLE_OPERATION	NO
E279	B3	B3-S021	shcthy	CTH_READY	bereit	RELEASE_OR_AVAILABILITY_GATE	NO
E289	B3	B3-S026	checthy	CTH_READY	bereit	RELEASE_OR_AVAILABILITY_GATE	NO
E310	B3	B3-S034	checthy	CTH_READY	bereit	RELEASE_OR_AVAILABILITY_GATE	NO
E314	B3	B3-S034	shedy	SHED_SETTLE	absetzen; Schluss	REST_OR_SETTLE_OPERATION	YES
E325	B4	B4-S003	shedy	SHED_SETTLE	absetzen; Schluss	REST_OR_SETTLE_OPERATION	YES
E336	B4	B4-S009	shedy	SHED_SETTLE	absetzen; Schluss	REST_OR_SETTLE_OPERATION	YES
E347	B4	B4-S013	shedy	SHED_SETTLE	absetzen; Schluss	REST_OR_SETTLE_OPERATION	YES
E361	B4	B4-S016	shedy	SHED_SETTLE	absetzen; Schluss	REST_OR_SETTLE_OPERATION	YES
E364	B5	B5-S003	shedal	SHED_SETTLE	Absetzstelle	REST_OR_SETTLE_OPERATION	NO
