unit_id	page	before_reading_de	after_reading_de	changed	composition_improvement_de
H1	f10r	Von der Bildpflanze die Wurzel nehmen. Mit Wasser im Gefäß ansetzen, trennen und den Auszug sammeln. Die örtliche Portion als Endprodukt verwenden; den Rückstand verwahren.	Von der Bildpflanze die Wurzel nehmen. Mit Wasser im Gefäß ansetzen, trennen und den Auszug sammeln. Die örtliche Portion als Mittel verwenden; den Rückstand verwahren.	YES	Mittel ersetzt das moderne Endprodukt.
H2	f10r	Jungen Spross und Blatt der Bildpflanze nehmen, teilen und durch Tuch auswringen. Den Auszug in örtlicher Portion mit dem Träger im Gefäß ansetzen und als Auftrag verwenden.	Jungen Spross und Blatt der Bildpflanze nehmen, teilen und durch Tuch auswringen. Den Auszug in örtlicher Portion mit dem Trägerstoff im Gefäß ansetzen und als Auftrag verwenden.	YES	Trägerstoff benennt die Stoffrolle.
H3	f11r	Blüte und Blatt der Bildpflanze im Auszugsmedium ansetzen, durch Tuch auswringen, absetzen und nachseihen. Den Auszug als Endprodukt halten; einen Teil mit Träger als Auftrag verwenden.	Blüte und Blatt der Bildpflanze in Auszugsflüssigkeit ansetzen, durch Tuch auswringen, absetzen und nachseihen. Den Auszug als Mittel halten; einen Teil mit Trägerstoff als Auftrag verwenden.	YES	Auszugsflüssigkeit, Mittel und Trägerstoff bilden eine lesbare Kette.
H4	f55v	Blatt der Bildpflanze mit Auszugsmedium im Gefäß ansetzen und halten. Durch Tuch auswringen, den Auszug sammeln, mit Binder verbinden und als Auftrag verwenden.	Blatt der Bildpflanze mit Auszugsflüssigkeit im Gefäß ansetzen und halten. Durch Tuch auswringen, den Auszug sammeln, mit Bindestoff verbinden und als Auftrag verwenden.	YES	Auszugsflüssigkeit und Bindestoff werden zu Werkstattnomen.
H5	f56r	Kraut der Bildpflanze mit Wasser und Auszugsmedium ansetzen. Durch Tuch trennen und den Auszug sammeln. Mit Binder als Endprodukt verwenden oder als Auftrag einsetzen.	Kraut der Bildpflanze mit Wasser und Auszugsflüssigkeit ansetzen. Durch Tuch trennen und den Auszug sammeln. Mit Bindestoff als Mittel verwenden oder als Auftrag einsetzen.	YES	Die zwei Verwendungswege enden nun beide in kurzen Nomen.
B1	f81v	Badende an der Beckenstation im Becken ansetzen. Waschflüssigkeit und Zusatz auf Temperatur bringen, für die Dauer halten und an der örtlichen Stelle waschen. Danach filtern, absetzen und zum Ablauf abführen.	Badende an der Beckenstation im Becken ansetzen. Waschflüssigkeit und Zusatz auf Temperatur bringen, für die Dauer halten und an der örtlichen Stelle waschen. Danach durch den Seihgang führen, absetzen und zum Ablauf abführen.	YES	Seihgang ist ein ausführbarer Arbeitsgang.
B2	f82r	An jeder Beckenstation die Öffnung wählen, Waschflüssigkeit am Einlass in den Flüssigkeitslauf führen und am Ablauf halten. Zusatz und Temperatur einstellen; die Badenden für die Dauer im Teilbad an der örtlichen Stelle halten und danach filtern.	An jeder Beckenstation die Öffnung wählen, Waschflüssigkeit am Einlass in den Flüssigkeitslauf führen und am Ablauf halten. Zusatz und Temperatur einstellen; die Badenden für die Dauer im Teilbad an der örtlichen Stelle halten und danach durch den Seihgang führen.	YES	Seihgang fügt sich als letzte Station ein.
B3	f83r	Badende und Beckenstation getrennt adressieren. Waschflüssigkeit durch die Öffnung in den Flüssigkeitslauf führen, an der örtlichen Stelle für die Dauer halten, filtern und im Auffanggefäß sammeln; danach am Ablauf abführen.	Badende und Beckenstation getrennt adressieren. Waschflüssigkeit durch die Öffnung in den Flüssigkeitslauf führen, an der örtlichen Stelle für die Dauer halten, durch den Seihgang führen und im Auffanggefäß sammeln; danach am Ablauf abführen.	YES	Seihgang liegt zwischen Halten und Auffangen.
B4	f83r	An der Beckenstation Waschflüssigkeit durch Öffnung und Einlass in den Flüssigkeitslauf führen. Das Tuch für die Dauer und Temperatur an der örtlichen Stelle der Badenden halten, filtern und am Ablauf abführen.	An der Beckenstation Waschflüssigkeit durch Öffnung und Einlass in den Flüssigkeitslauf führen. Das Tuch für Dauer und Temperatur an der örtlichen Stelle der Badenden halten, durch den Seihgang führen und am Ablauf abführen.	YES	Tuch und Seihgang sind nicht länger dasselbe Wort.
B5	f83r	Die Beckenstation an der Öffnung ansetzen. Waschflüssigkeit im Flüssigkeitslauf auf Temperatur bringen, für die Dauer an der örtlichen Stelle halten und am Ablauf abführen.	Die Beckenstation an der Öffnung ansetzen. Waschflüssigkeit im Flüssigkeitslauf auf Temperatur bringen, für die Dauer an der örtlichen Stelle halten und am Ablauf abführen.	NO	Keine der zwölf Revisionen betrifft diese Station.
