event_id	physical_page	source_page	locus	token_index	register	surface	component_recipe	source_slot_sequence	component_spoken_sequence_de	licensed_close	source_reading_de
P912-E0001	f10r	f10r	f10r.1	1	HERBAL	pchocthy	P+CH+O+CTH+Y	ACTION>ACTION>ACTION>ACTION>OWNER_CONTENT	einsetzen/beginnen; entnehmen/ablesen; den Gang ausführen; den Status prüfen; diesen Posten	NO	den Teil einsetzen; den Pflanzenteil entnehmen; den Verarbeitungsgang ausführen; den Zubereitungsstatus prüfen; diesen Posten
P912-E0002	f10r	f10r	f10r.1	2	HERBAL	shor	SH+OR	ACTION>OWNER_CONTENT	halten; den Ansatz/Inhalt	NO	den Ansatz halten; mit dem Pflanzenansatz
P912-E0003	f10r	f10r	f10r.1	3	HERBAL	octhody	O+CTH+O+D_ADDR+Y	ACTION>ACTION>ACTION>SOURCE_REFERENCE>OWNER_CONTENT	den Gang ausführen; den Status prüfen; den Gang ausführen; aus dem Teilfeld; diesen Posten	NO	den Verarbeitungsgang ausführen; den Zubereitungsstatus prüfen; den Verarbeitungsgang ausführen; an der Teiladresse; diesen Posten
P912-E0004	f10r	f10r	f10r.1	4	HERBAL	chorchy	CH+OR+CH+Y	ACTION>OWNER_CONTENT>ACTION>OWNER_CONTENT	entnehmen/ablesen; den Ansatz/Inhalt; entnehmen/ablesen; diesen Posten	NO	den Pflanzenteil entnehmen; mit dem Pflanzenansatz; den Pflanzenteil entnehmen; diesen Posten
P912-E0005	f10r	f10r	f10r.1	5	HERBAL	pchodol	P+CH+O+D_ADDR+OL	ACTION>ACTION>ACTION>SOURCE_REFERENCE>ORDER_CALL	einsetzen/beginnen; entnehmen/ablesen; den Gang ausführen; aus dem Teilfeld; weiter	NO	den Teil einsetzen; den Pflanzenteil entnehmen; den Verarbeitungsgang ausführen; an der Teiladresse; fortsetzen
P912-E0006	f10r	f10r	f10r.1	6	HERBAL	chopchal	CH+O+P+CH+AL	ACTION>ACTION>ACTION>ACTION>TARGET_PATH	entnehmen/ablesen; den Gang ausführen; einsetzen/beginnen; entnehmen/ablesen; zur Zielstelle	NO	den Pflanzenteil entnehmen; den Verarbeitungsgang ausführen; den Teil einsetzen; den Pflanzenteil entnehmen; zur Zielstelle
P912-E0007	f10r	f10r	f10r.1	7	HERBAL	ypch	Y+P+CH	OWNER_CONTENT>ACTION>ACTION	diesen Posten; einsetzen/beginnen; entnehmen/ablesen	NO	diesen Posten; den Teil einsetzen; den Pflanzenteil entnehmen
P912-E0008	f10r	f10r	f10r.1	8	HERBAL	kom	K+O+M_LOCAL	ACTION>ACTION>LOCAL_DETAIL	zugeben/zuordnen; den Gang ausführen; mit M-Kennzeichen	NO	Material zugeben; den Verarbeitungsgang ausführen; mit M-Kennzeichen
P912-E0009	f10r	f10r	f10r.2	1	HERBAL	dchey	CH+E+Y	ACTION>GRADE_STATE>OWNER_CONTENT	entnehmen/ablesen; kurz; diesen Posten	NO	den Pflanzenteil entnehmen; kurz; diesen Posten
P912-E0010	f10r	f10r	f10r.2	2	HERBAL	cthoor	CTH+O+OR	ACTION>ACTION>OWNER_CONTENT	den Status prüfen; den Gang ausführen; den Ansatz/Inhalt	NO	den Zubereitungsstatus prüfen; den Verarbeitungsgang ausführen; mit dem Pflanzenansatz
P912-E0011	f10r	f10r	f10r.2	3	HERBAL	char	AR	SOURCE_REFERENCE	von der Quellstelle	NO	von der Quellstelle
P912-E0012	f10r	f10r	f10r.2	4	HERBAL	chty	CH+T+Y	ACTION>ACTION>OWNER_CONTENT	entnehmen/ablesen; bearbeiten/markieren; diesen Posten	NO	den Pflanzenteil entnehmen; den Teil bearbeiten; diesen Posten
P912-E0013	f10r	f10r	f10r.2	5	HERBAL	os	OS	ORDER_CALL	auch	NO	ebenfalls
P912-E0014	f10r	f10r	f10r.2	6	HERBAL	chair	CH+AIR	ACTION>TARGET_PATH	entnehmen/ablesen; entlang des Laufs	NO	den Pflanzenteil entnehmen; entlang des Laufs
P912-E0015	f10r	f10r	f10r.2	7	HERBAL	otytchol	OT+Y+T+CH+OL	ORDER_CALL>OWNER_CONTENT>ACTION>ACTION>ORDER_CALL	danach; diesen Posten; bearbeiten/markieren; entnehmen/ablesen; weiter	NO	danach; diesen Posten; den Teil bearbeiten; den Pflanzenteil entnehmen; fortsetzen
P912-E0016	f10r	f10r	f10r.2	8	HERBAL	oky	OK+Y	ACTION>OWNER_CONTENT	ansetzen; diesen Posten	NO	die Zubereitung ansetzen; diesen Posten
P912-E0017	f10r	f10r	f10r.2	9	HERBAL	daiin	AIIN	QUANTITY_INDEX	nach Sollmaß	NO	nach Sollmaß
P912-E0018	f10r	f10r	f10r.2	10	HERBAL	etyd	E+T+Y	GRADE_STATE>ACTION>OWNER_CONTENT	kurz; bearbeiten/markieren; diesen Posten	NO	kurz; den Teil bearbeiten; diesen Posten
P912-E0019	f10r	f10r	f10r.3	1	HERBAL	qotor	OT+OR	ORDER_CALL>OWNER_CONTENT	danach; den Ansatz/Inhalt	NO	danach; mit dem Pflanzenansatz
P912-E0020	f10r	f10r	f10r.3	2	HERBAL	o	O	ACTION	den Gang ausführen	NO	den Verarbeitungsgang ausführen
P912-E0021	f10r	f10r	f10r.3	3	HERBAL	tchy	T+Y	ACTION>OWNER_CONTENT	bearbeiten/markieren; diesen Posten	NO	den Teil bearbeiten; diesen Posten
P912-E0022	f10r	f10r	f10r.3	4	HERBAL	daiin	AIIN	QUANTITY_INDEX	nach Sollmaß	NO	nach Sollmaß
P912-E0023	f10r	f10r	f10r.3	5	HERBAL	chocthy	CH+O+CTH+Y	ACTION>ACTION>ACTION>OWNER_CONTENT	entnehmen/ablesen; den Gang ausführen; den Status prüfen; diesen Posten	NO	den Pflanzenteil entnehmen; den Verarbeitungsgang ausführen; den Zubereitungsstatus prüfen; diesen Posten
P912-E0024	f10r	f10r	f10r.3	6	HERBAL	qotchy	OT+Y	ORDER_CALL>OWNER_CONTENT	danach; diesen Posten	NO	danach; diesen Posten
P912-E0025	f10r	f10r	f10r.3	7	HERBAL	chol	OL	ORDER_CALL	weiter	NO	fortsetzen
P912-E0026	f10r	f10r	f10r.3	8	HERBAL	or	OR	OWNER_CONTENT	den Ansatz/Inhalt	NO	mit dem Pflanzenansatz
P912-E0027	f10r	f10r	f10r.3	9	HERBAL	yty	Y+T+Y	OWNER_CONTENT>ACTION>OWNER_CONTENT	diesen Posten; bearbeiten/markieren; diesen Posten	NO	diesen Posten; den Teil bearbeiten; diesen Posten
P912-E0028	f10r	f10r	f10r.3	10	HERBAL	dy	Y	OWNER_CONTENT	diesen Posten	NO	diesen Posten
P912-E0029	f10r	f10r	f10r.3	11	HERBAL	dy	Y	OWNER_CONTENT	diesen Posten	NO	diesen Posten
P912-E0030	f10r	f10r	f10r.4	1	HERBAL	sor	S+OR	ACTION>OWNER_CONTENT	dann/prüfen; den Ansatz/Inhalt	NO	prüfen oder weitergehen; mit dem Pflanzenansatz
P912-E0031	f10r	f10r	f10r.4	2	HERBAL	chaiin	CH+AIIN	ACTION>QUANTITY_INDEX	entnehmen/ablesen; nach Sollmaß	NO	den Pflanzenteil entnehmen; nach Sollmaß
P912-E0032	f10r	f10r	f10r.4	3	HERBAL	chcthy	CH+CTH+Y	ACTION>ACTION>OWNER_CONTENT	entnehmen/ablesen; den Status prüfen; diesen Posten	NO	den Pflanzenteil entnehmen; den Zubereitungsstatus prüfen; diesen Posten
P912-E0033	f10r	f10r	f10r.4	4	HERBAL	ctho	CTH+O	ACTION>ACTION	den Status prüfen; den Gang ausführen	NO	den Zubereitungsstatus prüfen; den Verarbeitungsgang ausführen
P912-E0034	f10r	f10r	f10r.4	5	HERBAL	ckhy	CKH+Y	TARGET_PATH>OWNER_CONTENT	durch den Durchlass; diesen Posten	NO	durch den Durchlass; diesen Posten
P912-E0035	f10r	f10r	f10r.4	6	HERBAL	or	OR	OWNER_CONTENT	den Ansatz/Inhalt	NO	mit dem Pflanzenansatz
P912-E0036	f10r	f10r	f10r.4	7	HERBAL	aiin	AIIN	QUANTITY_INDEX	nach Sollmaß	NO	nach Sollmaß
