source_slot	next_slot	transitions	canonical_direction	spoken_link_de
OWNER_CONTENT	ACTION	546	FORWARD	OWNER_CONTENT → ACTION
ACTION	GRADE_STATE	471	FORWARD	ACTION → GRADE_STATE
ACTION	OWNER_CONTENT	339	BACKWARD_OR_RESUMPTIVE	ACTION → OWNER_CONTENT
GRADE_STATE	CLOSE	187	FORWARD	GRADE_STATE → CLOSE
GRADE_STATE	OWNER_CONTENT	187	BACKWARD_OR_RESUMPTIVE	GRADE_STATE → OWNER_CONTENT
ACTION	QUANTITY_INDEX	174	BACKWARD_OR_RESUMPTIVE	ACTION → QUANTITY_INDEX
TARGET_PATH	ACTION	162	BACKWARD_OR_RESUMPTIVE	TARGET_PATH → ACTION
ORDER_CALL	ACTION	160	FORWARD	ORDER_CALL → ACTION
QUANTITY_INDEX	ACTION	153	FORWARD	QUANTITY_INDEX → ACTION
ACTION	TARGET_PATH	126	FORWARD	ACTION → TARGET_PATH
ACTION	SOURCE_REFERENCE	114	BACKWARD_OR_RESUMPTIVE	ACTION → SOURCE_REFERENCE
ACTION	CLOSE	112	FORWARD	ACTION → CLOSE
SOURCE_REFERENCE	ACTION	105	FORWARD	SOURCE_REFERENCE → ACTION
OWNER_CONTENT	ORDER_CALL	100	BACKWARD_OR_RESUMPTIVE	OWNER_CONTENT → ORDER_CALL
SOURCE_REFERENCE	OWNER_CONTENT	97	BACKWARD_OR_RESUMPTIVE	SOURCE_REFERENCE → OWNER_CONTENT
ACTION	ORDER_CALL	90	BACKWARD_OR_RESUMPTIVE	ACTION → ORDER_CALL
OWNER_CONTENT	TARGET_PATH	87	FORWARD	OWNER_CONTENT → TARGET_PATH
ORDER_CALL	OWNER_CONTENT	80	FORWARD	ORDER_CALL → OWNER_CONTENT
GRADE_STATE	ACTION	77	BACKWARD_OR_RESUMPTIVE	GRADE_STATE → ACTION
TARGET_PATH	OWNER_CONTENT	73	BACKWARD_OR_RESUMPTIVE	TARGET_PATH → OWNER_CONTENT
GRADE_STATE	SOURCE_REFERENCE	47	BACKWARD_OR_RESUMPTIVE	GRADE_STATE → SOURCE_REFERENCE
QUANTITY_INDEX	OWNER_CONTENT	46	BACKWARD_OR_RESUMPTIVE	QUANTITY_INDEX → OWNER_CONTENT
OWNER_CONTENT	QUANTITY_INDEX	45	FORWARD	OWNER_CONTENT → QUANTITY_INDEX
OWNER_CONTENT	SOURCE_REFERENCE	44	FORWARD	OWNER_CONTENT → SOURCE_REFERENCE
ORDER_CALL	GRADE_STATE	40	FORWARD	ORDER_CALL → GRADE_STATE
QUANTITY_INDEX	ORDER_CALL	40	BACKWARD_OR_RESUMPTIVE	QUANTITY_INDEX → ORDER_CALL
SOURCE_REFERENCE	ORDER_CALL	39	BACKWARD_OR_RESUMPTIVE	SOURCE_REFERENCE → ORDER_CALL
TARGET_PATH	ORDER_CALL	32	BACKWARD_OR_RESUMPTIVE	TARGET_PATH → ORDER_CALL
ORDER_CALL	SOURCE_REFERENCE	28	FORWARD	ORDER_CALL → SOURCE_REFERENCE
GRADE_STATE	ORDER_CALL	25	BACKWARD_OR_RESUMPTIVE	GRADE_STATE → ORDER_CALL
ORDER_CALL	QUANTITY_INDEX	23	FORWARD	ORDER_CALL → QUANTITY_INDEX
TARGET_PATH	SOURCE_REFERENCE	23	BACKWARD_OR_RESUMPTIVE	TARGET_PATH → SOURCE_REFERENCE
QUANTITY_INDEX	TARGET_PATH	22	FORWARD	QUANTITY_INDEX → TARGET_PATH
SOURCE_REFERENCE	TARGET_PATH	21	FORWARD	SOURCE_REFERENCE → TARGET_PATH
ORDER_CALL	TARGET_PATH	19	FORWARD	ORDER_CALL → TARGET_PATH
GRADE_STATE	TARGET_PATH	18	BACKWARD_OR_RESUMPTIVE	GRADE_STATE → TARGET_PATH
ORDER_CALL	CLOSE	18	FORWARD	ORDER_CALL → CLOSE
SOURCE_REFERENCE	QUANTITY_INDEX	17	FORWARD	SOURCE_REFERENCE → QUANTITY_INDEX
TARGET_PATH	GRADE_STATE	17	FORWARD	TARGET_PATH → GRADE_STATE
QUANTITY_INDEX	SOURCE_REFERENCE	16	BACKWARD_OR_RESUMPTIVE	QUANTITY_INDEX → SOURCE_REFERENCE
ACTION	LOCAL_DETAIL	15	FORWARD	ACTION → LOCAL_DETAIL
LOCAL_DETAIL	ACTION	12	BACKWARD_OR_RESUMPTIVE	LOCAL_DETAIL → ACTION
TARGET_PATH	QUANTITY_INDEX	11	BACKWARD_OR_RESUMPTIVE	TARGET_PATH → QUANTITY_INDEX
