record_unit_id	page	source_state_ids	source_information_channels	target_state_id	target_information_channel	explicit_state_marker_event_ids	specific_input_de	specific_output_de	meaning_retained
H1	f10r	M1_RAW_PART	M1_RAW_PART:CARD_EXPLICIT__OWNER_GIVES_REFERENT	M2_PREPARATION	CARD_EXPLICIT__OWNER_GIVES_REFERENT	E002|E001	Abgebildeter Wurzelteil	Bemessener Wurzel-Wasseransatz mit Kurzrest	YES
H2	f10r	M2_PREPARATION	M2_PREPARATION:CARD_EXPLICIT__OWNER_GIVES_REFERENT	M2_PREPARATION	CARD_EXPLICIT__OWNER_GIVES_REFERENT	E015|E017|E024|E025|E028|E032|E033|E034	Laufender Auszugsansatz	Fortgesetzter Auszugsansatz mit Zutatsollmaß	YES
H3	f11r	M1_RAW_PART	M1_RAW_PART:CARD_EXPLICIT__OWNER_GIVES_REFERENT	M3_CLEAR_EXTRACT	CARD_EXPLICIT__OWNER_GIVES_REFERENT	E044|E039|E046	Abgebildetes Blütenkraut	Gestandener und nachgeseihter Klarauszug	YES
H4	f55v	M1_RAW_PART	M1_RAW_PART:PICTURE_OWNER_SUPPLIES_STATE	M4_MEASURED_PORTION	CARD_EXPLICIT__OWNER_GIVES_REFERENT	E057|E058|E059|E061|E064|E068|E073	Abgebildetes Blattmaterial	Geteilte und lang erwärmte Auszugsportion	YES
H5	f56r	M1_RAW_PART	M1_RAW_PART:CARD_EXPLICIT__OWNER_GIVES_REFERENT	M2_PREPARATION	CARD_EXPLICIT__OWNER_GIVES_REFERENT	E074|E080|E075|E076|E078|E084|E087|E088|E094|E096	Abgebildeter Stängel-/Pflanzenteil	Gebundener Zutaten- und Auszugsansatz für Folgeposten	YES
B1	f81v	M2_PREPARATION	M2_PREPARATION:CARD_EXPLICIT__OWNER_GIVES_REFERENT	M4_MEASURED_PORTION	CARD_EXPLICIT__OWNER_GIVES_REFERENT	E107|E108|E116|E118|E161|E113	H1-Wurzelansatz und H2-Folgeansatz	Bemessene, behandelte und überführte Beckenportionen	YES
B2	f82r	M3_CLEAR_EXTRACT	M3_CLEAR_EXTRACT:CARD_EXPLICIT__OWNER_GIVES_REFERENT	M3_CLEAR_EXTRACT	CARD_EXPLICIT__OWNER_GIVES_REFERENT	E197|E203|E206|E212	H3-Klarauszug und lokale Beckenposten	Lang behandelte, abgesetzte und klar abgezogene Stationsportionen	YES
B3	f83r	M2_PREPARATION	M2_PREPARATION:CARD_EXPLICIT__OWNER_GIVES_REFERENT	M4_MEASURED_PORTION	CARD_EXPLICIT__OWNER_GIVES_REFERENT	E233|E257|E274|E299|E305|E306|E309|E312|E254	Lokal bereitgestellter Stationsposten	Überführte, bemessene und abgesetzte Gefäßportionen	YES
B4	f83r	M4_MEASURED_PORTION+M2_PREPARATION	M4_MEASURED_PORTION:CARD_EXPLICIT__OWNER_GIVES_REFERENT|M2_PREPARATION:CARD_EXPLICIT__OWNER_GIVES_REFERENT	M3_CLEAR_EXTRACT	CARD_EXPLICIT__OWNER_GIVES_REFERENT	E332|E338|E354|E358|E353|E360|E348	H4-Auszugportion und H5-Folgeposten	Am Ziel behandelte, durchgelassene und gesammelte Portionen	YES
B5	f83r	M2_PREPARATION	M2_PREPARATION:WORKSHOP_RELAY_OR_LOCAL_OWNER_SUPPLIES_STATE	M2_PREPARATION	EDITORIAL_RESULT_SHELF_SUPPLIES_STATE	NONE	Laufender Posten der linken Randstation	Überführter Folgeposten	YES
B6	f83r	M2_PREPARATION	M2_PREPARATION:WORKSHOP_RELAY_OR_LOCAL_OWNER_SUPPLIES_STATE	M5_APPLICATION_ITEM	CARD_EXPLICIT__OWNER_GIVES_REFERENT	E375|E381	Laufender Posten des rechten Mehrports	Fortgesetzter und zielgesetzter Mehrportposten	YES
