macro_id	macro_name_de	card_type_count	prose_event_count	statement_count	apprentice_question_de	book_layer
M00	BEDINGUNG_NACHSCHLAGEN	0	0	0	Unter welcher sichtbaren Bedingung wird gearbeitet?	WHEN
M01	MATERIAL_WAEHLEN	5	8	6	Welcher Stoff oder Teil ist gemeint?	WHAT
M02	POSTEN_FORTFUEHREN	16	57	35	Welcher laufende, vorige oder nächste Posten gilt?	WHAT_OR_HOW
M03	ANSATZ_PRODUKT	11	20	14	Welcher Ansatz, Auszug oder Lauf wird bearbeitet?	WHAT
M04	MENGE_STUFE	25	65	38	Wie viel und bis zu welcher Stufe?	WHAT_OR_HOW
M05	QUELLE_ZIEL_WERKZEUG	15	31	25	Woher, wohin und in oder durch welches Werkzeug?	HOW
M06	FUEHREN_UEBERTRAGEN	41	71	53	Wie bewegt sich der Posten?	HOW
M07	ARBEITSGANG_AUSFUEHREN	47	106	76	Was wird mit dem Posten getan?	HOW
M08	ZUSTAND_PRUEFEN	13	23	19	Welcher sicht- oder fühlbare Zustand gilt?	HOW
M09	SCHRITT_SCHLIESSEN_ODER_UEBERGEBEN	0	0	89	Ist die lokale Zelle fertig oder trägt sie etwas weiter?	HOW
