statement_id	dossier_id	record_unit_id	page	loci	event_count	surface_sequence	card_reading_sequence_de	event_macro_trace	macro_sequence	macro_names_de	normalized_master_clause_de	ends_with_commit
H1-S001	D1_ROOT_BATH_RIGHT_WHEEL	H1	f10r	f10r.2	10	dchey cthoor char chty os chair otytchol oky daiin etyd	Wurzel -> Ansatz bereit -> daraus -> Teil abtrennen -> Gefaess -> Wasserzulauf -> naechsten Teilposten weiterfuehren -> Posten ansetzen -> Sollmaß -> kleiner Restteil	E001:M01 | E002:M08 | E003:M05 | E004:M04 | E005:M05 | E006:M06 | E007:M04 | E008:M07 | E009:M04 | E010:M04	M01>M08>M05>M04>M05>M06>M04>M07>M04	MATERIAL_WAEHLEN > ZUSTAND_PRUEFEN > QUELLE_ZIEL_WERKZEUG > MENGE_STUFE > QUELLE_ZIEL_WERKZEUG > FUEHREN_UEBERTRAGEN > MENGE_STUFE > ARBEITSGANG_AUSFUEHREN > MENGE_STUFE	Nimm die Wurzel, bereite den Ansatz, trenne daraus einen Teil ab, gib ihn in das Gefaess, gib den Wasserzulauf zu, fuehre den naechsten Teilposten weiter, setze ihn nach Sollmass an und behalte einen kleinen Restteil.	NO
H1-S002	D1_ROOT_BATH_RIGHT_WHEEL	H1	f10r	f10r.5	4	qokchy qotchol chol cthy	Posten ansetzen -> danach weiterfuehren -> fortsetzen -> bereit	E011:M07 | E012:M02 | E013:M02 | E014:M08	M07>M02>M08	ARBEITSGANG_AUSFUEHREN > POSTEN_FORTFUEHREN > ZUSTAND_PRUEFEN	Setze den Posten an, fuehre ihn danach weiter und halte ihn bereit.	NO
H2-S001	D1_ROOT_BATH_RIGHT_WHEEL	H2	f10r	f10r.6	9	ycheor cthy chor cthaiin qoctholy dy chy taiin shy	Auszugsansatz -> bereit -> Ansatz -> Fertigmaß -> bereiten Posten weiterfuehren -> dieser Posten -> dieser Posten -> Sollmaß -> dieser Posten	E015:M03 | E016:M08 | E017:M03 | E018:M04 | E019:M08 | E020:M02 | E021:M02 | E022:M04 | E023:M02	M03>M08>M03>M04>M08>M02>M04>M02	ANSATZ_PRODUKT > ZUSTAND_PRUEFEN > ANSATZ_PRODUKT > MENGE_STUFE > ZUSTAND_PRUEFEN > POSTEN_FORTFUEHREN > MENGE_STUFE > POSTEN_FORTFUEHREN	Nimm den bereiten Auszugsansatz, bringe den Ansatz auf Fertigmass, fuehre den bereiten Posten weiter und stelle sein Sollmass ein.	NO
H2-S002	D1_ROOT_BATH_RIGHT_WHEEL	H2	f10r	f10r.8	8	qotchor chor otol chol cholor chol daiin dar	Folgeansatz -> Ansatz -> danach fortsetzen -> fortsetzen -> Fortsetzungsansatz -> fortsetzen -> Sollmaß -> daraus	E024:M03 | E025:M03 | E026:M02 | E027:M02 | E028:M03 | E029:M02 | E030:M04 | E031:M05	M03>M02>M03>M02>M04>M05	ANSATZ_PRODUKT > POSTEN_FORTFUEHREN > ANSATZ_PRODUKT > POSTEN_FORTFUEHREN > MENGE_STUFE > QUELLE_ZIEL_WERKZEUG	Führe den bemessenen Pflanzenansatz als Folgeansatz samt seinem Fortsetzungsposten weiter und nimm daraus das Sollmaß	NO
H2-S003	D1_ROOT_BATH_RIGHT_WHEEL	H2	f10r	f10r.9	7	oykchor shor chor chy kaiiin dy chodaiin	Gefaess -> Ansatz -> Ansatz -> dieser Posten -> Weichstufe -> dieser Posten -> Zutatenmaß	E032:M05 | E033:M03 | E034:M03 | E035:M02 | E036:M04 | E037:M02 | E038:M04	M05>M03>M02>M04>M02>M04	QUELLE_ZIEL_WERKZEUG > ANSATZ_PRODUKT > POSTEN_FORTFUEHREN > MENGE_STUFE > POSTEN_FORTFUEHREN > MENGE_STUFE	Gib den weitergefuehrten Folgeansatz in das Gefaess, bearbeite diesen Posten bis zur Weichstufe und stelle das Zutatenmass ein.	NO
H3-S001	D2_CLEAR_EXTRACT_STAR_ATLAS	H3	f11r	f11r.1	7	tshol schoal cfhy shfydaiin cphy shey tchody	Zutat entnehmen -> Zutat dorthin -> auswringen -> Standmaß -> nachseihen -> Klarlauf -> kalt stellen	E039:M06 | E040:M01 | E041:M07 | E042:M04 | E043:M07 | E044:M08 | E045:M07+M09	M06>M01>M07>M04>M07>M08>M07>M09	FUEHREN_UEBERTRAGEN > MATERIAL_WAEHLEN > ARBEITSGANG_AUSFUEHREN > MENGE_STUFE > ARBEITSGANG_AUSFUEHREN > ZUSTAND_PRUEFEN > ARBEITSGANG_AUSFUEHREN > SCHRITT_SCHLIESSEN_ODER_UEBERGEBEN	Entnimm eine Zutat, gib sie dorthin, wringe aus, lass bis zum Standmass stehen, seih nach, nimm den Klarlauf und stelle ihn kalt.	YES
H3-S002	D2_CLEAR_EXTRACT_STAR_ATLAS	H3	f11r	f11r.1	1	shoyty	Zutatenteil	E046:M04	M04	MENGE_STUFE	Lege einen Zutatenteil zurueck.	NO
H3-S003	D2_CLEAR_EXTRACT_STAR_ATLAS	H3	f11r	f11r.4	5	dchol chy kchy dy daiin	Voriges -> dieser Posten -> diesen Posten bearbeiten -> dieser Posten -> Sollmaß	E047:M02 | E048:M02 | E049:M07 | E050:M02 | E051:M04	M02>M07>M02>M04	POSTEN_FORTFUEHREN > ARBEITSGANG_AUSFUEHREN > POSTEN_FORTFUEHREN > MENGE_STUFE	Nimm den Vorposten, bearbeite diesen Posten und stelle sein Sollmass ein.	NO
H3-S004	D2_CLEAR_EXTRACT_STAR_ATLAS	H3	f11r	f11r.7	4	qotchy okchol cthy dy	Folgeposten -> Fortsetzung einsetzen -> bereit -> dieser Posten	E052:M02 | E053:M07 | E054:M08 | E055:M02	M02>M07>M08>M02	POSTEN_FORTFUEHREN > ARBEITSGANG_AUSFUEHREN > ZUSTAND_PRUEFEN > POSTEN_FORTFUEHREN	Nimm die restliche Blütenreserve als Folgeposten, setze die Fortsetzung an und halte sie bereit	NO
H4-S001	D3_STORED_APPLICATION_THREE_WHEELS	H4	f55v	f55v.5	5	qokaiin chaiin ykain ykan ody	auf Sollmaß einstellen -> Sollmaß -> Postenportion -> dieser Anteil -> kühlen	E056:M04 | E057:M04 | E058:M04 | E059:M04 | E060:M07+M09	M04>M07>M09	MENGE_STUFE > ARBEITSGANG_AUSFUEHREN > SCHRITT_SCHLIESSEN_ODER_UEBERGEBEN	Stelle das Sollmaß ein, nimm eine Postenportion und kühle diesen Anteil ab	YES
H4-S002	D3_STORED_APPLICATION_THREE_WHEELS	H4	f55v	f55v.5	3	daiin chedy talam	Sollmaß -> umsetzen -> am Ziel verwahren	E061:M04 | E062:M06 | E063:M05	M04>M06>M05	MENGE_STUFE > FUEHREN_UEBERTRAGEN > QUELLE_ZIEL_WERKZEUG	Setze den Posten nach Sollmass um und verwahre ihn am Ziel.	NO
H4-S003	D3_STORED_APPLICATION_THREE_WHEELS	H4	f55v	f55v.11	4	ykaiin cheoar cheeky oldy	Postenmaß -> Auszug entnehmen -> länger wärmen -> fortsetzen; Schluss	E064:M04 | E065:M03 | E066:M07 | E067:M02+M09	M04>M03>M07>M02>M09	MENGE_STUFE > ANSATZ_PRODUKT > ARBEITSGANG_AUSFUEHREN > POSTEN_FORTFUEHREN > SCHRITT_SCHLIESSEN_ODER_UEBERGEBEN	Nimm den Auszug aus dem verwahrten Ansatz nach Postenmaß, wärme ihn länger und schließe die Fortsetzung	YES
H4-S004	D3_STORED_APPLICATION_THREE_WHEELS	H4	f55v	f55v.11	6	aiin okal oltchy or y orain	Sollmaß -> dort ansetzen -> bereit weiterfuehren -> Ansatz -> dieser Posten -> Ansatzportion	E068:M04 | E069:M07 | E070:M08 | E071:M03 | E072:M02 | E073:M04	M04>M07>M08>M03>M02>M04	MENGE_STUFE > ARBEITSGANG_AUSFUEHREN > ZUSTAND_PRUEFEN > ANSATZ_PRODUKT > POSTEN_FORTFUEHREN > MENGE_STUFE	Stelle das Sollmass ein, setze dort an, fuehre den bereiten Ansatz weiter und nimm davon eine Portion.	NO
H5-S001	D4_FRESH_PLANT_LEFT_WHEEL	H5	f56r	f56r.5|f56r.7	9	chochor cho chodaly daiin sho kchol otchor choky dal	Zutatenansatz -> Zutat -> Zutat dorthin -> Sollmaß -> Zutat -> weiter bearbeiten -> Folgeansatz -> Posten ansetzen -> dorthin	E074:M03 | E075:M01 | E076:M01 | E077:M04 | E078:M01 | E079:M07 | E080:M03 | E081:M07 | E082:M05	M03>M01>M04>M01>M07>M03>M07>M05	ANSATZ_PRODUKT > MATERIAL_WAEHLEN > MENGE_STUFE > MATERIAL_WAEHLEN > ARBEITSGANG_AUSFUEHREN > ANSATZ_PRODUKT > ARBEITSGANG_AUSFUEHREN > QUELLE_ZIEL_WERKZEUG	Bereite einen Zutatenansatz, gib die Zutat dorthin nach Sollmass, bearbeite die naechste Zutat weiter, beginne den Folgeansatz und setze den Posten dort an.	NO
H5-S002	D4_FRESH_PLANT_LEFT_WHEEL	H5	f56r	f56r.8	4	schol choy choky cheeckhody	Voriges -> diese Zutat -> Posten ansetzen -> auftragen	E083:M02 | E084:M01 | E085:M07 | E086:M07+M09	M02>M01>M07>M09	POSTEN_FORTFUEHREN > MATERIAL_WAEHLEN > ARBEITSGANG_AUSFUEHREN > SCHRITT_SCHLIESSEN_ODER_UEBERGEBEN	Nimm vom Vorposten diese Zutat, setze sie an und trage sie auf.	YES
H5-S003	D4_FRESH_PLANT_LEFT_WHEEL	H5	f56r	f56r.12	4	sh cho kchey qokokchy	Staengel -> Zutat -> diesen Posten kurz bearbeiten -> erneut ansetzen	E087:M07 | E088:M01 | E089:M07 | E090:M07	M07>M01>M07	ARBEITSGANG_AUSFUEHREN > MATERIAL_WAEHLEN > ARBEITSGANG_AUSFUEHREN	Nimm den Staengel als Zutat, bearbeite diesen Posten kurz und setze ihn erneut an.	NO
H5-S004	D4_FRESH_PLANT_LEFT_WHEEL	H5	f56r	f56r.13	3	okchy chokcheo kchal	Posten ansetzen -> Auszug zugeben -> an der Zielstelle bearbeiten	E091:M07 | E092:M03 | E093:M07	M07>M03>M07	ARBEITSGANG_AUSFUEHREN > ANSATZ_PRODUKT > ARBEITSGANG_AUSFUEHREN	Setze den Posten an, gib den Auszug zu und bearbeite ihn an der Zielstelle.	NO
H5-S005	D4_FRESH_PLANT_LEFT_WHEEL	H5	f56r	f56r.18	4	sho chokchy kchoar sotodan	Zutat -> Posten ansetzen -> Auszug daraus -> danach anwenden	E094:M01 | E095:M07 | E096:M03 | E097:M07	M01>M07>M03>M07	MATERIAL_WAEHLEN > ARBEITSGANG_AUSFUEHREN > ANSATZ_PRODUKT > ARBEITSGANG_AUSFUEHREN	Setze den Ansatz als Zutat an, nimm den Auszug daraus und wende ihn danach an.	NO
H5-S006	D4_FRESH_PLANT_LEFT_WHEEL	H5	f56r	f56r.19	3	otchey keol daiin	Folgeposten -> kurz weiterfuehren -> Sollmaß	E098:M02 | E099:M02 | E100:M04	M02>M04	POSTEN_FORTFUEHREN > MENGE_STUFE	Nimm den Folgeposten, fuehre ihn kurz weiter und stelle das Sollmass ein.	NO
B1-S001	D1_ROOT_BATH_RIGHT_WHEEL	B1	f81v	f81v.2	1	qokedy	kurz ansetzen; Schluss	E101:M07+M09	M07>M09	ARBEITSGANG_AUSFUEHREN > SCHRITT_SCHLIESSEN_ODER_UEBERGEBEN	Setze kurz an und schließe	YES
