pattern_id	level	member_count	pattern	spoken_idiom_de	occurrence_count	record_count	records
E01	EVENT	2	Y > AIIN	diesen Posten nach Sollmaß nehmen	4	3	B3|H2|H3
E02	EVENT	2	AIIN > Y	Sollmaß dieses Postens	3	3	B2|B3|H2
E03	EVENT	2	OR > Y	dieser laufende Ansatz	3	3	B4|H2|H4
E04	EVENT	2	OL > SHED+E+CLOSE	weiterführen, kurz absetzen und schließen	4	2	B1|B4
E05	EVENT	2	CHD+Y > OL	den Posten umsetzen und weiterführen	3	2	B1|B4
E06	EVENT	3	Y > AIIN > Y	denselben Posten um das Sollmaß führen	2	2	B3|H2
E07	EVENT	2	AIIN > OL	mit demselben Sollmaß fortfahren	2	2	B5|B6
E08	EVENT	2	AL > OL	am Ziel weiterarbeiten	2	2	B1|B5
E09	EVENT	2	CHD+Y > OK+EE+CLOSE	umsetzen, länger ansetzen und schließen	2	2	B3|B4
E10	EVENT	2	OK+EE+Y > OK+E+CLOSE	länger halten, kurz nachsetzen und schließen	2	2	B3|B4
E11	EVENT	2	OK+EE+Y > OK+Y	den länger gehaltenen Posten weiter ansetzen	2	2	B2|B4
E12	EVENT	2	OK+Y > AIIN	den aktuellen Posten auf Sollmaß setzen	2	2	B3|H1
E13	EVENT	2	OL > AIIN	fortsetzen und auf Sollmaß stellen	2	2	B6|H2
E14	EVENT	2	OL+AIN > AL	die nächste Portion zum Ziel bringen	2	2	B1|B4
E15	EVENT	2	OL+OR > OL	den Fortsetzungsansatz weiterführen	2	2	B1|H2
E16	EVENT	2	OT+OL > OL	danach im selben Gang weiter	2	2	H1|H2
E17	EVENT	2	Y > AL	den aktuellen Posten zum Ziel bringen	2	2	B3|B6
