occurrence_id	pattern_id	unit_id	record_id	page	start_position	member_ids	observed_sequence	surface_or_clause_sequence	spoken_idiom_de
E01-001	E01	H2-S001	H2	f10r	7	E021|E022	Y > AIIN	chy | taiin	diesen Posten nach Sollmaß nehmen
E01-002	E01	H3-S003	H3	f11r	4	E050|E051	Y > AIIN	dy | daiin	diesen Posten nach Sollmaß nehmen
E01-003	E01	B3-S003	B3	f83r	1	E232|E233	Y > AIIN	chey | daiin	diesen Posten nach Sollmaß nehmen
E01-004	E01	B3-S021	B3	f83r	4	E273|E274	Y > AIIN	sy | saiin	diesen Posten nach Sollmaß nehmen
E02-001	E02	H2-S001	H2	f10r	8	E022|E023	AIIN > Y	taiin | shy	Sollmaß dieses Postens
E02-002	E02	B2-S012	B2	f82r	6	E207|E208	AIIN > Y	daiin | chey	Sollmaß dieses Postens
E02-003	E02	B3-S003	B3	f83r	2	E233|E234	AIIN > Y	daiin | chey	Sollmaß dieses Postens
E03-001	E03	H2-S003	H2	f10r	3	E034|E035	OR > Y	chor | chy	dieser laufende Ansatz
E03-002	E03	H4-S004	H4	f55v	4	E071|E072	OR > Y	or | y	dieser laufende Ansatz
E03-003	E03	B4-S014	B4	f83r	1	E348|E349	OR > Y	or | chey	dieser laufende Ansatz
E04-001	E04	B1-S004	B1	f81v	2	E124|E125	OL > SHED+E+CLOSE	ol | shedy	weiterführen, kurz absetzen und schließen
E04-002	E04	B1-S008	B1	f81v	4	E135|E136	OL > SHED+E+CLOSE	ol | shedy	weiterführen, kurz absetzen und schließen
E04-003	E04	B1-S016	B1	f81v	3	E154|E155	OL > SHED+E+CLOSE	qol | cheedy	weiterführen, kurz absetzen und schließen
E04-004	E04	B4-S003	B4	f83r	6	E324|E325	OL > SHED+E+CLOSE	tol | shedy	weiterführen, kurz absetzen und schließen
E05-001	E05	B1-S004	B1	f81v	1	E123|E124	CHD+Y > OL	chedy | ol	den Posten umsetzen und weiterführen
E05-002	E05	B1-S014	B1	f81v	1	E145|E146	CHD+Y > OL	chedy | qolky	den Posten umsetzen und weiterführen
E05-003	E05	B4-S011	B4	f83r	5	E342|E343	CHD+Y > OL	chdy | sol	den Posten umsetzen und weiterführen
E06-001	E06	H2-S001	H2	f10r	7	E021|E022|E023	Y > AIIN > Y	chy | taiin | shy	denselben Posten um das Sollmaß führen
E06-002	E06	B3-S003	B3	f83r	1	E232|E233|E234	Y > AIIN > Y	chey | daiin | chey	denselben Posten um das Sollmaß führen
E07-001	E07	B5-S003	B5	f83r	6	E369|E370	AIIN > OL	aiin | sol	mit demselben Sollmaß fortfahren
E07-002	E07	B6-S001	B6	f83r	5	E377|E378	AIIN > OL	daiin | ol	mit demselben Sollmaß fortfahren
E08-001	E08	B1-S002	B1	f81v	8	E109|E110	AL > OL	al | ol	am Ziel weiterarbeiten
E08-002	E08	B5-S003	B5	f83r	2	E365|E366	AL > OL	dal | cheol	am Ziel weiterarbeiten
E09-001	E09	B3-S007	B3	f83r	2	E244|E245	CHD+Y > OK+EE+CLOSE	chedy | qokeedy	umsetzen, länger ansetzen und schließen
E09-002	E09	B4-S005	B4	f83r	2	E328|E329	CHD+Y > OK+EE+CLOSE	chedy | qokeedy	umsetzen, länger ansetzen und schließen
E10-001	E10	B3-S028	B3	f83r	1	E293|E294	OK+EE+Y > OK+E+CLOSE	qokeey | qokedy	länger halten, kurz nachsetzen und schließen
E10-002	E10	B4-S002	B4	f83r	2	E317|E318	OK+EE+Y > OK+E+CLOSE	qokeey | qokedy	länger halten, kurz nachsetzen und schließen
E11-001	E11	B2-S010	B2	f82r	1	E194|E195	OK+EE+Y > OK+Y	qokeey | qoky	den länger gehaltenen Posten weiter ansetzen
E11-002	E11	B4-S003	B4	f83r	4	E322|E323	OK+EE+Y > OK+Y	qokeey | qoky	den länger gehaltenen Posten weiter ansetzen
E12-001	E12	H1-S001	H1	f10r	8	E008|E009	OK+Y > AIIN	oky | daiin	den aktuellen Posten auf Sollmaß setzen
E12-002	E12	B3-S030	B3	f83r	1	E298|E299	OK+Y > AIIN	qoky | saiin	den aktuellen Posten auf Sollmaß setzen
E13-001	E13	H2-S002	H2	f10r	6	E029|E030	OL > AIIN	chol | daiin	fortsetzen und auf Sollmaß stellen
E13-002	E13	B6-S001	B6	f83r	4	E376|E377	OL > AIIN	ol | daiin	fortsetzen und auf Sollmaß stellen
E14-001	E14	B1-S002	B1	f81v	7	E108|E109	OL+AIN > AL	olkain | al	die nächste Portion zum Ziel bringen
E14-002	E14	B4-S016	B4	f83r	1	E358|E359	OL+AIN > AL	qolkain | dal	die nächste Portion zum Ziel bringen
E15-001	E15	H2-S002	H2	f10r	5	E028|E029	OL+OR > OL	cholor | chol	den Fortsetzungsansatz weiterführen
E15-002	E15	B1-S002	B1	f81v	12	E113|E114	OL+OR > OL	olor | ol	den Fortsetzungsansatz weiterführen
E16-001	E16	H1-S002	H1	f10r	2	E012|E013	OT+OL > OL	qotchol | chol	danach im selben Gang weiter
E16-002	E16	H2-S002	H2	f10r	3	E026|E027	OT+OL > OL	otol | chol	danach im selben Gang weiter
E17-001	E17	B3-S021	B3	f83r	8	E277|E278	Y > AL	chey | tal	den aktuellen Posten zum Ziel bringen
E17-002	E17	B6-S001	B6	f83r	8	E380|E381	Y > AL	chey | ldalor	den aktuellen Posten zum Ziel bringen
