pattern_id	level	member_count	pattern	spoken_idiom_de	occurrence_count	record_count	records
C01	CLAUSE	2	SET > SET	zwei Einstellungen nacheinander ausführen	13	5	B1|B2|B3|B4|H5
C02	CLAUSE	2	SET > CONTINUE	ansetzen und weiterführen	6	5	B1|B3|B4|H1|H4
C03	CLAUSE	2	CONTINUE > CONTINUE	im selben Gang weiterarbeiten	10	4	B1|B6|H1|H2
C04	CLAUSE	2	SET > PASSAGE	ansetzen und durchleiten	5	4	B1|B2|B4|H5
C05	CLAUSE	2	SET > READY	ansetzen und bereit halten	5	3	B2|B3|H3
C06	CLAUSE	2	TRANSFER > CONTINUE	umsetzen und weiterführen	4	3	B1|B4|B5
C07	CLAUSE	2	CONTINUE > LEAD_OUT	weiterführen und abführen	3	3	B1|B4|B5
C08	CLAUSE	2	CONTINUE > SET	weiterführen und neu ansetzen	3	3	B3|B4|H1
C09	CLAUSE	2	SET > SETTLE	ansetzen und absetzen lassen	3	3	B2|B3|B4
C10	CLAUSE	2	TRANSFER > SET	umsetzen und neu ansetzen	5	2	B3|B4
C11	CLAUSE	2	CONTINUE > SETTLE	weiterführen und absetzen lassen	4	2	B1|B4
C12	CLAUSE	2	PASSAGE > SET	durchleiten und ansetzen	4	2	B1|B2
C13	CLAUSE	2	SET > TRANSFER	ansetzen und umsetzen	4	2	B3|B4
C14	CLAUSE	2	LEAD_OUT > SET	abführen und neu ansetzen	3	2	B2|B3
C15	CLAUSE	2	READY > READY	den Bereitschaftszustand bestätigen	3	2	B3|H2
C16	CLAUSE	2	READY > SET	bereitstellen und ansetzen	3	2	B2|B3
C17	CLAUSE	2	WARM > CONTINUE	wärmen und weiterführen	2	2	B1|H4
