statement_id	record_id	page	group_count	event_idiom_occurrences	clause_idiom_occurrences	event_idiom_ids	clause_idiom_ids	spoken_event_idioms_de	spoken_clause_idioms_de	unique_events_covered_by_idiom	residual_events	surface_sequence
H1-S001	H1	f10r	10	1	1	E12-001	C08-001	den aktuellen Posten auf Sollmaß setzen	weiterführen und neu ansetzen	2	8	dchey cthoor char chty os chair otytchol oky daiin etyd
H1-S002	H1	f10r	4	1	2	E16-001	C02-001|C03-001	danach im selben Gang weiter	ansetzen und weiterführen / im selben Gang weiterarbeiten	2	2	qokchy qotchol chol cthy
H2-S001	H2	f10r	9	3	2	E01-001|E02-001|E06-001	C15-001|C15-002	diesen Posten nach Sollmaß nehmen / Sollmaß dieses Postens / denselben Posten um das Sollmaß führen	den Bereitschaftszustand bestätigen / den Bereitschaftszustand bestätigen	3	6	ycheor cthy chor cthaiin qoctholy dy chy taiin shy
H2-S002	H2	f10r	8	3	3	E13-001|E15-001|E16-002	C03-002|C03-003|C03-004	fortsetzen und auf Sollmaß stellen / den Fortsetzungsansatz weiterführen / danach im selben Gang weiter	im selben Gang weiterarbeiten / im selben Gang weiterarbeiten / im selben Gang weiterarbeiten	5	3	qotchor chor otol chol cholor chol daiin dar
H2-S003	H2	f10r	7	1	0	E03-001	NONE	dieser laufende Ansatz	NONE	2	5	oykchor shor chor chy kaiiin dy chodaiin
H3-S001	H3	f11r	7	0	0	NONE	NONE	NONE	NONE	0	7	tshol schoal cfhy shfydaiin cphy shey tchody
H3-S002	H3	f11r	1	0	0	NONE	NONE	NONE	NONE	0	1	shoyty
H3-S003	H3	f11r	5	1	0	E01-002	NONE	diesen Posten nach Sollmaß nehmen	NONE	2	3	dchol chy kchy dy daiin
H3-S004	H3	f11r	4	0	1	NONE	C05-001	NONE	ansetzen und bereit halten	0	4	qotchy okchol cthy dy
H4-S001	H4	f55v	5	0	0	NONE	NONE	NONE	NONE	0	5	qokaiin chaiin ykain ykan ody
H4-S002	H4	f55v	3	0	0	NONE	NONE	NONE	NONE	0	3	daiin chedy talam
H4-S003	H4	f55v	4	0	1	NONE	C17-001	NONE	wärmen und weiterführen	0	4	ykaiin cheoar cheeky oldy
H4-S004	H4	f55v	6	1	1	E03-002	C02-002	dieser laufende Ansatz	ansetzen und weiterführen	2	4	aiin okal oltchy or y orain
H5-S001	H5	f56r	9	0	0	NONE	NONE	NONE	NONE	0	9	chochor cho chodaly daiin sho kchol otchor choky dal
H5-S002	H5	f56r	4	0	1	NONE	C04-001	NONE	ansetzen und durchleiten	0	4	schol choy choky cheeckhody
H5-S003	H5	f56r	4	0	0	NONE	NONE	NONE	NONE	0	4	sh cho kchey qokokchy
H5-S004	H5	f56r	3	0	1	NONE	C01-001	NONE	zwei Einstellungen nacheinander ausführen	0	3	okchy chokcheo kchal
H5-S005	H5	f56r	4	0	0	NONE	NONE	NONE	NONE	0	4	sho chokchy kchoar sotodan
H5-S006	H5	f56r	3	0	0	NONE	NONE	NONE	NONE	0	3	otchey keol daiin
B1-S001	B1	f81v	1	0	0	NONE	NONE	NONE	NONE	0	1	qokedy
B1-S002	B1	f81v	19	3	9	E08-001|E14-001|E15-002	C01-002|C02-003|C03-005|C03-006|C03-007|C03-008|C03-009|C04-002|C12-001	am Ziel weiterarbeiten / die nächste Portion zum Ziel bringen / den Fortsetzungsansatz weiterführen	zwei Einstellungen nacheinander ausführen / ansetzen und weiterführen / im selben Gang weiterarbeiten / im selben Gang weiterarbeiten / im selben Gang weiterarbeiten / im selben Gang weiterarbeiten / im selben Gang weiterarbeiten / ansetzen und durchleiten / durchleiten und ansetzen	5	14	okaiin kair okal sar ol kain olkain al ol rol dl olor ol sheckhal daiin qokeedal daiin chckhy schedy
B1-S003	B1	f81v	2	0	0	NONE	NONE	NONE	NONE	0	2	qol sshkchdy
B1-S004	B1	f81v	3	2	2	E04-001|E05-001	C06-001|C11-001	weiterführen, kurz absetzen und schließen / den Posten umsetzen und weiterführen	umsetzen und weiterführen / weiterführen und absetzen lassen	3	0	chedy ol shedy
B1-S005	B1	f81v	1	0	0	NONE	NONE	NONE	NONE	0	1	qolchedy
B1-S006	B1	f81v	4	0	1	NONE	C04-003	NONE	ansetzen und durchleiten	0	4	qokain shckhy dl ral
B1-S007	B1	f81v	1	0	0	NONE	NONE	NONE	NONE	0	1	qokchdy
B1-S008	B1	f81v	5	1	2	E04-002	C11-002|C17-002	weiterführen, kurz absetzen und schließen	weiterführen und absetzen lassen / wärmen und weiterführen	2	3	chey ol cheky ol shedy
B1-S009	B1	f81v	1	0	0	NONE	NONE	NONE	NONE	0	1	qokedy
B1-S010	B1	f81v	1	0	0	NONE	NONE	NONE	NONE	0	1	qokedy
B1-S011	B1	f81v	2	0	1	NONE	C12-002	NONE	durchleiten und ansetzen	0	2	chckhy qoky
B1-S012	B1	f81v	3	0	0	NONE	NONE	NONE	NONE	0	3	lsho qokey lshedy
B1-S013	B1	f81v	1	0	0	NONE	NONE	NONE	NONE	0	1	lshedy
B1-S014	B1	f81v	5	1	2	E05-002	C06-002|C07-001	den Posten umsetzen und weiterführen	umsetzen und weiterführen / weiterführen und abführen	2	3	chedy qolky lchedal qol otar
B1-S015	B1	f81v	2	0	0	NONE	NONE	NONE	NONE	0	2	ytey okchedy
B1-S016	B1	f81v	4	1	3	E04-003	C01-003|C02-004|C11-003	weiterführen, kurz absetzen und schließen	zwei Einstellungen nacheinander ausführen / ansetzen und weiterführen / weiterführen und absetzen lassen	2	2	qokal okeey qol cheedy
B1-S017	B1	f81v	3	0	0	NONE	NONE	NONE	NONE	0	3	sal teol dchdy
