occurrence_id	pattern_id	unit_id	record_id	page	start_position	member_ids	observed_sequence	surface_or_clause_sequence	spoken_idiom_de
C01-001	C01	H5-S004	H5	f56r	1	H5-S004-U01|H5-S004-U02	SET > SET	okchy | chokcheo	zwei Einstellungen nacheinander ausführen
C01-002	C01	B1-S002	B1	f81v	1	B1-S002-U01|B1-S002-U02	SET > SET	okaiin kair | okal sar	zwei Einstellungen nacheinander ausführen
C01-003	C01	B1-S016	B1	f81v	1	B1-S016-U01|B1-S016-U02	SET > SET	qokal | okeey	zwei Einstellungen nacheinander ausführen
C01-004	C01	B2-S003	B2	f82r	1	B2-S003-U01|B2-S003-U02	SET > SET	qokain dy | qokeedy	zwei Einstellungen nacheinander ausführen
C01-005	C01	B2-S005	B2	f82r	4	B2-S005-U04|B2-S005-U05	SET > SET	qokaiin | qokaiin	zwei Einstellungen nacheinander ausführen
C01-006	C01	B2-S010	B2	f82r	1	B2-S010-U01|B2-S010-U02	SET > SET	qokeey | qoky	zwei Einstellungen nacheinander ausführen
C01-007	C01	B2-S011	B2	f82r	1	B2-S011-U01|B2-S011-U02	SET > SET	okain char | okain	zwei Einstellungen nacheinander ausführen
C01-008	C01	B2-S011	B2	f82r	2	B2-S011-U02|B2-S011-U03	SET > SET	okain | qokeedy	zwei Einstellungen nacheinander ausführen
C01-009	C01	B2-S016	B2	f82r	3	B2-S016-U03|B2-S016-U04	SET > SET	oteey qokaiin | okey	zwei Einstellungen nacheinander ausführen
C01-010	C01	B3-S028	B3	f83r	1	B3-S028-U01|B3-S028-U02	SET > SET	qokeey | qokedy	zwei Einstellungen nacheinander ausführen
C01-011	C01	B4-S002	B4	f83r	2	B4-S002-U02|B4-S002-U03	SET > SET	qokeey | qokedy	zwei Einstellungen nacheinander ausführen
C01-012	C01	B4-S003	B4	f83r	2	B4-S003-U02|B4-S003-U03	SET > SET	otal otchey qokeey | qoky	zwei Einstellungen nacheinander ausführen
C01-013	C01	B4-S011	B4	f83r	2	B4-S011-U02|B4-S011-U03	SET > SET	okeeol | okain	zwei Einstellungen nacheinander ausführen
C02-001	C02	H1-S002	H1	f10r	1	H1-S002-U01|H1-S002-U02	SET > CONTINUE	qokchy | qotchol	ansetzen und weiterführen
C02-002	C02	H4-S004	H4	f55v	1	H4-S004-U01|H4-S004-U02	SET > CONTINUE	aiin okal | oltchy or y orain	ansetzen und weiterführen
C02-003	C02	B1-S002	B1	f81v	2	B1-S002-U02|B1-S002-U03	SET > CONTINUE	okal sar | ol kain	ansetzen und weiterführen
C02-004	C02	B1-S016	B1	f81v	2	B1-S016-U02|B1-S016-U03	SET > CONTINUE	okeey | qol	ansetzen und weiterführen
C02-005	C02	B3-S006	B3	f83r	2	B3-S006-U02|B3-S006-U03	SET > CONTINUE	qokal | olchedy	ansetzen und weiterführen
C02-006	C02	B4-S003	B4	f83r	3	B4-S003-U03|B4-S003-U04	SET > CONTINUE	qoky | tol	ansetzen und weiterführen
C03-001	C03	H1-S002	H1	f10r	2	H1-S002-U02|H1-S002-U03	CONTINUE > CONTINUE	qotchol | chol	im selben Gang weiterarbeiten
C03-002	C03	H2-S002	H2	f10r	1	H2-S002-U01|H2-S002-U02	CONTINUE > CONTINUE	qotchor chor otol | chol	im selben Gang weiterarbeiten
C03-003	C03	H2-S002	H2	f10r	2	H2-S002-U02|H2-S002-U03	CONTINUE > CONTINUE	chol | cholor	im selben Gang weiterarbeiten
C03-004	C03	H2-S002	H2	f10r	3	H2-S002-U03|H2-S002-U04	CONTINUE > CONTINUE	cholor | chol daiin dar	im selben Gang weiterarbeiten
C03-005	C03	B1-S002	B1	f81v	3	B1-S002-U03|B1-S002-U04	CONTINUE > CONTINUE	ol kain | olkain al	im selben Gang weiterarbeiten
C03-006	C03	B1-S002	B1	f81v	4	B1-S002-U04|B1-S002-U05	CONTINUE > CONTINUE	olkain al | ol	im selben Gang weiterarbeiten
C03-007	C03	B1-S002	B1	f81v	5	B1-S002-U05|B1-S002-U06	CONTINUE > CONTINUE	ol | rol dl	im selben Gang weiterarbeiten
C03-008	C03	B1-S002	B1	f81v	6	B1-S002-U06|B1-S002-U07	CONTINUE > CONTINUE	rol dl | olor	im selben Gang weiterarbeiten
C03-009	C03	B1-S002	B1	f81v	7	B1-S002-U07|B1-S002-U08	CONTINUE > CONTINUE	olor | ol	im selben Gang weiterarbeiten
C03-010	C03	B6-S001	B6	f83r	3	B6-S001-U03|B6-S001-U04	CONTINUE > CONTINUE	ol daiin | ol dain chey ldalor	im selben Gang weiterarbeiten
C04-001	C04	H5-S002	H5	f56r	1	H5-S002-U01|H5-S002-U02	SET > PASSAGE	schol choy choky | cheeckhody	ansetzen und durchleiten
C04-002	C04	B1-S002	B1	f81v	10	B1-S002-U10|B1-S002-U11	SET > PASSAGE	qokeedal daiin | chckhy	ansetzen und durchleiten
C04-003	C04	B1-S006	B1	f81v	1	B1-S006-U01|B1-S006-U02	SET > PASSAGE	qokain | shckhy dl ral	ansetzen und durchleiten
C04-004	C04	B2-S006	B2	f82r	1	B2-S006-U01|B2-S006-U02	SET > PASSAGE	oteey qokal | sheckhy	ansetzen und durchleiten
C04-005	C04	B4-S015	B4	f83r	1	B4-S015-U01|B4-S015-U02	SET > PASSAGE	qokain shey | kain chckhal	ansetzen und durchleiten
C05-001	C05	H3-S004	H3	f11r	1	H3-S004-U01|H3-S004-U02	SET > READY	qotchy okchol | cthy dy	ansetzen und bereit halten
