error_id	error_name	wrong_reading_de	correction_de
E01	AIR_AS_WATER_WORD	FLUESSIGKEITSLAUF wird heimlich zu Wasser	Wasser nur aus C3-Fallstoff ergaenzen
E02	AIR_CKH_COLLAPSE	bewegte Fluessigkeit und Kanal werden eins	AIR bewegt sich; CKH ist Durchlasskanal
E03	Y_HO_COLLAPSE	aktiver Posten wird als neue Zutat gelesen	Y erbt; HO fuehrt neu ein
E04	AIIN_IIN_SWAP	Sollmass wird Arbeitsstufe	AIIN bemisst; IIN staffelt
E05	AIN_AN_SWAP	Portion und Nachportion verlieren Reihenfolge	AIN zuerst, AN danach
E06	OK_K_P_COLLAPSE	ansetzen, zudosieren und einfuellen werden ein Verb	OK/K/P getrennt sprechen
E07	CH_L_COLLAPSE	abnehmen und weiterleiten werden beide laufen lassen	CH nimmt ab; L leitet weiter
E08	LINE_END_STOP	physisches Zeilenende beendet die Aussage	Aussagegrenze aus Karten-/Schlussfolge lesen
E09	GLOBAL_DY_CLOSE	jedes dy schliesst	nur lizenzierte Endkarte schliesst
E10	OWNER_RESET_LOST	neue B3-Station erbt alten Besitzer	sichtbare Station vor jeder Aussage setzen
E11	ALLOGRAPH_NEW_MEANING	lokale Oberfläche wird neue Bedeutung	Kartenidentitaet vor Oberfläche lesen
E12	CASE_NOUN_IN_CARD	Bluete, Bad oder Auflage wird in Karte hineingelesen	Fallstoff und Anwendung aussen halten
