page_ordinal	physical_page	registers	event_count	statement_count	state_event_count	nonstate_event_count	bracket_occurrence_count	changed_nonstate_event_count	changed_statement_count	remaining_bracket_count	page_status	guard
1	f1r	SOURCE_SECTION_T	214	7	36	178	91	69	7	0	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED
2	f10r	HERBAL	92	2	23	69	21	15	2	0	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED
3	f11r	HERBAL	59	2	11	48	24	12	1	0	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED
4	f13r	HERBAL	77	5	18	59	29	19	5	0	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED
5	f17r	HERBAL	78	8	19	59	46	28	7	0	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED
6	f18r	HERBAL	84	5	21	63	32	22	3	0	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED
7	f24v	HERBAL	86	3	14	72	51	39	3	0	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED
8	f55v	HERBAL	106	5	17	89	34	28	4	0	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED
9	f56r	HERBAL	105	3	26	79	38	23	2	0	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED
10	f67r2	CELESTIAL	126	11	15	111	70	48	9	0	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED
11	f68r1	CELESTIAL	31	3	8	23	15	9	2	0	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED
12	f69v	CELESTIAL	0	0	0	0	0	0	0	0	ZERO_RUNNING_EVENT_PAGE_RETAINED	ADMITTED_PAGE_ORDER_UNCHANGED
13	f70v	CELESTIAL	0	0	0	0	0	0	0	0	ZERO_RUNNING_EVENT_PAGE_RETAINED	ADMITTED_PAGE_ORDER_UNCHANGED
14	f71v	CELESTIAL	78	5	24	54	36	27	4	0	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED
15	f72r	CELESTIAL	288	22	105	183	125	90	19	0	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED
16	f75r	BIOLOGICAL	408	111	172	236	81	69	39	0	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED
17	f76r	BIOLOGICAL	560	118	187	373	110	100	53	0	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED
18	f77r	BIOLOGICAL	321	82	141	180	61	57	23	0	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED
19	f81r	BIOLOGICAL	210	48	114	96	44	29	13	0	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED
20	f81v	BIOLOGICAL	253	54	102	151	67	50	25	0	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED
21	f82r	BIOLOGICAL	278	62	101	177	59	50	26	0	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED
22	f83r	BIOLOGICAL	341	91	139	202	73	59	32	0	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED
23	f88r	PHARMA	134	5	41	93	53	43	5	0	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED
24	f88v	PHARMA	131	13	30	101	42	28	9	0	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED
25	f89r	PHARMA	338	20	74	264	108	88	15	0	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED
26	f95v	HERBAL	178	30	56	122	65	44	18	0	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED
27	f31r	HERBAL	103	19	25	78	32	24	8	0	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED
28	f66r	SOURCE_SECTION_T	293	51	95	198	82	55	20	0	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED
29	f20v	HERBAL	86	3	21	65	26	21	3	0	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED
30	f4r	HERBAL	64	5	21	43	21	10	3	0	COMPLETE_RUNNING_PAGE	ADMITTED_PAGE_ORDER_UNCHANGED
