assignment_ordinal	event_id	statement_id	physical_page	register	surface	final_context_recipe	bracket_ordinal_in_clause	bracket_marker	host_class	argument_root	explicit_argument_phrase_de	replacement_card_id	source_fragment_de	target_fragment_de	context_source_layer	inherited_argument_source_event_id	guard
1	G407-E0003	G407-S001	f1r	SOURCE_SECTION_T	ar	AR	1	[wie zuvor]	INHERITED_ARGUMENT	Y	den laufenden Eintrag	GDT572-A01	den laufenden Eintrag [wie zuvor]	denselben laufenden Eintrag	GDT416_OLD26	OWNER_CONTEXT_STATE	BRACKET_VOICE_ONLY__ROOTS_RECIPE_AND_BOUNDARY_UNCHANGED
2	G407-E0007	G407-S001	f1r	SOURCE_SECTION_T	cthres	CH+T+R+E+S	1	[wie zuvor]	INHERITED_ARGUMENT	Y	den laufenden Eintrag	GDT572-A01	den laufenden Eintrag [wie zuvor]	denselben laufenden Eintrag	GDT416_OLD26	OWNER_CONTEXT_STATE	BRACKET_VOICE_ONLY__ROOTS_RECIPE_AND_BOUNDARY_UNCHANGED
3	G407-E0007	G407-S001	f1r	SOURCE_SECTION_T	cthres	CH+T+R+E+S	2	[wie zuvor]	INHERITED_ARGUMENT	Y	den laufenden Eintrag	GDT572-A01	den laufenden Eintrag [wie zuvor]	denselben laufenden Eintrag	GDT416_OLD26	OWNER_CONTEXT_STATE	BRACKET_VOICE_ONLY__ROOTS_RECIPE_AND_BOUNDARY_UNCHANGED
4	G407-E0007	G407-S001	f1r	SOURCE_SECTION_T	cthres	CH+T+R+E+S	3	[wie zuvor]	INHERITED_ARGUMENT	Y	den laufenden Eintrag	GDT572-A01	den laufenden Eintrag [wie zuvor]	denselben laufenden Eintrag	GDT416_OLD26	OWNER_CONTEXT_STATE	BRACKET_VOICE_ONLY__ROOTS_RECIPE_AND_BOUNDARY_UNCHANGED
5	G407-E0007	G407-S001	f1r	SOURCE_SECTION_T	cthres	CH+T+R+E+S	4	[wie zuvor]	INHERITED_ARGUMENT	Y	den laufenden Eintrag	GDT572-A01	den laufenden Eintrag [wie zuvor]	denselben laufenden Eintrag	GDT416_OLD26	OWNER_CONTEXT_STATE	BRACKET_VOICE_ONLY__ROOTS_RECIPE_AND_BOUNDARY_UNCHANGED
6	G407-E0012	G407-S001	f1r	SOURCE_SECTION_T	ckhar	CH+K+AR	1	[wie zuvor]	INHERITED_ARGUMENT	Y	den laufenden Eintrag	GDT572-A01	den laufenden Eintrag [wie zuvor]	denselben laufenden Eintrag	GDT416_OLD26	OWNER_CONTEXT_STATE	BRACKET_VOICE_ONLY__ROOTS_RECIPE_AND_BOUNDARY_UNCHANGED
7	G407-E0012	G407-S001	f1r	SOURCE_SECTION_T	ckhar	CH+K+AR	2	[wie zuvor]	INHERITED_ARGUMENT	Y	den laufenden Eintrag	GDT572-A01	den laufenden Eintrag [wie zuvor]	denselben laufenden Eintrag	GDT416_OLD26	OWNER_CONTEXT_STATE	BRACKET_VOICE_ONLY__ROOTS_RECIPE_AND_BOUNDARY_UNCHANGED
8	G407-E0015	G407-S001	f1r	SOURCE_SECTION_T	kair	K+AIR	1	[wie zuvor]	INHERITED_ARGUMENT	Y	den laufenden Eintrag	GDT572-A01	den laufenden Eintrag [wie zuvor]	denselben laufenden Eintrag	GDT416_OLD26	OWNER_CONTEXT_STATE	BRACKET_VOICE_ONLY__ROOTS_RECIPE_AND_BOUNDARY_UNCHANGED
9	G407-E0017	G407-S001	f1r	SOURCE_SECTION_T	shar	SH+AR	1	[wie zuvor]	INHERITED_ARGUMENT	AIIN	den Kennwert	GDT572-A02	den Kennwert [wie zuvor]	denselben Kennwert	GDT416_OLD26	OWNER_CONTEXT_STATE	BRACKET_VOICE_ONLY__ROOTS_RECIPE_AND_BOUNDARY_UNCHANGED
10	G407-E0018	G407-S001	f1r	SOURCE_SECTION_T	ase	A_ADDR+S+E	1	[wie zuvor]	INHERITED_ARGUMENT	AIIN	den Kennwert	GDT572-A02	den Kennwert [wie zuvor]	denselben Kennwert	GDT416_OLD26	OWNER_CONTEXT_STATE	BRACKET_VOICE_ONLY__ROOTS_RECIPE_AND_BOUNDARY_UNCHANGED
