carry_card_ordinal	carry_card_id	register	argument_root	explicit_argument_phrase_de	carried_argument_phrase_de	nonstate_carry_event_count	nonstate_carry_occurrence_count	physical_page_count	source_status	source_card_id	guard
1	GDT572-A01	SOURCE_SECTION_T	Y	den laufenden Eintrag	denselben laufenden Eintrag	80	106	2	REUSED_GDT569_STATE_CARRY_FORM	GDT569-A01	ARTICLE_REALIZATION_OF_INHERITED_ARGUMENT__ROOT_UNCHANGED
2	GDT572-A02	SOURCE_SECTION_T	AIIN	den Kennwert	denselben Kennwert	15	21	2	REUSED_GDT569_STATE_CARRY_FORM	GDT569-A02	ARTICLE_REALIZATION_OF_INHERITED_ARGUMENT__ROOT_UNCHANGED
3	GDT572-A03	SOURCE_SECTION_T	AIN	den Teilwert	denselben Teilwert	8	9	1	REUSED_GDT569_STATE_CARRY_FORM	GDT569-A03	ARTICLE_REALIZATION_OF_INHERITED_ARGUMENT__ROOT_UNCHANGED
4	GDT572-A04	SOURCE_SECTION_T	OR	die Eintragseinheit	dieselbe Eintragseinheit	14	17	2	REUSED_GDT569_STATE_CARRY_FORM	GDT569-A04	ARTICLE_REALIZATION_OF_INHERITED_ARGUMENT__ROOT_UNCHANGED
5	GDT572-A05	HERBAL	Y	den Pflanzenposten	denselben Pflanzenposten	142	178	12	REUSED_GDT569_STATE_CARRY_FORM	GDT569-A05	ARTICLE_REALIZATION_OF_INHERITED_ARGUMENT__ROOT_UNCHANGED
6	GDT572-A06	HERBAL	AIIN	den Arbeitswert	denselben Arbeitswert	66	81	12	REUSED_GDT569_STATE_CARRY_FORM	GDT569-A06	ARTICLE_REALIZATION_OF_INHERITED_ARGUMENT__ROOT_UNCHANGED
7	GDT572-A07	HERBAL	AIN	den Materialanteil	denselben Materialanteil	13	16	4	REUSED_GDT569_STATE_CARRY_FORM	GDT569-A07	ARTICLE_REALIZATION_OF_INHERITED_ARGUMENT__ROOT_UNCHANGED
8	GDT572-A08	HERBAL	OR	die Arbeitseinheit	dieselbe Arbeitseinheit	28	34	8	REUSED_GDT569_STATE_CARRY_FORM	GDT569-A08	ARTICLE_REALIZATION_OF_INHERITED_ARGUMENT__ROOT_UNCHANGED
9	GDT572-A09	CELESTIAL	Y	den Positionsposten	denselben Positionsposten	90	119	4	REUSED_GDT569_STATE_CARRY_FORM	GDT569-A09	ARTICLE_REALIZATION_OF_INHERITED_ARGUMENT__ROOT_UNCHANGED
10	GDT572-A10	CELESTIAL	AIIN	den Positionswert	denselben Positionswert	42	49	3	REUSED_GDT569_STATE_CARRY_FORM	GDT569-A10	ARTICLE_REALIZATION_OF_INHERITED_ARGUMENT__ROOT_UNCHANGED
11	GDT572-A11	CELESTIAL	AIN	den Sektoranteil	denselben Sektoranteil	8	9	1	NEWLY_OCCUPIED_NONSTATE_CARRY_CELL	NONE	ARTICLE_REALIZATION_OF_INHERITED_ARGUMENT__ROOT_UNCHANGED
12	GDT572-A12	CELESTIAL	OR	die Positionseinheit	dieselbe Positionseinheit	23	29	4	REUSED_GDT569_STATE_CARRY_FORM	GDT569-A11	ARTICLE_REALIZATION_OF_INHERITED_ARGUMENT__ROOT_UNCHANGED
13	GDT572-A13	BIOLOGICAL	Y	den Stationsposten	denselben Stationsposten	289	319	7	REUSED_GDT569_STATE_CARRY_FORM	GDT569-A12	ARTICLE_REALIZATION_OF_INHERITED_ARGUMENT__ROOT_UNCHANGED
14	GDT572-A14	BIOLOGICAL	AIIN	den Stationswert	denselben Stationswert	41	48	7	REUSED_GDT569_STATE_CARRY_FORM	GDT569-A13	ARTICLE_REALIZATION_OF_INHERITED_ARGUMENT__ROOT_UNCHANGED
15	GDT572-A15	BIOLOGICAL	AIN	den Stationsanteil	denselben Stationsanteil	52	62	7	REUSED_GDT569_STATE_CARRY_FORM	GDT569-A14	ARTICLE_REALIZATION_OF_INHERITED_ARGUMENT__ROOT_UNCHANGED
16	GDT572-A16	BIOLOGICAL	OR	die Stationseinheit	dieselbe Stationseinheit	18	22	5	REUSED_GDT569_STATE_CARRY_FORM	GDT569-A15	ARTICLE_REALIZATION_OF_INHERITED_ARGUMENT__ROOT_UNCHANGED
17	GDT572-A17	PHARMA	Y	den Drogenposten	denselben Drogenposten	82	97	3	REUSED_GDT569_STATE_CARRY_FORM	GDT569-A16	ARTICLE_REALIZATION_OF_INHERITED_ARGUMENT__ROOT_UNCHANGED
18	GDT572-A18	PHARMA	AIIN	den Mengenwert	denselben Mengenwert	39	46	3	REUSED_GDT569_STATE_CARRY_FORM	GDT569-A17	ARTICLE_REALIZATION_OF_INHERITED_ARGUMENT__ROOT_UNCHANGED
19	GDT572-A19	PHARMA	AIN	den Drogenanteil	denselben Drogenanteil	8	9	2	REUSED_GDT569_STATE_CARRY_FORM	GDT569-A18	ARTICLE_REALIZATION_OF_INHERITED_ARGUMENT__ROOT_UNCHANGED
20	GDT572-A20	PHARMA	OR	die Ansatzeinheit	dieselbe Ansatzeinheit	19	21	3	REUSED_GDT569_STATE_CARRY_FORM	GDT569-A19	ARTICLE_REALIZATION_OF_INHERITED_ARGUMENT__ROOT_UNCHANGED
