signature_ordinal	bracket_signature	marker_occurrence_count_per_event	event_count	physical_page_count	register_count	example_event_ids	guard
1	[wie zuvor]	1	877	28	5	G407-E0003|G407-E0015|G407-E0017|G407-E0018|G407-E0026|G407-E0031|G407-E0039|G407-E0040	SIGNATURE_IS_EDITORIAL_PATTERN_NOT_WHOLE_CARD_MEANING
2	[wie zuvor]|[wie zuvor]	2	167	26	5	G407-E0012|G407-E0019|G407-E0020|G407-E0035|G407-E0044|G407-E0064|G407-E0066|G407-E0078	SIGNATURE_IS_EDITORIAL_PATTERN_NOT_WHOLE_CARD_MEANING
3	[außen]|[innen]	2	54	25	5	G407-E0046|G407-E0055|G407-E0166|G407-E0190|G407-E0241|G407-E0271|G407-E0320|G407-E0373	SIGNATURE_IS_EDITORIAL_PATTERN_NOT_WHOLE_CARD_MEANING
4	[wie zuvor]|[wie zuvor]|[wie zuvor]	3	21	14	5	G407-E0028|G407-E0220|G407-E0490|G407-E0630|G407-E1037|G407-E1110|G407-E1115|G407-E1292	SIGNATURE_IS_EDITORIAL_PATTERN_NOT_WHOLE_CARD_MEANING
5	[außen]|[innen]|[außen]|[innen]	4	18	13	5	G407-E0314|G407-E0321|G407-E0366|G407-E0476|G407-E0478|G407-E0532|G407-E0756|G407-E0811	SIGNATURE_IS_EDITORIAL_PATTERN_NOT_WHOLE_CARD_MEANING
6	[wie zuvor]|[außen]|[innen]	3	9	6	5	G407-E1184|G407-E1314|G407-E1390|G407-E2722|G407-E2895|G407-E2954|G407-E4142|G407-E4497	SIGNATURE_IS_EDITORIAL_PATTERN_NOT_WHOLE_CARD_MEANING
7	[außen]|[innen]|[außen]|[innen]|[außen]|[innen]	6	6	6	3	G407-E0804|G407-E0966|G407-E1281|G407-E1425|G407-E2796|G515-E0037	SIGNATURE_IS_EDITORIAL_PATTERN_NOT_WHOLE_CARD_MEANING
8	[außen]|[innen]|[Stufe 3]|[außen]|[innen]|[Stufe 3]	6	1	1	1	G407-E0328	SIGNATURE_IS_EDITORIAL_PATTERN_NOT_WHOLE_CARD_MEANING
9	[wie zuvor]|[wie zuvor]|[außen]|[innen]	4	1	1	1	G515-E0472	SIGNATURE_IS_EDITORIAL_PATTERN_NOT_WHOLE_CARD_MEANING
10	[wie zuvor]|[wie zuvor]|[wie zuvor]|[außen]|[innen]	5	1	1	1	G515-E0157	SIGNATURE_IS_EDITORIAL_PATTERN_NOT_WHOLE_CARD_MEANING
11	[wie zuvor]|[wie zuvor]|[wie zuvor]|[wie zuvor]	4	1	1	1	G407-E0007	SIGNATURE_IS_EDITORIAL_PATTERN_NOT_WHOLE_CARD_MEANING
