change_ordinal	event_id	statement_id	physical_page	register	surface	final_context_recipe	bracket_signature	bracket_occurrence_count	before_clause_de	after_clause_de	guard
1	G407-E0003	G407-S001	f1r	SOURCE_SECTION_T	ar	AR	[wie zuvor]	1	Im laufenden Gang ordne den laufenden Eintrag [wie zuvor] zu; von der Ausgangszeile.	Im laufenden Gang ordne denselben laufenden Eintrag zu; von der Ausgangszeile.	ALL_BRACKETS_NATURALIZED__SEMANTIC_ROOTS_UNCHANGED
2	G407-E0007	G407-S001	f1r	SOURCE_SECTION_T	cthres	CH+T+R+E+S	[wie zuvor]|[wie zuvor]|[wie zuvor]|[wie zuvor]	4	Entnimm den laufenden Eintrag [wie zuvor], lege den laufenden Eintrag [wie zuvor] fest, kennzeichne den laufenden Eintrag [wie zuvor] und wähle den laufenden Eintrag [wie zuvor]; auf Grad I.	Entnimm denselben laufenden Eintrag, lege denselben laufenden Eintrag fest, kennzeichne denselben laufenden Eintrag und wähle denselben laufenden Eintrag; auf Grad I.	ALL_BRACKETS_NATURALIZED__SEMANTIC_ROOTS_UNCHANGED
3	G407-E0012	G407-S001	f1r	SOURCE_SECTION_T	ckhar	CH+K+AR	[wie zuvor]|[wie zuvor]	2	Entnimm den laufenden Eintrag [wie zuvor] und ordne den laufenden Eintrag [wie zuvor] zu; von der Ausgangszeile.	Entnimm denselben laufenden Eintrag und ordne denselben laufenden Eintrag zu; von der Ausgangszeile.	ALL_BRACKETS_NATURALIZED__SEMANTIC_ROOTS_UNCHANGED
4	G407-E0015	G407-S001	f1r	SOURCE_SECTION_T	kair	K+AIR	[wie zuvor]	1	Ordne den laufenden Eintrag [wie zuvor] zu; entlang der Lesebahn.	Ordne denselben laufenden Eintrag zu; entlang der Lesebahn.	ALL_BRACKETS_NATURALIZED__SEMANTIC_ROOTS_UNCHANGED
5	G407-E0017	G407-S001	f1r	SOURCE_SECTION_T	shar	SH+AR	[wie zuvor]	1	Halte den Kennwert [wie zuvor] fest; von der Ausgangszeile.	Halte denselben Kennwert fest; von der Ausgangszeile.	ALL_BRACKETS_NATURALIZED__SEMANTIC_ROOTS_UNCHANGED
6	G407-E0018	G407-S001	f1r	SOURCE_SECTION_T	ase	A_ADDR+S+E	[wie zuvor]	1	Wähle den Kennwert [wie zuvor]; auf Grad I; an der bezeichneten Stelle.	Wähle denselben Kennwert; auf Grad I; an der bezeichneten Stelle.	ALL_BRACKETS_NATURALIZED__SEMANTIC_ROOTS_UNCHANGED
7	G407-E0019	G407-S001	f1r	SOURCE_SECTION_T	cthar	CH+T+AR	[wie zuvor]|[wie zuvor]	2	Entnimm den Kennwert [wie zuvor] und lege den Kennwert [wie zuvor] fest; von der Ausgangszeile.	Entnimm denselben Kennwert und lege denselben Kennwert fest; von der Ausgangszeile.	ALL_BRACKETS_NATURALIZED__SEMANTIC_ROOTS_UNCHANGED
8	G407-E0020	G407-S001	f1r	SOURCE_SECTION_T	cthar	CH+T+AR	[wie zuvor]|[wie zuvor]	2	Entnimm den Kennwert [wie zuvor] und lege den Kennwert [wie zuvor] fest; von der Ausgangszeile.	Entnimm denselben Kennwert und lege denselben Kennwert fest; von der Ausgangszeile.	ALL_BRACKETS_NATURALIZED__SEMANTIC_ROOTS_UNCHANGED
9	G407-E0026	G407-S001	f1r	SOURCE_SECTION_T	shod	SH+O+D_ADDR	[wie zuvor]	1	Halte den Kennwert [wie zuvor] fest; als Ausführung; an der bezeichneten Stelle.	Halte denselben Kennwert fest; als Ausführung; an der bezeichneten Stelle.	ALL_BRACKETS_NATURALIZED__SEMANTIC_ROOTS_UNCHANGED
10	G407-E0028	G407-S001	f1r	SOURCE_SECTION_T	cthes	CH+T+E+S	[wie zuvor]|[wie zuvor]|[wie zuvor]	3	Entnimm den laufenden Eintrag [wie zuvor], lege den laufenden Eintrag [wie zuvor] fest und wähle den laufenden Eintrag [wie zuvor]; auf Grad I.	Entnimm denselben laufenden Eintrag, lege denselben laufenden Eintrag fest und wähle denselben laufenden Eintrag; auf Grad I.	ALL_BRACKETS_NATURALIZED__SEMANTIC_ROOTS_UNCHANGED
