case	bundle	edition	page	leaf	paragraphs	writer	groups	characters	status	codes	independent_meaning_capacity
0	0	ZL3b	f100r	100	f100r|f100r.12-f100r.15	FULL	35	231	UNKNOWN_SOURCE	0	0
1	0	ZL3b	f100r	100	f100r|f100r.12-f100r.15	DELTA	35	231	UNKNOWN_SOURCE	0	0
2	1	ZL3b	f100r	100	f100r|f100r.22-f100r.27	FULL	56	307	UNKNOWN_SOURCE	0	0
3	1	ZL3b	f100r	100	f100r|f100r.22-f100r.27	DELTA	56	307	UNKNOWN_SOURCE	0	0
4	2	ZL3b	f100r	100	f100r|f100r.12-f100r.15;f100r|f100r.22-f100r.27	FULL	91	538	UNKNOWN_GAP	0	0
5	2	ZL3b	f100r	100	f100r|f100r.12-f100r.15;f100r|f100r.22-f100r.27	DELTA	91	538	UNKNOWN_GAP	0	0
6	3	ZL3b	f100v	100	f100v|f100v.14-f100v.22	FULL	79	421	UNKNOWN_SOURCE	0	0
7	3	ZL3b	f100v	100	f100v|f100v.14-f100v.22	DELTA	79	421	UNKNOWN_SOURCE	0	0
8	4	ZL3b	f102r1	102	f102r1|f102r1.3-f102r1.6	FULL	28	179	UNKNOWN_SOURCE	0	0
9	4	ZL3b	f102r1	102	f102r1|f102r1.3-f102r1.6	DELTA	28	179	UNKNOWN_SOURCE	0	0
10	5	ZL3b	f102r1	102	f102r1|f102r1.8-f102r1.11	FULL	32	189	UNKNOWN_SOURCE	0	0
11	5	ZL3b	f102r1	102	f102r1|f102r1.8-f102r1.11	DELTA	32	189	UNKNOWN_SOURCE	0	0
12	6	ZL3b	f102r1	102	f102r1|f102r1.13-f102r1.17	FULL	43	214	UNKNOWN_SOURCE	0	0
13	6	ZL3b	f102r1	102	f102r1|f102r1.13-f102r1.17	DELTA	43	214	UNKNOWN_SOURCE	0	0
14	7	ZL3b	f102r1	102	f102r1|f102r1.3-f102r1.6;f102r1|f102r1.8-f102r1.11	FULL	60	368	UNKNOWN_GAP	0	0
15	7	ZL3b	f102r1	102	f102r1|f102r1.3-f102r1.6;f102r1|f102r1.8-f102r1.11	DELTA	60	368	UNKNOWN_GAP	0	0
16	8	ZL3b	f102r1	102	f102r1|f102r1.8-f102r1.11;f102r1|f102r1.13-f102r1.17	FULL	75	403	UNKNOWN_GAP	0	0
17	8	ZL3b	f102r1	102	f102r1|f102r1.8-f102r1.11;f102r1|f102r1.13-f102r1.17	DELTA	75	403	UNKNOWN_GAP	0	0
18	9	ZL3b	f102r1	102	f102r1|f102r1.3-f102r1.6;f102r1|f102r1.8-f102r1.11;f102r1|f102r1.13-f102r1.17	FULL	103	582	UNKNOWN_GAP	0	0
19	9	ZL3b	f102r1	102	f102r1|f102r1.3-f102r1.6;f102r1|f102r1.8-f102r1.11;f102r1|f102r1.13-f102r1.17	DELTA	103	582	UNKNOWN_GAP	0	0
20	10	ZL3b	f102v1	102	f102v1|f102v1.7-f102v1.14	FULL	73	374	UNKNOWN_SOURCE	0	0
21	10	ZL3b	f102v1	102	f102v1|f102v1.7-f102v1.14	DELTA	73	374	UNKNOWN_SOURCE	0	0
22	11	ZL3b	f102v1	102	f102v1|f102v1.19-f102v1.24	FULL	45	267	UNKNOWN_SOURCE	0	0
23	11	ZL3b	f102v1	102	f102v1|f102v1.19-f102v1.24	DELTA	45	267	UNKNOWN_SOURCE	0	0
24	12	ZL3b	f102v1	102	f102v1|f102v1.7-f102v1.14;f102v1|f102v1.19-f102v1.24	FULL	118	641	UNKNOWN_GAP	0	0
25	12	ZL3b	f102v1	102	f102v1|f102v1.7-f102v1.14;f102v1|f102v1.19-f102v1.24	DELTA	118	641	UNKNOWN_GAP	0	0
26	13	ZL3b	f102v2	102	f102v2|f102v2.17-f102v2.23	FULL	75	319	UNKNOWN_SOURCE	0	0
27	13	ZL3b	f102v2	102	f102v2|f102v2.17-f102v2.23	DELTA	75	319	UNKNOWN_SOURCE	0	0
28	14	ZL3b	f102v2	102	f102v2|f102v2.30-f102v2.39	FULL	93	462	UNKNOWN_SOURCE	0	0
29	14	ZL3b	f102v2	102	f102v2|f102v2.30-f102v2.39	DELTA	93	462	UNKNOWN_SOURCE	0	0
30	15	ZL3b	f102v2	102	f102v2|f102v2.17-f102v2.23;f102v2|f102v2.30-f102v2.39	FULL	168	781	UNKNOWN_GAP	0	0
31	15	ZL3b	f102v2	102	f102v2|f102v2.17-f102v2.23;f102v2|f102v2.30-f102v2.39	DELTA	168	781	UNKNOWN_GAP	0	0
32	16	ZL3b	f103r	103	f103r|f103r.1-f103r.4	FULL	50	252	UNKNOWN_SOURCE	0	0
33	16	ZL3b	f103r	103	f103r|f103r.1-f103r.4	DELTA	50	252	UNKNOWN_SOURCE	0	0
34	17	ZL3b	f103r	103	f103r|f103r.5-f103r.7	FULL	36	178	UNKNOWN_SOURCE	0	0
35	17	ZL3b	f103r	103	f103r|f103r.5-f103r.7	DELTA	36	178	UNKNOWN_SOURCE	0	0
36	18	ZL3b	f103r	103	f103r|f103r.8-f103r.12	FULL	62	309	UNKNOWN_SOURCE	0	0
37	18	ZL3b	f103r	103	f103r|f103r.8-f103r.12	DELTA	62	309	UNKNOWN_SOURCE	0	0
38	19	ZL3b	f103r	103	f103r|f103r.13-f103r.15	FULL	30	159	UNKNOWN_SOURCE	0	0
39	19	ZL3b	f103r	103	f103r|f103r.13-f103r.15	DELTA	30	159	UNKNOWN_SOURCE	0	0
40	20	ZL3b	f103r	103	f103r|f103r.16-f103r.17	FULL	21	112	UNKNOWN_SOURCE	0	0
41	20	ZL3b	f103r	103	f103r|f103r.16-f103r.17	DELTA	21	112	UNKNOWN_SOURCE	0	0
42	21	ZL3b	f103r	103	f103r|f103r.18-f103r.20	FULL	28	159	CONTRADICTED_RECORD_COUNT	0	0
43	21	ZL3b	f103r	103	f103r|f103r.18-f103r.20	DELTA	28	159	CONTRADICTED_RECORD_COUNT	0	0
44	22	ZL3b	f103r	103	f103r|f103r.21-f103r.23	FULL	29	152	CONTRADICTED_RECORD_COUNT	0	0
45	22	ZL3b	f103r	103	f103r|f103r.21-f103r.23	DELTA	29	152	CONTRADICTED_RECORD_COUNT	0	0
46	23	ZL3b	f103r	103	f103r|f103r.24-f103r.26	FULL	31	166	UNKNOWN_SOURCE	0	0
47	23	ZL3b	f103r	103	f103r|f103r.24-f103r.26	DELTA	31	166	UNKNOWN_SOURCE	0	0
48	24	ZL3b	f103r	103	f103r|f103r.27-f103r.29	FULL	28	159	UNKNOWN_SOURCE	0	0
49	24	ZL3b	f103r	103	f103r|f103r.27-f103r.29	DELTA	28	159	UNKNOWN_SOURCE	0	0
50	25	ZL3b	f103r	103	f103r|f103r.30-f103r.32	FULL	28	160	CONTRADICTED_RECORD_COUNT	0	0
51	25	ZL3b	f103r	103	f103r|f103r.30-f103r.32	DELTA	28	160	CONTRADICTED_RECORD_COUNT	0	0
52	26	ZL3b	f103r	103	f103r|f103r.33-f103r.34	FULL	14	78	CONTRADICTED_RECORD_COUNT	0	0
53	26	ZL3b	f103r	103	f103r|f103r.33-f103r.34	DELTA	14	78	CONTRADICTED_RECORD_COUNT	0	0
54	27	ZL3b	f103r	103	f103r|f103r.35-f103r.36	FULL	18	100	UNKNOWN_SOURCE	0	0
55	27	ZL3b	f103r	103	f103r|f103r.35-f103r.36	DELTA	18	100	UNKNOWN_SOURCE	0	0
56	28	ZL3b	f103r	103	f103r|f103r.37-f103r.39	FULL	24	146	UNKNOWN_SOURCE	0	0
