event_id	page	statement_id	owner_de	exact_card_id	surface	component_recipe	old_literal_de	revised_literal_de	selected_t_value	local_object
E004	f10r	H1-S001	abgebildete breit gezähnte radialblütige Pflanze	PROC004	chty	T+Y	ANWENDEN · DIES	BEARBEITEN · DIES	BEARBEITEN	laufender Posten unter lokalem Besitzer
E007	f10r	H1-S001	abgebildete breit gezähnte radialblütige Pflanze	PROC007	otytchol	OT+Y+T+CH+OL	DANACH · DIES · ANWENDEN · ENTNEHMEN · WEITER	DANACH · DIES · BEARBEITEN · ENTNEHMEN · WEITER	BEARBEITEN	laufender Posten unter lokalem Besitzer
E010	f10r	H1-S001	abgebildete breit gezähnte radialblütige Pflanze	PROC010	etyd	E+T+Y	KURZ · ANWENDEN · DIES	KURZ · BEARBEITEN · DIES	BEARBEITEN	laufender Posten unter lokalem Besitzer
E039	f11r	H3-S001	abgebildete dicht blau blühende Kronenpflanze	PROC026	tshol	T+SH+OL	ANWENDEN · HALTEN · WEITER	BEARBEITEN · HALTEN · WEITER	BEARBEITEN	abgebildete dicht blau blühende Kronenpflanze
E045	f11r	H3-S001	abgebildete dicht blau blühende Kronenpflanze	PROC032	tchody	T+CH+O+DY	ANWENDEN · ENTNEHMEN · VORGANG · SCHLUSS	BEARBEITEN · ENTNEHMEN · VORGANG · SCHLUSS	BEARBEITEN	laufender Posten unter lokalem Besitzer
E046	f11r	H3-S002	abgebildete dicht blau blühende Kronenpflanze	PROC033	shoyty	SH+O+Y+T+Y	HALTEN · VORGANG · DIES · ANWENDEN · DIES	HALTEN · VORGANG · DIES · BEARBEITEN · DIES	BEARBEITEN	laufender Posten unter lokalem Besitzer
E070	f55v	H4-S004	abgebildete breitblättrige rispige Pflanze	PROC049	oltchy	OL+T+Y	WEITER · ANWENDEN · DIES	WEITER · BEARBEITEN · DIES	BEARBEITEN	laufender Posten unter lokalem Besitzer
E150	f81v	B1-S015	gemeinsame zweireihige Figuren-/Beckenstation	PROC090	ytey	T+E+Y	ANWENDEN · KURZ · DIES	BEARBEITEN · KURZ · DIES	BEARBEITEN	laufender Posten unter lokalem Besitzer
E296	f83r	B3-S029	sichtbares Figurenpaar mit gemeinsamem Bogen in B3	PROC149	cheeety	EEE+T+Y	VOLL · ANWENDEN · DIES	VOLL · BEARBEITEN · DIES	BEARBEITEN	laufender Posten unter lokalem Besitzer
E311	f83r	B3-S034	sichtbares Figurenpaar mit gemeinsamem Bogen in B3	PROC004	chety	T+Y	ANWENDEN · DIES	BEARBEITEN · DIES	BEARBEITEN	laufender Posten unter lokalem Besitzer
