event_id	page	record	locus	locus_position	card_no	component_parse	atomic_card_value_de	card_surface_inventory	multi_surface_card	renderer_first_choice	context_wrapper_rule	remove_wrapper	applied_wrapper_stamp	renderer_final_surface	wrapper_assignment_source	residual_locus_mode	residual_mode_load_here	free_renderer_choice	surface_roundtrip
E001	f10r	H1	f10r.2	FIRST	PROC001	CH+E+Y	diesen Posten kurz abziehen	dchey	NO	dchey	NONE	NONE	NONE	dchey	GLOBAL_RULE_RENDERER	RR01	YES	NO	YES
E002	f10r	H1	f10r.2	MIDDLE	PROC002	CTH+O+OR	bereit · Arbeitsgang · Ansatz	cthoor	NO	cthoor	NONE	NONE	NONE	cthoor	GLOBAL_RULE_RENDERER	RR01	NO	NO	YES
E003	f10r	H1	f10r.2	MIDDLE	PROC003	AR	von dort	char|dar|sar	YES	char	NONE	NONE	NONE	char	GLOBAL_RULE_RENDERER	RR01	NO	NO	YES
E004	f10r	H1	f10r.2	MIDDLE	PROC004	T+Y	den aktuellen Posten eintragen	chety|chty	YES	chty	NONE	NONE	NONE	chty	GLOBAL_RULE_RENDERER	RR01	NO	NO	YES
E005	f10r	H1	f10r.2	MIDDLE	PROC005	OS	Arbeitsfach	os	NO	os	NONE	NONE	NONE	os	GLOBAL_RULE_RENDERER	RR01	NO	NO	YES
E006	f10r	H1	f10r.2	MIDDLE	PROC006	CH+AIR	den laufenden Posten durch laufender Bestand abziehen	chair	NO	chair	NONE	NONE	NONE	chair	GLOBAL_RULE_RENDERER	RR01	NO	NO	YES
E007	f10r	H1	f10r.2	MIDDLE	PROC007	OT+Y+T+CH+OL	danach fortsetzen diesen Posten eintragen und abziehen	otytchol	NO	otytchol	NONE	NONE	NONE	otytchol	GLOBAL_RULE_RENDERER	RR01	NO	NO	YES
E008	f10r	H1	f10r.2	MIDDLE	PROC008	OK+Y	den aktuellen Posten in Einsatz bringen	choky|oky|qoky	YES	choky	NONE	ch	Ø	oky	RESIDUAL_LOCUS_TABLE	RR01	NO	NO	YES
E009	f10r	H1	f10r.2	MIDDLE	PROC009	AIIN	vorgeschriebenes Maß	aiin|chaiin|daiin|saiin|taiin	YES	daiin	NONE	NONE	NONE	daiin	GLOBAL_RULE_RENDERER	RR01	NO	NO	YES
E010	f10r	H1	f10r.2	LAST	PROC010	E+T+Y	diesen Posten kurz eintragen	etyd	NO	etyd	NONE	NONE	NONE	etyd	GLOBAL_RULE_RENDERER	RR01	NO	NO	YES
