event_id	page	record	locus	residual_locus_mode	mode_load_here	card_no	component_parse	first_choice	remove_wrapper	applied_wrapper_stamp	final_surface	local_copy_required	free_choice
E008	f10r	H1	f10r.2	RR01	NO	PROC008	OK+Y	choky	ch	Ø	oky	YES	NO
E011	f10r	H1	f10r.5	RR02	YES	PROC011	OK+Y	okchy	Ø	q	qokchy	YES	NO
E020	f10r	H2	f10r.6	RR03	NO	PROC019	Y	chy	ch	d	dy	YES	NO
E022	f10r	H2	f10r.6	RR03	NO	PROC009	AIIN	daiin	d	t	taiin	YES	NO
E023	f10r	H2	f10r.6	RR03	NO	PROC019	Y	chey	che	sh	shy	YES	NO
E024	f10r	H2	f10r.8	RR04	YES	PROC020	OT+CH+OR	otchor	Ø	q	qotchor	YES	NO
E028	f10r	H2	f10r.8	RR04	NO	PROC022	OL+OR	olor	Ø	ch	cholor	YES	NO
E033	f10r	H2	f10r.9	RR05	NO	PROC016	OR	chor	c	s	shor	YES	NO
E037	f10r	H2	f10r.9	RR05	NO	PROC019	Y	chy	ch	d	dy	YES	NO
E050	f11r	H3	f11r.4	RR06	NO	PROC019	Y	chy	ch	d	dy	YES	NO
E055	f11r	H3	f11r.7	RR07	NO	PROC019	Y	chey	che	d	dy	YES	NO
E057	f55v	H4	f55v.5	RR08	NO	PROC009	AIIN	daiin	d	ch	chaiin	YES	NO
E068	f55v	H4	f55v.11	RR09	NO	PROC009	AIIN	daiin	d	Ø	aiin	YES	NO
E069	f55v	H4	f55v.11	RR09	NO	PROC048	OK+AL	qokal	q	Ø	okal	YES	NO
E072	f55v	H4	f55v.11	RR09	NO	PROC019	Y	chey	che	Ø	y	YES	NO
E083	f56r	H5	f56r.8	RR10	YES	PROC034	OL	dchol	d	s	schol	YES	NO
E095	f56r	H5	f56r.18	RR11	NO	PROC011	OK+Y	okchy	Ø	ch	chokchy	YES	NO
E102	f81v	B1	f81v.2	RR12	NO	PROC038	OK+AIIN	qokaiin	q	Ø	okaiin	YES	NO
E104	f81v	B1	f81v.2	RR12	NO	PROC048	OK+AL	qokal	q	Ø	okal	YES	NO
E105	f81v	B1	f81v.2	RR12	NO	PROC003	AR	char	ch	s	sar	YES	NO
E109	f81v	B1	f81v.2	RR12	NO	PROC055	AL	dal	d	Ø	al	YES	NO
E121	f81v	B1	f81v.7	RR13	NO	PROC013	OL	ol	Ø	q	qol	YES	NO
E128	f81v	B1	f81v.17	RR14	NO	PROC075	CKH+Y	chckhy	c	s	shckhy	YES	NO
E142	f81v	B1	f81v.21	RR15	NO	PROC085	OK+E+Y	okey	Ø	q	qokey	YES	NO
E148	f81v	B1	f81v.21	RR15	NO	PROC013	OL	ol	Ø	q	qol	YES	NO
E153	f81v	B1	f81v.24	RR16	NO	PROC092	OK+EE+Y	qokeey	q	Ø	okeey	YES	NO
E154	f81v	B1	f81v.24	RR16	NO	PROC013	OL	ol	Ø	q	qol	YES	NO
E155	f81v	B1	f81v.24	RR16	NO	PROC078	SHED+DY	shedy	sh	che	cheedy	YES	NO
