card_no	component_parse	atomic_card_value_de	surface_inventory	visible_events	global_rule_events	automatic_context_events	residual_local_events	rule_renderable_without_local_table
PROC003	AR	von dort	char|dar|sar	5	2	2	1	4
PROC004	T+Y	den aktuellen Posten eintragen	chety|chty	2	1	0	1	1
PROC008	OK+Y	den aktuellen Posten in Einsatz bringen	choky|oky|qoky	10	9	0	1	9
PROC009	AIIN	vorgeschriebenes Maß	aiin|chaiin|daiin|saiin|taiin	20	13	0	7	13
PROC011	OK+Y	den aktuellen Posten in Einsatz bringen	chokchy|okchy|qokchy	3	1	0	2	1
PROC013	OL	fortsetzen	cheol|chol|ol|qol|sol|tol	19	14	0	5	14
PROC014	CTH+Y	bereit · dieser Posten	checthy|cthy|shcthy	7	5	0	2	5
PROC016	OR	Ansatz	chor|or|shor|sor	7	3	2	2	5
PROC019	Y	dieser Posten	chey|chy|dy|shy|sy|y	18	10	0	8	10
PROC020	OT+CH+OR	danach den Ansatz abziehen	otchor|qotchor	2	1	0	1	1
PROC022	OL+OR	fortsetzen · Ansatz	cholor|olor	2	1	0	1	1
PROC031	SH+EE+Y	diesen Posten länger halten	cheey|shey	4	2	2	0	4
PROC034	OL	fortsetzen	dchol|schol	2	1	0	1	1
PROC038	OK+AIIN	nach vorgeschriebenem Maß in Einsatz bringen	okaiin|qokaiin	9	8	0	1	8
PROC042	CHD+Y	den aktuellen Posten umsetzen	chdy|chedy	11	10	0	1	10
PROC048	OK+AL	den laufenden Posten an bezeichnete Stelle ansetzen	okal|qokal	6	4	0	2	4
PROC052	HO	Gabe	cho|sho	4	4	0	0	4
PROC055	AL	bezeichnete Stelle	al|chal|cheal|dal|sal|tal	10	5	0	5	5
PROC069	K+AIN	den laufenden Posten nach Portion zuführen	chkain|kain	3	2	0	1	2
PROC070	OL+K+AIN	fortsetzen den laufenden Posten nach Portion zuführen	olkain|qolkain	2	1	0	1	1
PROC075	CKH+Y	Durchlass · dieser Posten	chckhy|shckhy	4	3	0	1	3
PROC076	CHD+DY	überführen und den Schritt schließen	dchedy|schedy|tchedy	4	2	0	2	2
PROC078	SHED+DY	absetzen und den Schritt schließen	cheedy|shedy|tedy	12	10	0	2	10
PROC079	OL+CHD+DY	fortsetzen den laufenden Posten umsetzen; Schritt schließen	olchedy|qolchedy	3	2	0	1	2
PROC080	OK+AIN	den laufenden Posten nach Portion ansetzen	okain|qokain	7	4	2	1	6
PROC085	OK+E+Y	diesen Posten kurz ansetzen	okey|qokey	2	1	0	1	1
PROC091	OK+CHD+DY	den laufenden Posten ansetzen und umsetzen; Schritt schließen	okchedy|qokchedy	2	1	0	1	1
PROC092	OK+EE+Y	den aktuellen Posten länger in Einsatz halten	okeey|qokeey	7	6	0	1	6
PROC097	O+IIN	Arbeitsgang · Sollstufe	oiiin|soiiin	2	1	0	1	1
PROC098	SOLK+EE+DY	den laufenden Posten länger auffangen; Schritt schließen	olkeedy|solkeedy	3	2	0	1	2
PROC112	OT+AIIN	danach · vorgeschriebenes Maß	otaiin|sotaiin	3	2	0	1	2
PROC117	CTH+E+Y	bereit · kurz · dieser Posten	qcthey|shcthey	2	1	0	1	1
PROC131	OT+AL	danach · bezeichnete Stelle	otal|qotal	3	2	0	1	2
PROC145	OT+CHD+DY	danach den laufenden Posten umsetzen; Schritt schließen	otchedy|qotchedy	2	1	0	1	1
