statement_id	page	record	events	owner_noun_de	surface_sequence	component_sequence	state_endpoint_sequence	licensed_close_cards	working_reading_de	form_owner_boundary_status
H1-S001	f10r	H1	10	die breite gezahnte Bluetenpflanze	dchey cthoor char chty os chair otytchol oky daiin etyd	CH+E+Y | CTH+O+OR | AR | T+Y | OS | CH+AIR | OT+Y+T+CH+OL | OK+Y | AIIN | E+T+Y	E001:E/Y | E004:NONE/Y | E007:NONE/Y | E008:NONE/Y | E010:E/Y	0	Bei der breiten gezahnten Bluetenpflanze: Den laufenden Posten kurz entnehmen; den Ansatz im Arbeitsgang bereiten und aus der Quelle anwenden; Wasser entnehmen, danach den Posten weiterfuehren, nach Sollmass ansetzen und kurz anwenden.	UNCHANGED
H1-S002	f10r	H1	4	die breite gezahnte Bluetenpflanze	qokchy qotchol chol cthy	OK+Y | OT+CH+OL | OL | CTH+Y	E011:NONE/Y | E014:NONE/Y	0	Bei der breiten gezahnten Bluetenpflanze: Den laufenden Posten ansetzen, danach entnehmen und weiterfuehren, weiterarbeiten und ihn bereitet halten.	UNCHANGED
H2-S001	f10r	H2	9	die breite gezahnte Bluetenpflanze	ycheor cthy chor cthaiin qoctholy dy chy taiin shy	Y+CH+E+OR | CTH+Y | OR | CTH+AIIN | O+CTH+OL+Y | Y | Y | AIIN | Y	E015:E/Y | E016:NONE/Y | E019:NONE/Y | E020:NONE/Y | E021:NONE/Y | E023:NONE/Y	0	Bei der breiten gezahnten Bluetenpflanze: Vom laufenden Ansatz kurz entnehmen; den Posten bereitet halten, den Ansatz nach Sollmass weiterbearbeiten und als aktuellen Posten verfuegbar lassen.	UNCHANGED
H2-S002	f10r	H2	8	die breite gezahnte Bluetenpflanze	qotchor chor otol chol cholor chol daiin dar	OT+CH+OR | OR | OT+OL | OL | OL+OR | OL | AIIN | AR	NONE	0	Bei der breiten gezahnten Bluetenpflanze: Danach vom Ansatz entnehmen; denselben Ansatz in mehreren Fortsetzungsschritten nach Sollmass aus der Quelle weiterfuehren.	UNCHANGED
H2-S003	f10r	H2	7	die breite gezahnte Bluetenpflanze	oykchor shor chor chy kaiiin dy chodaiin	O+Y+K+OR | OR | OR | Y | K+IIN | Y | CH+O+AIIN	E032:NONE/Y | E035:NONE/Y | E037:NONE/Y	0	Bei der breiten gezahnten Bluetenpflanze: Im Arbeitsgang den aktuellen Ansatz zugeben; denselben Ansatz als laufenden Posten beibehalten, bis zur Arbeitsstufe weiter zugeben und anschliessend im Arbeitsgang nach Sollmass entnehmen.	UNCHANGED
H3-S001	f11r	H3	7	die dicht bluehende Kronenpflanze	tshol schoal cfhy shfydaiin cphy shey tchody	T+SH+OL | SH+O+AL | CFH+Y | SH+Y+AIIN | P+Y | SH+EE+Y | T+CH+O+DY	E041:NONE/Y | E042:NONE/Y | E043:NONE/Y | E044:EE/Y | E045:NONE/DY	1	Bei der dicht bluehenden Kronenpflanze: Den Ansatz an der Zielstelle weiter halten; auswringen, bis zum Sollmass halten, in den Empfaenger fuellen, laenger halten, entnehmen und den Schritt schliessen.	UNCHANGED
H3-S002	f11r	H3	1	die dicht bluehende Kronenpflanze	shoyty	SH+O+Y+T+Y	E046:NONE/Y	0	Bei der dicht bluehenden Kronenpflanze: Den laufenden Posten im Arbeitsgang halten und anwenden.	UNCHANGED
H3-S003	f11r	H3	5	die dicht bluehende Kronenpflanze	dchol chy kchy dy daiin	RESUME_CARD | Y | K+Y | Y | AIIN	E048:NONE/Y | E049:NONE/Y | E050:NONE/Y	0	Bei der dicht bluehenden Kronenpflanze: Den vorigen Vorgang wiederaufnehmen, den aktuellen Posten beibehalten, ihm zugeben und ihn bis zum Sollmass weiterfuehren.	UNCHANGED
H3-S004	f11r	H3	4	die dicht bluehende Kronenpflanze	qotchy okchol cthy dy	OT+Y | OK+OL | CTH+Y | Y	E052:NONE/Y | E054:NONE/Y | E055:NONE/Y	0	Bei der dicht bluehenden Kronenpflanze: Danach den laufenden Posten; dann weiter ansetzen; dann ihn bereitet halten; dann ihn beibehalten.	UNCHANGED
H4-S001	f55v	H4	5	die breitblaettrige rispige Pflanze	qokaiin chaiin ykain ykan ody	OK+AIIN | AIIN | Y+K+AIN | Y+K+AN | O+DY	E058:NONE/Y | E059:NONE/Y | E060:NONE/DY	1	Bei der breitblaettrigen rispigen Pflanze: Nach Mass ansetzen; dem laufenden Posten eine Portion und danach eine Nachgabe zugeben; den Arbeitsgang schliessen.	UNCHANGED
H4-S002	f55v	H4	3	die breitblaettrige rispige Pflanze	daiin chedy talam	AIIN | CHD+Y | TALAM	E062:NONE/Y	0	Bei der breitblaettrigen rispigen Pflanze: Nach Mass den laufenden Posten umsetzen und anschliessend verwahren.	UNCHANGED
H4-S003	f55v	H4	4	die breitblaettrige rispige Pflanze	ykaiin cheoar cheeky oldy	Y+K+AIIN | CH+E+O+AR | CHK+EE+Y | OL+DY	E064:NONE/Y | E065:E/NONE | E066:EE/Y | E067:NONE/DY	1	Bei der breitblaettrigen rispigen Pflanze: Den laufenden Posten nach Sollmass zugeben; dann kurz im Arbeitsgang aus der Quelle entnehmen; dann ihn laenger erwaermen; dann fortsetzen; den Schritt schliessen.	UNCHANGED
H4-S004	f55v	H4	6	die breitblaettrige rispige Pflanze	aiin okal oltchy or y orain	AIIN | OK+AL | OL+T+Y | OR | Y | OR+AIN	E070:NONE/Y | E072:NONE/Y	0	Bei der breitblaettrigen rispigen Pflanze: Nach Mass an der Zielstelle ansetzen, den laufenden Posten weiter anwenden, als Ansatz beibehalten und als Ansatzportion fuehren.	UNCHANGED
H5-S001	f56r	H5	9	die mehrkoepfige stachelige Pflanze	chochor cho chodaly daiin sho kchol otchor choky dal	HO+CH+OR | HO | HO+AL+Y | AIIN | HO | K+OL | OT+CH+OR | OK+Y | AL	E076:NONE/Y | E081:NONE/Y	0	Bei der mehrkoepfigen stacheligen Pflanze: Eine Zutat fuer den Ansatz entnehmen, zur Zielstelle bringen und nach Sollmass weiter zugeben; danach vom Ansatz entnehmen und den Posten an der Zielstelle ansetzen.	UNCHANGED
H5-S002	f56r	H5	4	die mehrkoepfige stachelige Pflanze	schol choy choky cheeckhody	RESUME_CARD | HO+Y | OK+Y | CH+EE+CKH+O+DY	E084:NONE/Y | E085:NONE/Y | E086:EE/DY	1	Bei der mehrkoepfigen stacheligen Pflanze: Den vorigen Vorgang wiederaufnehmen, die Zutat als laufenden Posten fuehren und ansetzen; laenger im Arbeitsgang durch den Durchlass entnehmen und schliessen.	UNCHANGED
H5-S003	f56r	H5	4	die mehrkoepfige stachelige Pflanze	sh cho kchey qokokchy	SH | HO | K+E+Y | OK+OK+Y	E089:E/Y | E090:NONE/Y	0	Bei der mehrkoepfigen stacheligen Pflanze: Die Zutat halten, dem laufenden Posten kurz zugeben und ihn zweimal ansetzen.	UNCHANGED
H5-S004	f56r	H5	3	die mehrkoepfige stachelige Pflanze	okchy chokcheo kchal	OK+Y | OK+CH+E+O | K+AL	E091:NONE/Y | E092:E/NONE	0	Bei der mehrkoepfigen stacheligen Pflanze: Den laufenden Posten ansetzen; dann kurz im Arbeitsgang ansetzen und entnehmen; dann zur Zielstelle zugeben.	UNCHANGED
H5-S005	f56r	H5	4	die mehrkoepfige stachelige Pflanze	sho chokchy kchoar sotodan	HO | OK+Y | K+HO+AR | OT+O+AIN	E095:NONE/Y	0	Bei der mehrkoepfigen stacheligen Pflanze: Die Zutat bereiten, den laufenden Posten ansetzen und die Zutat aus der Quelle zugeben; danach eine Portion in den Arbeitsgang nehmen.	UNCHANGED
H5-S006	f56r	H5	3	die mehrkoepfige stachelige Pflanze	otchey keol daiin	OT+Y | K+E+OL | AIIN	E098:NONE/Y | E099:E/NONE	0	Bei der mehrkoepfigen stacheligen Pflanze: Danach den laufenden Posten kurz weiter zugeben, bis das Mass erreicht ist.	UNCHANGED
B1-S001	f81v	B1	1	das gemeinsame zweireihige Becken	qokedy	OK+E+DY	E101:E/DY	1	Am gemeinsamen zweireihigen Becken: Kurz ansetzen und den Schritt schliessen.	UNCHANGED
B1-S002	f81v	B1	19	das gemeinsame zweireihige Becken	okaiin kair okal sar ol kain olkain al ol rol dl olor ol sheckhal daiin qokeedal daiin chckhy schedy	OK+AIIN | K+AIR | OK+AL | AR | OL | K+AIN | OL+K+AIN | AL | OL | R+OL | L | OL+OR | OL | SH+E+CKH+AL | AIIN | OK+EE+AL | AIIN | CKH+Y | CHD+DY	E115:E/NONE | E117:EE/NONE | E119:NONE/Y | E120:NONE/DY	1	Am gemeinsamen zweireihigen Becken: Nach Mass ansetzen und die laufende Fluessigkeit zugeben. An der Zielstelle aus der Quelle weiterarbeiten: eine Portion und dann eine weitere Portion zugeben, weiter kuehlen und weiterleiten. Den Ansatz fortsetzen, kurz am Durchlass dem Ziel halten, erneut nach Sollmass laenger ansetzen, den Posten durch den Durchlass umsetzen und schliessen.	UNCHANGED
B1-S003	f81v	B1	2	das gemeinsame zweireihige Becken	qol sshkchdy	OL | SH+K+CHD+DY	E122:NONE/DY	1	Am gemeinsamen zweireihigen Becken: Fortsetzen; dann halten, zugeben und umsetzen; den Schritt schliessen.	UNCHANGED
B1-S004	f81v	B1	3	das gemeinsame zweireihige Becken	chedy ol shedy	CHD+Y | OL | SHED+DY	E123:NONE/Y | E125:NONE/DY	1	Am gemeinsamen zweireihigen Becken: Den laufenden Posten umsetzen; dann fortsetzen; dann absetzen lassen; den Schritt schliessen.	UNCHANGED
B1-S005	f81v	B1	1	das gemeinsame zweireihige Becken	qolchedy	OL+CHD+DY	E126:NONE/DY	1	Am gemeinsamen zweireihigen Becken: Weiter umsetzen; den Schritt schliessen.	UNCHANGED
B1-S006	f81v	B1	4	das gemeinsame zweireihige Becken	qokain shckhy dl ral	OK+AIN | CKH+Y | L | R+AL	E128:NONE/Y	0	Am gemeinsamen zweireihigen Becken: Als Portion ansetzen; dann den laufenden Posten durch den Durchlass; dann weiterleiten; dann zur Zielstelle kuehlen.	UNCHANGED
B1-S007	f81v	B1	1	das gemeinsame zweireihige Becken	qokchdy	OK+CHD+DY	E131:NONE/DY	1	Am gemeinsamen zweireihigen Becken: Ansetzen und umsetzen; den Schritt schliessen.	UNCHANGED
B1-S008	f81v	B1	5	das gemeinsame zweireihige Becken	chey ol cheky ol shedy	Y | OL | CHK+E+Y | OL | SHED+DY	E132:NONE/Y | E134:E/Y | E136:NONE/DY	1	Am gemeinsamen zweireihigen Becken: Den Posten beibehalten und fortsetzen, kurz erwaermen, weiterfuehren, absetzen lassen und den Schritt schliessen.	UNCHANGED
B1-S009	f81v	B1	1	das gemeinsame zweireihige Becken	qokedy	OK+E+DY	E137:E/DY	1	Am gemeinsamen zweireihigen Becken: Kurz ansetzen; den Schritt schliessen.	UNCHANGED
B1-S010	f81v	B1	1	das gemeinsame zweireihige Becken	qokedy	OK+E+DY	E138:E/DY	1	Am gemeinsamen zweireihigen Becken: Kurz ansetzen; den Schritt schliessen.	UNCHANGED
B1-S011	f81v	B1	2	das gemeinsame zweireihige Becken	chckhy qoky	CKH+Y | OK+Y	E139:NONE/Y | E140:NONE/Y	0	Am gemeinsamen zweireihigen Becken: Den laufenden Posten durch den Durchlass; dann ihn ansetzen.	UNCHANGED
B1-S012	f81v	B1	3	das gemeinsame zweireihige Becken	lsho qokey lshedy	LSH+O | OK+E+Y | LSH+E+DY	E142:E/Y | E143:E/DY	1	Am gemeinsamen zweireihigen Becken: Den Arbeitsgang waschen, den Posten kurz ansetzen, nochmals kurz waschen und den Schritt schliessen.	UNCHANGED
B1-S013	f81v	B1	1	das gemeinsame zweireihige Becken	lshedy	LSH+E+DY	E144:E/DY	1	Am gemeinsamen zweireihigen Becken: Kurz waschen und den Schritt schliessen.	UNCHANGED
B1-S014	f81v	B1	5	das gemeinsame zweireihige Becken	chedy qolky lchedal qol otar	CHD+Y | SOLK+Y | L+CHD+AL | OL | OT+AR	E145:NONE/Y | E146:NONE/Y	0	Am gemeinsamen zweireihigen Becken: Den Posten umsetzen und auffangen; zur Zielstelle weiterleiten und umsetzen, dort fortsetzen und danach zum Quelle wechseln.	UNCHANGED
B1-S015	f81v	B1	2	das gemeinsame zweireihige Becken	ytey okchedy	T+E+Y | OK+CHD+DY	E150:E/Y | E151:NONE/DY	1	Am gemeinsamen zweireihigen Becken: Kurz den laufenden Posten anwenden; dann ansetzen und umsetzen; den Schritt schliessen.	UNCHANGED
B1-S016	f81v	B1	4	das gemeinsame zweireihige Becken	qokal okeey qol cheedy	OK+AL | OK+EE+Y | OL | SHED+DY	E153:EE/Y | E155:NONE/DY	1	Am gemeinsamen zweireihigen Becken: Zur Zielstelle ansetzen; dann laenger den laufenden Posten ansetzen; dann fortsetzen; dann absetzen lassen; den Schritt schliessen.	UNCHANGED
B1-S017	f81v	B1	3	das gemeinsame zweireihige Becken	sal teol dchdy	AL | E+OL | CHD+DY	E157:E/NONE | E158:NONE/DY	1	Am gemeinsamen zweireihigen Becken: An der Zielstelle kurz fortsetzen, umsetzen und den Schritt schliessen.	UNCHANGED
B1-S018	f81v	B1	4	das gemeinsame zweireihige Becken	ly dsheol oiiin olkeedy	L+Y | SH+E+OL | O+IIN | SOLK+EE+DY	E159:NONE/Y | E160:E/NONE | E162:EE/DY	1	Am gemeinsamen zweireihigen Becken: Den laufenden Posten weiterleiten; dann kurz weiter halten; dann im Arbeitsgang bis zur Arbeitsstufe; dann laenger auffangen; den Schritt schliessen.	UNCHANGED
B1-S019	f81v	B1	1	das gemeinsame zweireihige Becken	tedy	SHED+DY	E163:NONE/DY	1	Am gemeinsamen zweireihigen Becken: Absetzen lassen; den Schritt schliessen.	UNCHANGED
B1-S020	f81v	B1	2	das gemeinsame zweireihige Becken	cheky shckhedy	CHK+E+Y | SH+CKH+E+DY	E164:E/Y | E165:E/DY	1	Am gemeinsamen zweireihigen Becken: Kurz den laufenden Posten erwaermen; dann kurz durch den Durchlass halten; den Schritt schliessen.	UNCHANGED
B1-S021	f81v	B1	1	das gemeinsame zweireihige Becken	chal	AL	NONE	0	Am gemeinsamen zweireihigen Becken: Die Zielstelle festlegen.	UNCHANGED
B2-S001	f82r	B2	1	die oberen Paarbecken mit Zylinder	dchedy	CHD+DY	E167:NONE/DY	1	An den oberen Paarbecken mit Zylinder: Umsetzen und den Schritt schliessen.	UNCHANGED
B2-S002	f82r	B2	1	die oberen Paarbecken mit Zylinder	qolchedy	OL+CHD+DY	E168:NONE/DY	1	An den oberen Paarbecken mit Zylinder: Weiter umsetzen; den Schritt schliessen.	UNCHANGED
B2-S003	f82r	B2	3	die oberen Paarbecken mit Zylinder	qokain dy qokeedy	OK+AIN | Y | OK+EE+DY	E170:NONE/Y | E171:EE/DY	1	An den oberen Paarbecken mit Zylinder: Als Portion ansetzen; dann den laufenden Posten beibehalten; dann laenger ansetzen; den Schritt schliessen.	UNCHANGED
B2-S004	f82r	B2	5	die oberen Paarbecken mit Zylinder	qokal lcheckhy lched qokeey lcheckhedy	OK+AL | L+CKH+Y | L+CHD | OK+EE+Y | L+CKH+E+DY	E173:NONE/Y | E175:EE/Y | E176:E/DY	1	An den oberen Paarbecken mit Zylinder: An der Zielstelle ansetzen; den Posten durch den Durchlass weiterleiten und umsetzen, laenger ansetzen, danach kurz durch den Durchlass weiterleiten und schliessen.	UNCHANGED
