exact_card_id	semantic_family	component_recipe	state_roots	grade	endpoint	reading_de	registered_surfaces	events	semantic_status
PROC001	SEM001	CH+E+Y	E+Y	E	Y	ENTNEHMEN · KURZ · DIES	dchey	1	UNCHANGED__STATE_ENDPOINT_ANNOTATED
PROC004	SEM004	T+Y	Y	NONE	Y	ANWENDEN · DIES	chety|chty	2	UNCHANGED__STATE_ENDPOINT_ANNOTATED
PROC007	SEM007	OT+Y+T+CH+OL	Y	NONE	Y	DANACH · DIES · ANWENDEN · ENTNEHMEN · WEITER	otytchol	1	UNCHANGED__STATE_ENDPOINT_ANNOTATED
PROC008	SEM008	OK+Y	Y	NONE	Y	ANSETZEN · DIES	choky|oky|qoky	10	UNCHANGED__STATE_ENDPOINT_ANNOTATED
PROC011	SEM008	OK+Y	Y	NONE	Y	ANSETZEN · DIES	chokchy|okchy|qokchy	3	UNCHANGED__STATE_ENDPOINT_ANNOTATED
PROC010	SEM010	E+T+Y	E+Y	E	Y	KURZ · ANWENDEN · DIES	etyd	1	UNCHANGED__STATE_ENDPOINT_ANNOTATED
PROC014	SEM013	CTH+Y	Y	NONE	Y	BEREITEN · DIES	checthy|cthy|shcthy	7	UNCHANGED__STATE_ENDPOINT_ANNOTATED
PROC015	SEM014	Y+CH+E+OR	E+Y	E	Y	DIES · ENTNEHMEN · KURZ · ANSATZ	ycheor	1	UNCHANGED__STATE_ENDPOINT_ANNOTATED
PROC018	SEM017	O+CTH+OL+Y	Y	NONE	Y	ARBEITSGANG · BEREITEN · WEITER · DIES	qoctholy	1	UNCHANGED__STATE_ENDPOINT_ANNOTATED
PROC019	SEM018	Y	Y	NONE	Y	DIES	chey|chy|dy|shy|sy|y	18	UNCHANGED__STATE_ENDPOINT_ANNOTATED
PROC023	SEM022	O+Y+K+OR	Y	NONE	Y	ARBEITSGANG · DIES · ZUGEBEN · ANSATZ	oykchor	1	UNCHANGED__STATE_ENDPOINT_ANNOTATED
PROC028	SEM027	CFH+Y	Y	NONE	Y	AUSWRINGEN · DIES	cfhy	1	UNCHANGED__STATE_ENDPOINT_ANNOTATED
PROC029	SEM028	SH+Y+AIIN	Y	NONE	Y	HALTEN · DIES · SOLLMASS	shfydaiin	1	UNCHANGED__STATE_ENDPOINT_ANNOTATED
PROC030	SEM029	P+Y	Y	NONE	Y	EINFUELLEN · DIES	cphy	1	UNCHANGED__STATE_ENDPOINT_ANNOTATED
PROC031	SEM030	SH+EE+Y	EE+Y	EE	Y	HALTEN · LANG · DIES	cheey|shey	4	UNCHANGED__STATE_ENDPOINT_ANNOTATED
PROC157	SEM030	SH+EE+Y	EE+Y	EE	Y	HALTEN · LANG · DIES	sheey	1	UNCHANGED__STATE_ENDPOINT_ANNOTATED
PROC032	SEM031	T+CH+O+DY	DY	NONE	DY	ANWENDEN · ENTNEHMEN · ARBEITSGANG · SCHLUSS	tchody	1	UNCHANGED__STATE_ENDPOINT_ANNOTATED
PROC033	SEM032	SH+O+Y+T+Y	Y	NONE	Y	HALTEN · ARBEITSGANG · DIES · ANWENDEN · DIES	shoyty	1	UNCHANGED__STATE_ENDPOINT_ANNOTATED
PROC035	SEM034	K+Y	Y	NONE	Y	ZUGEBEN · DIES	kchy	1	UNCHANGED__STATE_ENDPOINT_ANNOTATED
PROC036	SEM035	OT+Y	Y	NONE	Y	DANACH · DIES	qotchy	1	UNCHANGED__STATE_ENDPOINT_ANNOTATED
PROC065	SEM035	OT+Y	Y	NONE	Y	DANACH · DIES	otchey	2	UNCHANGED__STATE_ENDPOINT_ANNOTATED
PROC039	SEM038	Y+K+AIN	Y	NONE	Y	DIES · ZUGEBEN · PORTION	ykain	1	UNCHANGED__STATE_ENDPOINT_ANNOTATED
PROC040	SEM039	Y+K+AN	Y	NONE	Y	DIES · ZUGEBEN · NACHGABE	ykan	1	UNCHANGED__STATE_ENDPOINT_ANNOTATED
PROC041	SEM040	O+DY	DY	NONE	DY	ARBEITSGANG · SCHLUSS	ody	1	UNCHANGED__STATE_ENDPOINT_ANNOTATED
PROC042	SEM041	CHD+Y	Y	NONE	Y	UMSETZEN · DIES	chdy|chedy	11	UNCHANGED__STATE_ENDPOINT_ANNOTATED
PROC133	SEM041	CHD+Y	Y	NONE	Y	UMSETZEN · DIES	chedchy	1	UNCHANGED__STATE_ENDPOINT_ANNOTATED
PROC044	SEM043	Y+K+AIIN	Y	NONE	Y	DIES · ZUGEBEN · SOLLMASS	ykaiin	1	UNCHANGED__STATE_ENDPOINT_ANNOTATED
PROC045	SEM044	CH+E+O+AR	E	E	NONE	ENTNEHMEN · KURZ · ARBEITSGANG · QUELLE	cheoar	1	UNCHANGED__STATE_ENDPOINT_ANNOTATED
PROC046	SEM045	CHK+EE+Y	EE+Y	EE	Y	WAERMEN · LANG · DIES	cheeky	2	UNCHANGED__STATE_ENDPOINT_ANNOTATED
PROC107	SEM045	CHK+EE+Y	EE+Y	EE	Y	WAERMEN · LANG · DIES	chkeey	1	UNCHANGED__STATE_ENDPOINT_ANNOTATED
PROC047	SEM046	OL+DY	DY	NONE	DY	WEITER · SCHLUSS	oldy	2	UNCHANGED__STATE_ENDPOINT_ANNOTATED
PROC049	SEM048	OL+T+Y	Y	NONE	Y	WEITER · ANWENDEN · DIES	oltchy	1	UNCHANGED__STATE_ENDPOINT_ANNOTATED
PROC053	SEM052	HO+AL+Y	Y	NONE	Y	ZUTAT · ZIELSTELLE · DIES	chodaly	1	UNCHANGED__STATE_ENDPOINT_ANNOTATED
PROC056	SEM055	HO+Y	Y	NONE	Y	ZUTAT · DIES	choy	1	UNCHANGED__STATE_ENDPOINT_ANNOTATED
PROC057	SEM056	CH+EE+CKH+O+DY	EE+DY	EE	DY	ENTNEHMEN · LANG · DURCHLASS · ARBEITSGANG · SCHLUSS	cheeckhody	1	UNCHANGED__STATE_ENDPOINT_ANNOTATED
PROC059	SEM058	K+E+Y	E+Y	E	Y	ZUGEBEN · KURZ · DIES	kchey	1	UNCHANGED__STATE_ENDPOINT_ANNOTATED
PROC060	SEM059	OK+OK+Y	Y	NONE	Y	ANSETZEN · ANSETZEN · DIES	qokokchy	1	UNCHANGED__STATE_ENDPOINT_ANNOTATED
PROC061	SEM060	OK+CH+E+O	E	E	NONE	ANSETZEN · ENTNEHMEN · KURZ · ARBEITSGANG	chokcheo	1	UNCHANGED__STATE_ENDPOINT_ANNOTATED
PROC066	SEM064	K+E+OL	E	E	NONE	ZUGEBEN · KURZ · WEITER	keol	1	UNCHANGED__STATE_ENDPOINT_ANNOTATED
PROC067	SEM065	OK+E+DY	E+DY	E	DY	ANSETZEN · KURZ · SCHLUSS	qokedy	8	UNCHANGED__STATE_ENDPOINT_ANNOTATED
PROC073	SEM071	SH+E+CKH+AL	E	E	NONE	HALTEN · KURZ · DURCHLASS · ZIELSTELLE	sheckhal	1	UNCHANGED__STATE_ENDPOINT_ANNOTATED
PROC074	SEM072	OK+EE+AL	EE	EE	NONE	ANSETZEN · LANG · ZIELSTELLE	qokeedal	1	UNCHANGED__STATE_ENDPOINT_ANNOTATED
PROC075	SEM073	CKH+Y	Y	NONE	Y	DURCHLASS · DIES	chckhy|shckhy	4	UNCHANGED__STATE_ENDPOINT_ANNOTATED
PROC076	SEM074	CHD+DY	DY	NONE	DY	UMSETZEN · SCHLUSS	dchedy|schedy|tchedy	4	UNCHANGED__STATE_ENDPOINT_ANNOTATED
PROC094	SEM074	CHD+DY	DY	NONE	DY	UMSETZEN · SCHLUSS	dchdy	1	UNCHANGED__STATE_ENDPOINT_ANNOTATED
