operation	operation_reading_de	grade	grade_reading_de	endpoint	endpoint_reading_de	exact_cards	events	card_ids	component_recipes
OK	ANSETZEN	NONE	NONE	NONE	NONE	7	26	PROC037,PROC038,PROC048,PROC080,PROC113,PROC138,PROC160	OK+OL | OK+AIIN | OK+AL | OK+AIN | OK+AR | OK+AIR
OK	ANSETZEN	NONE	NONE	Y	DIES	4	15	PROC008,PROC011,PROC060,PROC104	OK+Y | OK+OK+Y | OK+AL+Y
OK	ANSETZEN	NONE	NONE	DY	SCHLUSS	3	6	PROC082,PROC091,PROC155	OK+CHD+DY | OK+Y+LD+DY
OK	ANSETZEN	E	KURZ	NONE	NONE	1	1	PROC061	OK+CH+E+O
OK	ANSETZEN	E	KURZ	Y	DIES	1	2	PROC085	OK+E+Y
OK	ANSETZEN	E	KURZ	DY	SCHLUSS	2	9	PROC067,PROC141	OK+E+DY | OK+SH+E+DY
OK	ANSETZEN	EE	LANG	NONE	NONE	2	2	PROC074,PROC158	OK+EE+AL | OK+EE+OL
OK	ANSETZEN	EE	LANG	Y	DIES	1	7	PROC092	OK+EE+Y
OK	ANSETZEN	EE	LANG	DY	SCHLUSS	1	10	PROC100	OK+EE+DY
OK	ANSETZEN	EEE	VOLL	DY	SCHLUSS	1	1	PROC119	OK+EEE+DY
K	ZUGEBEN	NONE	NONE	NONE	NONE	8	11	PROC024,PROC054,PROC062,PROC063,PROC068,PROC069,PROC070,PROC165	K+IIN | K+OL | K+AL | K+HO+AR | K+AIR | K+AIN | OL+K+AIN | K+AR
K	ZUGEBEN	NONE	NONE	Y	DIES	5	5	PROC023,PROC035,PROC039,PROC040,PROC044	O+Y+K+OR | K+Y | Y+K+AIN | Y+K+AN | Y+K+AIIN
K	ZUGEBEN	NONE	NONE	DY	SCHLUSS	1	1	PROC077	SH+K+CHD+DY
K	ZUGEBEN	E	KURZ	NONE	NONE	1	1	PROC066	K+E+OL
K	ZUGEBEN	E	KURZ	Y	DIES	2	2	PROC059,PROC171	K+E+Y | E+K+E+Y
K	ZUGEBEN	E	KURZ	DY	SCHLUSS	1	1	PROC159	L+K+E+DY
CH	ENTNEHMEN	NONE	NONE	NONE	NONE	6	7	PROC006,PROC012,PROC020,PROC025,PROC051,PROC163	CH+AIR | OT+CH+OL | OT+CH+OR | CH+O+AIIN | HO+CH+OR | CH+CKH+AL
CH	ENTNEHMEN	NONE	NONE	Y	DIES	2	2	PROC007,PROC116	OT+Y+T+CH+OL | L+CH+Y
CH	ENTNEHMEN	NONE	NONE	DY	SCHLUSS	1	1	PROC032	T+CH+O+DY
CH	ENTNEHMEN	E	KURZ	NONE	NONE	3	3	PROC045,PROC061,PROC124	CH+E+O+AR | OK+CH+E+O | CH+E+S
CH	ENTNEHMEN	E	KURZ	Y	DIES	2	2	PROC001,PROC015	CH+E+Y | Y+CH+E+OR
CH	ENTNEHMEN	EE	LANG	DY	SCHLUSS	1	1	PROC057	CH+EE+CKH+O+DY
CHD	UMSETZEN	NONE	NONE	NONE	NONE	7	7	PROC088,PROC102,PROC123,PROC134,PROC150,PROC151,PROC168	L+CHD+AL | L+CHD | L+CHD+AR | P+CHD+AL | CHD+AIR | CHD+AIN | CHD+AL
CHD	UMSETZEN	NONE	NONE	Y	DIES	2	12	PROC042,PROC133	CHD+Y
CHD	UMSETZEN	NONE	NONE	DY	SCHLUSS	12	28	PROC076,PROC077,PROC079,PROC082,PROC091,PROC094,PROC120,PROC125,PROC130,PROC144,PROC145,PROC166	CHD+DY | SH+K+CHD+DY | OL+CHD+DY | OK+CHD+DY | L+CHD+DY | P+CHD+DY | L+O+CHD+DY | AL+CHD+DY | OT+CHD+DY
CHD	UMSETZEN	E	KURZ	Y	DIES	1	1	PROC136	SH+E+CTH+CHD+Y
