exact_card_id	semantic_family	component_recipe	reading_de	state_roots	grade	endpoint	registered_surfaces	events	semantic_status
PROC001	SEM001	CH+E+Y	ENTNEHMEN · KURZ · DIES	E+Y	E	Y	dchey	1	UNCHANGED
PROC002	SEM002	CTH+O+OR	BEREITEN · ARBEITSGANG · ANSATZ	NONE	NONE	NONE	cthoor	1	UNCHANGED
PROC003	SEM003	AR	QUELLE	NONE	NONE	NONE	char|dar|sar	5	UNCHANGED
PROC004	SEM004	T+Y	ANWENDEN · DIES	Y	NONE	Y	chety|chty	2	UNCHANGED
PROC005	SEM005	OS	FACH	NONE	NONE	NONE	os	1	UNCHANGED
PROC006	SEM006	CH+AIR	ENTNEHMEN · WASSER	NONE	NONE	NONE	chair	1	UNCHANGED
PROC007	SEM007	OT+Y+T+CH+OL	DANACH · DIES · ANWENDEN · ENTNEHMEN · WEITER	Y	NONE	Y	otytchol	1	UNCHANGED
PROC008	SEM008	OK+Y	ANSETZEN · DIES	Y	NONE	Y	choky|oky|qoky	10	UNCHANGED
PROC011	SEM008	OK+Y	ANSETZEN · DIES	Y	NONE	Y	chokchy|okchy|qokchy	3	UNCHANGED
PROC009	SEM009	AIIN	SOLLMASS	NONE	NONE	NONE	aiin|chaiin|daiin|saiin|taiin	20	UNCHANGED
PROC010	SEM010	E+T+Y	KURZ · ANWENDEN · DIES	E+Y	E	Y	etyd	1	UNCHANGED
PROC012	SEM011	OT+CH+OL	DANACH · ENTNEHMEN · WEITER	NONE	NONE	NONE	qotchol	1	UNCHANGED
PROC013	SEM012	OL	WEITER	NONE	NONE	NONE	cheol|chol|ol|qol|sol|tol	19	UNCHANGED
PROC115	SEM012	OL	WEITER	NONE	NONE	NONE	ls	1	UNCHANGED
PROC014	SEM013	CTH+Y	BEREITEN · DIES	Y	NONE	Y	checthy|cthy|shcthy	7	UNCHANGED
PROC015	SEM014	Y+CH+E+OR	DIES · ENTNEHMEN · KURZ · ANSATZ	E+Y	E	Y	ycheor	1	UNCHANGED
PROC016	SEM015	OR	ANSATZ	NONE	NONE	NONE	chor|or|shor|sor	7	UNCHANGED
PROC017	SEM016	CTH+AIIN	BEREITEN · SOLLMASS	NONE	NONE	NONE	cthaiin	1	UNCHANGED
PROC018	SEM017	O+CTH+OL+Y	ARBEITSGANG · BEREITEN · WEITER · DIES	Y	NONE	Y	qoctholy	1	UNCHANGED
PROC019	SEM018	Y	DIES	Y	NONE	Y	chey|chy|dy|shy|sy|y	18	UNCHANGED
PROC020	SEM019	OT+CH+OR	DANACH · ENTNEHMEN · ANSATZ	NONE	NONE	NONE	otchor|qotchor	2	UNCHANGED
PROC021	SEM020	OT+OL	DANACH · WEITER	NONE	NONE	NONE	otol	1	UNCHANGED
PROC022	SEM021	OL+OR	WEITER · ANSATZ	NONE	NONE	NONE	cholor|olor	2	UNCHANGED
