event_id	page	record	statement_id	owner_de	card_no	surface	component_recipe	reading_de	state_roots	grade	endpoint	form_owner_boundary_status
E001	f10r	H1	H1-S001	abgebildete breit gezähnte radialblütige Pflanze	PROC001	dchey	CH+E+Y	ENTNEHMEN · KURZ · DIES	E+Y	E	Y	UNCHANGED
E002	f10r	H1	H1-S001	abgebildete breit gezähnte radialblütige Pflanze	PROC002	cthoor	CTH+O+OR	BEREITEN · ARBEITSGANG · ANSATZ	NONE	NONE	NONE	UNCHANGED
E003	f10r	H1	H1-S001	abgebildete breit gezähnte radialblütige Pflanze	PROC003	char	AR	QUELLE	NONE	NONE	NONE	UNCHANGED
E004	f10r	H1	H1-S001	abgebildete breit gezähnte radialblütige Pflanze	PROC004	chty	T+Y	ANWENDEN · DIES	Y	NONE	Y	UNCHANGED
E005	f10r	H1	H1-S001	abgebildete breit gezähnte radialblütige Pflanze	PROC005	os	OS	FACH	NONE	NONE	NONE	UNCHANGED
E006	f10r	H1	H1-S001	abgebildete breit gezähnte radialblütige Pflanze	PROC006	chair	CH+AIR	ENTNEHMEN · WASSER	NONE	NONE	NONE	UNCHANGED
E007	f10r	H1	H1-S001	abgebildete breit gezähnte radialblütige Pflanze	PROC007	otytchol	OT+Y+T+CH+OL	DANACH · DIES · ANWENDEN · ENTNEHMEN · WEITER	Y	NONE	Y	UNCHANGED
E008	f10r	H1	H1-S001	abgebildete breit gezähnte radialblütige Pflanze	PROC008	oky	OK+Y	ANSETZEN · DIES	Y	NONE	Y	UNCHANGED
E009	f10r	H1	H1-S001	abgebildete breit gezähnte radialblütige Pflanze	PROC009	daiin	AIIN	SOLLMASS	NONE	NONE	NONE	UNCHANGED
E010	f10r	H1	H1-S001	abgebildete breit gezähnte radialblütige Pflanze	PROC010	etyd	E+T+Y	KURZ · ANWENDEN · DIES	E+Y	E	Y	UNCHANGED
E011	f10r	H1	H1-S002	abgebildete breit gezähnte radialblütige Pflanze	PROC011	qokchy	OK+Y	ANSETZEN · DIES	Y	NONE	Y	UNCHANGED
E012	f10r	H1	H1-S002	abgebildete breit gezähnte radialblütige Pflanze	PROC012	qotchol	OT+CH+OL	DANACH · ENTNEHMEN · WEITER	NONE	NONE	NONE	UNCHANGED
E013	f10r	H1	H1-S002	abgebildete breit gezähnte radialblütige Pflanze	PROC013	chol	OL	WEITER	NONE	NONE	NONE	UNCHANGED
E014	f10r	H1	H1-S002	abgebildete breit gezähnte radialblütige Pflanze	PROC014	cthy	CTH+Y	BEREITEN · DIES	Y	NONE	Y	UNCHANGED
E015	f10r	H2	H2-S001	abgebildete breit gezähnte radialblütige Pflanze	PROC015	ycheor	Y+CH+E+OR	DIES · ENTNEHMEN · KURZ · ANSATZ	E+Y	E	Y	UNCHANGED
E016	f10r	H2	H2-S001	abgebildete breit gezähnte radialblütige Pflanze	PROC014	cthy	CTH+Y	BEREITEN · DIES	Y	NONE	Y	UNCHANGED
E017	f10r	H2	H2-S001	abgebildete breit gezähnte radialblütige Pflanze	PROC016	chor	OR	ANSATZ	NONE	NONE	NONE	UNCHANGED
E018	f10r	H2	H2-S001	abgebildete breit gezähnte radialblütige Pflanze	PROC017	cthaiin	CTH+AIIN	BEREITEN · SOLLMASS	NONE	NONE	NONE	UNCHANGED
E019	f10r	H2	H2-S001	abgebildete breit gezähnte radialblütige Pflanze	PROC018	qoctholy	O+CTH+OL+Y	ARBEITSGANG · BEREITEN · WEITER · DIES	Y	NONE	Y	UNCHANGED
E020	f10r	H2	H2-S001	abgebildete breit gezähnte radialblütige Pflanze	PROC019	dy	Y	DIES	Y	NONE	Y	UNCHANGED
E021	f10r	H2	H2-S001	abgebildete breit gezähnte radialblütige Pflanze	PROC019	chy	Y	DIES	Y	NONE	Y	UNCHANGED
E022	f10r	H2	H2-S001	abgebildete breit gezähnte radialblütige Pflanze	PROC009	taiin	AIIN	SOLLMASS	NONE	NONE	NONE	UNCHANGED
E023	f10r	H2	H2-S001	abgebildete breit gezähnte radialblütige Pflanze	PROC019	shy	Y	DIES	Y	NONE	Y	UNCHANGED
E024	f10r	H2	H2-S002	abgebildete breit gezähnte radialblütige Pflanze	PROC020	qotchor	OT+CH+OR	DANACH · ENTNEHMEN · ANSATZ	NONE	NONE	NONE	UNCHANGED
E025	f10r	H2	H2-S002	abgebildete breit gezähnte radialblütige Pflanze	PROC016	chor	OR	ANSATZ	NONE	NONE	NONE	UNCHANGED
E026	f10r	H2	H2-S002	abgebildete breit gezähnte radialblütige Pflanze	PROC021	otol	OT+OL	DANACH · WEITER	NONE	NONE	NONE	UNCHANGED
E027	f10r	H2	H2-S002	abgebildete breit gezähnte radialblütige Pflanze	PROC013	chol	OL	WEITER	NONE	NONE	NONE	UNCHANGED
E028	f10r	H2	H2-S002	abgebildete breit gezähnte radialblütige Pflanze	PROC022	cholor	OL+OR	WEITER · ANSATZ	NONE	NONE	NONE	UNCHANGED
E029	f10r	H2	H2-S002	abgebildete breit gezähnte radialblütige Pflanze	PROC013	chol	OL	WEITER	NONE	NONE	NONE	UNCHANGED
E030	f10r	H2	H2-S002	abgebildete breit gezähnte radialblütige Pflanze	PROC009	daiin	AIIN	SOLLMASS	NONE	NONE	NONE	UNCHANGED
E031	f10r	H2	H2-S002	abgebildete breit gezähnte radialblütige Pflanze	PROC003	dar	AR	QUELLE	NONE	NONE	NONE	UNCHANGED
E032	f10r	H2	H2-S003	abgebildete breit gezähnte radialblütige Pflanze	PROC023	oykchor	O+Y+K+OR	ARBEITSGANG · DIES · ZUGEBEN · ANSATZ	Y	NONE	Y	UNCHANGED
E033	f10r	H2	H2-S003	abgebildete breit gezähnte radialblütige Pflanze	PROC016	shor	OR	ANSATZ	NONE	NONE	NONE	UNCHANGED
