event_id	page	record	statement_id	card_no	surface	component_recipe	reading_de	contains_licensed_DY	decision
E020	f10r	H2	H2-S001	PROC019	dy	Y	DIES	NO	OPEN_CURRENT_ITEM__SURFACE_DY_IS_NOT_SUFFIX
E037	f10r	H2	H2-S003	PROC019	dy	Y	DIES	NO	OPEN_CURRENT_ITEM__SURFACE_DY_IS_NOT_SUFFIX
E045	f11r	H3	H3-S001	PROC032	tchody	T+CH+O+DY	ANWENDEN · ENTNEHMEN · ARBEITSGANG · SCHLUSS	YES	CLOSE
E050	f11r	H3	H3-S003	PROC019	dy	Y	DIES	NO	OPEN_CURRENT_ITEM__SURFACE_DY_IS_NOT_SUFFIX
E055	f11r	H3	H3-S004	PROC019	dy	Y	DIES	NO	OPEN_CURRENT_ITEM__SURFACE_DY_IS_NOT_SUFFIX
E060	f55v	H4	H4-S001	PROC041	ody	O+DY	ARBEITSGANG · SCHLUSS	YES	CLOSE
E062	f55v	H4	H4-S002	PROC042	chedy	CHD+Y	UMSETZEN · DIES	NO	OPEN_CURRENT_ITEM__SURFACE_DY_IS_NOT_SUFFIX
E067	f55v	H4	H4-S003	PROC047	oldy	OL+DY	WEITER · SCHLUSS	YES	CLOSE
E086	f56r	H5	H5-S002	PROC057	cheeckhody	CH+EE+CKH+O+DY	ENTNEHMEN · LANG · DURCHLASS · ARBEITSGANG · SCHLUSS	YES	CLOSE
E101	f81v	B1	B1-S001	PROC067	qokedy	OK+E+DY	ANSETZEN · KURZ · SCHLUSS	YES	CLOSE
E120	f81v	B1	B1-S002	PROC076	schedy	CHD+DY	UMSETZEN · SCHLUSS	YES	CLOSE
E122	f81v	B1	B1-S003	PROC077	sshkchdy	SH+K+CHD+DY	HALTEN · ZUGEBEN · UMSETZEN · SCHLUSS	YES	CLOSE
E123	f81v	B1	B1-S004	PROC042	chedy	CHD+Y	UMSETZEN · DIES	NO	OPEN_CURRENT_ITEM__SURFACE_DY_IS_NOT_SUFFIX
E125	f81v	B1	B1-S004	PROC078	shedy	SHED+DY	ABSETZEN · SCHLUSS	YES	CLOSE
E126	f81v	B1	B1-S005	PROC079	qolchedy	OL+CHD+DY	WEITER · UMSETZEN · SCHLUSS	YES	CLOSE
E131	f81v	B1	B1-S007	PROC082	qokchdy	OK+CHD+DY	ANSETZEN · UMSETZEN · SCHLUSS	YES	CLOSE
E136	f81v	B1	B1-S008	PROC078	shedy	SHED+DY	ABSETZEN · SCHLUSS	YES	CLOSE
E137	f81v	B1	B1-S009	PROC067	qokedy	OK+E+DY	ANSETZEN · KURZ · SCHLUSS	YES	CLOSE
E138	f81v	B1	B1-S010	PROC067	qokedy	OK+E+DY	ANSETZEN · KURZ · SCHLUSS	YES	CLOSE
E143	f81v	B1	B1-S012	PROC086	lshedy	LSH+E+DY	WASCHEN · KURZ · SCHLUSS	YES	CLOSE
E144	f81v	B1	B1-S013	PROC086	lshedy	LSH+E+DY	WASCHEN · KURZ · SCHLUSS	YES	CLOSE
E145	f81v	B1	B1-S014	PROC042	chedy	CHD+Y	UMSETZEN · DIES	NO	OPEN_CURRENT_ITEM__SURFACE_DY_IS_NOT_SUFFIX
E151	f81v	B1	B1-S015	PROC091	okchedy	OK+CHD+DY	ANSETZEN · UMSETZEN · SCHLUSS	YES	CLOSE
E155	f81v	B1	B1-S016	PROC078	cheedy	SHED+DY	ABSETZEN · SCHLUSS	YES	CLOSE
E158	f81v	B1	B1-S017	PROC094	dchdy	CHD+DY	UMSETZEN · SCHLUSS	YES	CLOSE
E162	f81v	B1	B1-S018	PROC098	olkeedy	SOLK+EE+DY	AUFFANGEN · LANG · SCHLUSS	YES	CLOSE
E163	f81v	B1	B1-S019	PROC078	tedy	SHED+DY	ABSETZEN · SCHLUSS	YES	CLOSE
E165	f81v	B1	B1-S020	PROC099	shckhedy	SH+CKH+E+DY	HALTEN · DURCHLASS · KURZ · SCHLUSS	YES	CLOSE
E167	f82r	B2	B2-S001	PROC076	dchedy	CHD+DY	UMSETZEN · SCHLUSS	YES	CLOSE
E168	f82r	B2	B2-S002	PROC079	qolchedy	OL+CHD+DY	WEITER · UMSETZEN · SCHLUSS	YES	CLOSE
E170	f82r	B2	B2-S003	PROC019	dy	Y	DIES	NO	OPEN_CURRENT_ITEM__SURFACE_DY_IS_NOT_SUFFIX
E171	f82r	B2	B2-S003	PROC100	qokeedy	OK+EE+DY	ANSETZEN · LANG · SCHLUSS	YES	CLOSE
E176	f82r	B2	B2-S004	PROC103	lcheckhedy	L+CKH+E+DY	WEITERLEITEN · DURCHLASS · KURZ · SCHLUSS	YES	CLOSE
E184	f82r	B2	B2-S005	PROC108	ldy	L+DY	WEITERLEITEN · SCHLUSS	YES	CLOSE
E189	f82r	B2	B2-S007	PROC111	dshedy	SH+E+DY	HALTEN · KURZ · SCHLUSS	YES	CLOSE
