unit_id	folio	register	coverage	visible_owner_default	complete_nonmedical_working_reading_German	learnable_workshop_purpose	contemporary_mechanism_or_analogy	strongest_all_unit_counterevidence	epistemic_status
H1	f10r_R1	HERBAL	2 fields / 14 events	abgebildete Wurzelware	Die Wurzelware waschen und zerschneiden, in Wasser ausziehen, eine vorgeschriebene Portion in einen Reinigungs- oder Farbansatz geben, den Rest verwahren und einen zweiten Auszug gelinde warm mit dem vorigen Ansatz verbinden.	Rohstoffkarte fuer die erste Wasch- oder Farbflotte	Wurzel- und Gummirohstoffe wurden in technischen Rezepten gesammelt, extrahiert, erhitzt und portioniert; S1/S2	Die Bildpflanze ist weder botanisch gesichert noch als Färberpflanze identifiziert; Wasser, Farbe und Wärme sind Bild-/Gattungsexpansion.	COMPLETE_LOW_CONFIDENCE
H2	f10r_R2	HERBAL	3 fields / 24 events	obere Teile derselben Bildpflanze	Die oberen Teile zerdruecken, einen waessrigen Duft- oder Farbauszug bereiten, davon eine Portion abteilen, mit dem vorigen Arbeitsansatz verbinden und die uebrige Charge als beschriftete Vorratsprobe verwahren.	zweite Rohstoffkarte fuer oberirdisches Material und Chargenvergleich	Technische Rezeptserien trennen Pflanzenteile und fuehren Folgeansaetze; S1/S2	Duft und Farbe sind ungeschrieben; das in V53 vermutete Oel wird mangels Kartenanker ausdruecklich nicht uebernommen.	COMPLETE_LOW_CONFIDENCE
H3	f11r_R1	HERBAL	4 fields / 17 events	Blueten und junge Teile der Bildpflanze	Blueten und junge Teile waessrig ausziehen, durch ein Tuch pressen, nochmals klaeren, einen Anteil als Farb- oder Duftprobe zurueckstellen und den Trester fuer einen warmen Zweitauszug verwenden.	Lehrprobe fuer Auszug, Filtration und Vergleich von Erst- und Zweitflotte	Waessrige Gewinnung und Klaerung organischer Farb- oder Duftstoffe ist werkstattgeschichtlich plausibel; S1	Veilchen oder eine andere Heil-/Kuechenpflanze waere ikonographisch ebenso oder besser moeglich; Tuch, Duft und Zweitauszug sind Expansionen.	COMPLETE_LOW_CONFIDENCE
H4	f55v_R1	HERBAL	4 fields / 18 events	breite Blaetter der Bildpflanze	Ein Mass frischer Blaetter zerkleinern, mazerieren, die Fluessigkeit filtrieren und als kleine Wasch- oder Beizprobe gebrauchen; den feuchten Trester mit dem vorigen Ansatz verbinden und fuer eine zweite warme Flotte ausziehen.	Waschleistungs- oder Beizprobe einer Blattware	Färbe- und Fleckrezepte kennen portionierte Flotten, Wiederansatz und Waerme; S2	Allium oder Wegerich sind keine starken technischen Besitzer; Beize, Stoff und Wärme sind nicht kartencodiert.	COMPLETE_VERY_LOW_CONFIDENCE
H5	f56r_R1	HERBAL	7 fields / 27 events	klebrige Feuchtlandware	Eine kleine Menge der frischen Ware sammeln, Blaetter, Koepfe und Schaft fuer Vergleichsproben trennen und trocknen, einen milden Auszug bereiten und nur die brauchbare Probe als pflanzliches Binde- oder Fixiermittel in den Vorrat uebernehmen.	Qualitaetsprobe einer moeglichen Gummi- oder Bindemittelware	Pflanzengummi wurde als technischer Rohstoff gewonnen und weiterverarbeitet; S1	Fuer die abgebildete sonnentaunahe Pflanze fehlt eine zeitnahe technische Rezeptparallele; Bindekraft und Eignungsprobe sind reine Hypothese.	COMPLETE_WEAKEST_LINK
B1	f81v	BIO	24 fields / 66 events	unteres Becken und sichtbare Laeufe	Im unteren Becken Wasser und vorbereiteten Zusatz chargieren, gemessene Anteile mit dem laufenden Ansatz verbinden, temperieren, mischen, absetzen und klaeren; danach nachfuellen und die fertige Portion ueber die sichtbaren Laeufe an die erste Station verteilen.	zentrale Ansatz-, Zisternen- und Verteilungsseite eines Bade- oder Waschhauses	Mittelalterliche Badebetriebe und Werkstattflotten erfordern Heizen, Vorrat, Portionierung und Uebergabe; S2/S6	39 von 66 Ereignissen sind opak; Zisterne, Wasser und Ruecklauf sind Bild-/Gattungsexpansion und kein moderner geschlossener Hydrauliknachweis.	COMPLETE_LOW_MEDIUM_CONFIDENCE
B2	f82r	BIO	26 fields / 62 events	einzelne Figur-, Becken- oder Zugangsposition	Eine temperierte Portion an die bezeichnete Bade- oder Waschstation geben, Badgast oder Material zwischen den sichtbaren Zugaengen behandeln, den Ansatz durch Tuch oder Oeffnung klaeren, ablassen und fuer die folgende Buchungsvariante nachfuellen.	Stationskarte fuer kommerzielles Baden oder Waschen	Badehaus und handwerkliche Waschstation verbinden Person, Becken, warmes Wasser und wiederholte Bedienung; S6	Badgast versus Patientin und Tuch versus Leitung bleiben unentscheidbar; die Mehrzahl der Labels liegt nur nahe bei Figuren oder Formen.	COMPLETE_LOW_CONFIDENCE
B3	f83r_R1	BIO	38 fields / 86 events	mehrstufige Becken- und Laufanlage	Den Ansatz absetzen, warm nachfuellen, mischen, Badgut oder Waschgut eintauchen, unten abziehen, erneut klaeren und an der markierten Station verwenden; Oeffnungen wechseln, Rueckstand bewahren und den Zyklus in mehreren Stationsgaengen wiederholen.	langer Betriebsumlauf fuer Bade-, Wasch- oder Flottenarbeit	Serielle Chargen, Absetzen, Filtern, Erwärmen und Wiederverwenden sind technische Rezept- und Betriebsmechanismen; S1/S2/S6	Kein Textil ist sichtbar, und 50 von 86 Ereignissen sind opak; Eintauchen und Waschgut sind Expansionen, waehrend medizinische Irrigation moeglich bleibt.	COMPLETE_LOW_MEDIUM_CONFIDENCE
B4	f83r_R2	BIO	20 fields / 47 events	warmer Nachlauf derselben Anlage	Den bezeichneten Anteil lauwarm nachspuelen, eine Teilmenge abnehmen, filtrieren und an der Waschstation verwenden; Gefaess und unteren Lauf reinigen, ablassen, neu ansetzen und warm nachfuellen.	Nachspuel-, Filter- und Reinigungsroutine	Wiederholtes Spuelen und Neuansetzen ist in Wasser-, Wasch- und Färbeprozessen plausibel; S2/S6	Koerperwaschung, medizinische Auflage und reine Anlagenpflege bleiben gleich moeglich; Wärme und Filtration sind nicht sicher gelesen.	COMPLETE_LOW_CONFIDENCE
B5	f83r_R3	BIO	5 fields / 11 events	sichtbarer kurzer Uebergabegang	Die laufende Charge abziehen, einmal erwaermen, eine Werkstattfrist halten und den vorgeschriebenen Anteil mit dem vorigen Posten an die naechste sichtbare Station weitergeben.	kurzer Meistervermerk fuer Wärme und Chargenuebergabe	Fachrezepte organisieren Wiederholung, Zeit, Anteil und Folgeansatz; S1/S2	Nur vier Ereignisse sind verankert und drei Felder offen; Wärme, Frist und Charge sind kontextuelle Defaultwerte.	COMPLETE_LOW_CONFIDENCE
B6	f83r_R4	BIO	2 fields / 9 events	offene Oeffnung und Zielstation	Den vorhandenen Ansatz ungekocht weiterfuehren, eine vorgeschriebene Portion durch eine einfache Oeffnung oder ein Tuch geben und an die sichtbare Zielstation uebergeben.	kalter offener Filter- und Transferzettel	Kalte Extraktion und einfache Filtration ergaenzen warme Werkstattansaetze; S1	Beide Felder sind offen und sechs Ereignisse opak; Person, Tuch und Ziel sind nicht textlich benannt.	COMPLETE_LOW_CONFIDENCE
A1	f67r2	ASTRO	74 loci / 190 groups	sieben-, zwoelf- und zentral gegliederte Diagrammlagen	Eine der sieben Herrscher- oder Zeitklassen waehlen, sie mit einem der zwoelf Sektoren und der lokalen Bedingung verbinden und den eingetragenen Wahlwert fuer Reise, Einkauf, Arbeitsbeginn oder Aufschub nachschlagen.	Lehrselector fuer allgemeinen Werkstatt- und Hauskalender	Spaetmittelalterliche Rechen-, Kalender- und Astrologiebuecher verbinden Tabellen, Diagramme und praktische Wahlregeln; S3/S4	Die Seite ist keine vollstaendige 7-mal-12-Matrix; Planeten, Zeichen und konkrete Werkstatttaetigkeiten sind nicht extern identifiziert.	COMPLETE_LOW_CONFIDENCE
A2	f68r1	ASTRO	37 loci / 65 groups	Zentrum und 28 gezeichnete Sternpositionen	Das Zentrum als Besitzer eines 28er-Sternkatalogs lesen, jede Station allein an ihrer Lage erkennen und ihr lokales Exemplarlabel bewahren; weder Kreisstart noch Richtung oder Arbeitswirkung hinzuerfinden.	raeumliches Merkblatt fuer Astronomie- und Kalenderunterricht	Diagrammatische Stern- und Kalenderlehre ist in Handschriften des 15. Jahrhunderts belegt; S4	Die Zahl 28 allein identifiziert weder Mondhaeuser noch Kalenderfunktion; kein Werkstattbezug ist sichtbar.	COMPLETE_MEDIUM_FORM_LOW_CONTENT_CONFIDENCE
A3	f69v	ASTRO	31 loci / 140 groups	drei Kreisrubriken und 28 radiale Regelplaetze	Zuerst die Kreisrubriken waehlen und danach jede der 28 Zellen als lokal memorierte Wahlregel fuer Arbeiten, Reise, Kauf oder Ruhe konsultieren; LONG und SHORT bezeichnen nur den verfuegbaren Schreibraum.	geordneter 28er-Wahlkalender fuer Haushalt und Werkstatt	Lunarien und praktische Astrologieregeln konnten in Kalender- und Miszellanheften stehen; S3/S4	Keine der 140 Gruppen hat extern verankerten Regelinhalt, und es gibt keinen direkten Schluessel oder Index zu f68r1.	COMPLETE_LOW_CONTENT_CONFIDENCE
