unit_id	folio_or_record	register	formal_extent	nonmedical_operating_role	visible_silent_owner	concrete_operating_booking_German	workflow_path	card_interface	unit_local_content_exception	strongest_contradiction
H1	f10r_R1	HERBAL_MATERIAL	2 fields; 14 events	WURZELLAUGE_GRUNDLOS	abgebildete Wiesenpflanze und unterer Wurzelstock	Posten R10-1: unteren Wurzelstock säubern, klein schneiden und in Wasser ausziehen; einen Vorgabeanteil der Wasch- oder Färbelauge an Bottich 1 geben, den Rest als Mutteransatz verwahren und für das Folgelos gelinde erwärmen und mit dem Vorlauf verbinden.	RAW_ROOT>WASH>CUT>WATER_EXTRACTION>MEASURE>VAT_1>RESERVE>REHEAT_AND_LINK	PART?; USE?; MASS?; LINK; READY? remain weak notes on exact cards; nine events still require local exemplar IDs	YES: assigns an unpictured wash/dye product	The selected early-fifteenth-century Abiss root-water parallel is medicinal; no equally close workshop use of this pictured root is supplied.
H2	f10r_R2	HERBAL_MATERIAL	3 fields; 24 events	OBERTEIL_OELBEIZE	dieselbe Bildpflanze und ihre oberen Teile	Posten R10-2: obere Triebe vor voller Reife einholen, quetschen und als zweiten Pflanzenauszug buchen; eine Vorgabeportion mit dem vorigen Ansatz koppeln, mit Öl durcharbeiten und als Leder- oder Faserzurichtung einlagern.	UPPER_PART>COLLECT>CRUSH>SECOND_EXTRACT>MEASURE>LINK_PRIOR>OIL_DRESS>STORE	READY?; PREPARATION?; MASS?; LINK; PRIOR? are mnemonic controls only; remaining cards are copied locally	YES: assigns leather/fibre dressing	Oil and external application fit a remedy at least as well; neither leather nor fibre is pictured.
H3	f11r_R1	HERBAL_MATERIAL	4 fields; 17 events	GEKLAERTER_DUFT_ODER_FARBAUSZUG	kleine Schattenpflanze; Veilchen remains only a visual lead	Posten R11-1: junge Teile in Wasser oder schwach vergorenem Träger ausziehen, durch Tuch pressen und zweimal klären; einen Anteil zurückstellen und den warmen Pressrückstand als Duft-, Wasch- oder Färbezusatz für Tuchlos 2 ausgeben.	YOUNG_PARTS>STEEP>PRESS>CLEAR>CLEAR>RESERVE>WARM_SPENT_MASH>ISSUE_TO_CLOTH	CLEAR?; MASS?; READY? name only three weak prompt classes; fourteen of seventeen events are otherwise opaque	YES: assigns cloth, scent and dye destination	No cloth, pigment or workshop vessel is identified; the selected warm-poultice reading needs fewer changes to the same preparation verbs.
H4	f55v_R1	HERBAL_MATERIAL	4 fields; 18 events	BLATTWASCHMITTEL_UND_POLIERPASTE	breitblättriges Bildkraut	Posten R55-1: frische Blätter zerkleinern, als Grünlauge ausziehen und durch Tuch geben; mit der Flüssigkeit Ware oder Arbeitsfläche waschen. Für Los 2 die warmen Pressblätter mit wenig Öl als Polier- oder Dichtpaste ansetzen und frisch ausgeben.	LEAVES>CRUSH>EXTRACT>FILTER>WASH_SURFACE>LINK_SECOND_LOT>OIL_PASTE>ISSUE	SET_STANDARD; MASS?; LINK; SET_LOCAL; PREPARATION? constrain slots but do not name medium, surface or paste	YES: assigns a cleaning/polishing product	Allium, plantain, medium and target are unresolved; an external medicinal wash or poultice remains equally ordinary.
H5	f56r_R1	HERBAL_MATERIAL	7 fields; 27 events	KLEB_ODER_KLAERMITTEL_POSTEN	feuchtlandliebende Drüsen- oder Borstenpflanze	Posten R56-1: eine kleine Menge des frischen Krauts in mildem Träger ausziehen; Blätter, Köpfe und Schaft getrennt trocknen und lagern. Den frischen klebrigen Auszug nach Maß als Binder oder Klärhilfe an Materiallos 5 geben.	WHOLE_HERB>MEASURE>STEEP>SORT_THREE_PARTS>DRY>STORE>DOSE_AS_BINDER_OR_CLARIFIER	MASS?; USE?; AT?; PART? remain broad annotations; twenty-one of twenty-seven events are opaque	YES: assigns binder/clarifier function	No close workshop parallel is present in the allowed basis; this is the rival's weakest Herbal booking and the medical chest-remedy reading is also high-risk.
B1	f81v_R1	BATHHOUSE_WASHHOUSE	24 fields; 66 events	GRUNDKREISLAUF	gezeichnete Becken, Läufe and station handles	Betrieb B81-1: Zusatz im unteren Becken ansetzen, mehrere Vorgabeportionen mit dem vorhandenen Bestand verbinden und durch die sichtbaren Läufe führen; temperieren, mischen, stehen und klären lassen, nachfüllen und an Station 1 übergeben.	CHARGE>LOWER_BASIN>MEASURE>LINK_ACTIVE>ROUTE>TEMPER>MIX>SETTLE>CLEAR>REFILL>TRANSFER	B_CELL template plus exact local cards and copied CLOSE/line layout; thirty-nine of sixty-six events remain opaque	NO: reusable facility-cycle template	Basin, return path and exact actions are still picture/genre expansions; figures can be bathers rather than operators.
B2	f82r_R1	BATHHOUSE_WASHHOUSE	26 fields; 62 events	EINZELBOTTICH_ODER_WASCHSTATION	visible inlets, vessel/figure context and local stations	Betrieb B82-1: eine Vorgabecharge in den temperierten Einzelbottich geben, zwischen den Zugängen umlaufen lassen, durch Tuch klären, unten ablassen und warm nachfüllen; das Waschlos ausführen und die Schlussvarianten der Reihe nach buchen.	MEASURE>LOAD_TUB>ROUTE_INLETS>FILTER>DRAIN>WARM_REFILL>RUN_WASH>BOOK_VARIANTS	B_CELL; SET/RELATION/LINK where exact; all other actions require the Bio-local deck and eighty-five/thirty aggregate close discipline	NO: reusable facility-cycle template	Most labels are merely near figures or forms; treating the figures as workers or hygienic users rather than patients is not textually decided.
B3	f83r_R1	BATHHOUSE_WASHHOUSE	38 fields; 86 events	MEHRSTUFIGER_SPÜL_UND_FILTERZYKLUS	basins, open outlets, runs and optional human users	Betrieb B83-1: Arbeitsflüssigkeit absetzen, warm nachfüllen, mischen, Ware oder Gefäß eintauchen, unten ablassen, erneut klären und am markierten Platz verwenden; Öffnungen und Intervalle wechseln, Rückstand behalten und Spülung und Filterung stationsweise wiederholen.	SETTLE>WARM_REFILL>MIX>IMMERSE>DRAIN>CLEAR>USE_AT_STATION>SWITCH_PORT>RETAIN>REPEAT	Exact local Bio cards carry the long cycle; fifty of eighty-six events are opaque and CLOSE stays formal	NO: reusable facility-cycle template	Human figures keep bathing live, while two outlet labels without a local figure support the apparatus rival; neither object class is encoded.
B4	f83r_R2	BATHHOUSE_WASHHOUSE	20 fields; 47 events	WARME_NACHWAESCHE_UND_FILTERUNG	marked part, cloth/filter and lower run handles	Betrieb B83-2: bezeichnete Ware lauwarm spülen, einen Anteil entnehmen und durch Tuch führen; als Oberflächenwäsche einsetzen, Gefäß und unteren Lauf reinigen, ablassen, neu ansetzen und warmes Wasser nachgeben.	MARK_LOT>WARM_RINSE>TAKE_SHARE>CLOTH_FILTER>SURFACE_WASH>CLEAN_RUN>DRAIN>RESTART>WARM_REFILL	Warm, rinse and drain are Bio-local expansions, never transferred core prompts	NO: reusable facility-cycle template	The marked owner can be a body/application station rather than cloth or ware; the exact cards do not decide.
B5	f83r_R3	BATHHOUSE_WASHHOUSE	5 fields; 11 events	SCHICHTUEBERGABE	working stock and next visible station	Betrieb B83-3: Arbeitsbestand abziehen, einmal erwärmen, über ein festes Intervall halten, im Vorgabemaß mit dem vorigen Los koppeln und an die nächste Station übergeben.	DRAW_OFF>HEAT_ONCE>HOLD>MEASURE>LINK_PRIOR>TRANSFER_NEXT	Four of eleven events have selected anchors; three of five fields remain open and the remainder is exemplar-local	NO: reusable facility-cycle template	A short technical routine fits well, but heat, interval and station are still not recovered card meanings.
