axis	robust_formal_result	iatromedical_default	nonmedical_rival	selection
architecture	exemplar-driven multi-register form system	medical workshop reference	technical commission miscellany	DOMAIN_NEUTRAL_ARCHITECTURE
herbal	five pictured-owner records	materia-medica preparations	plant raw-material preparations	MEDICAL_NARROW_LEAD
biological	six cell-based process records	therapeutic bath and irrigation with apparatus	bathhouse washhouse and water-operation register	NONMEDICAL_NARROW_LEAD
astro	three separate lookup instruments	iatromathematical regimen annex	general work and choice almanac	MEDICAL_HISTORICAL_LEAD_FORMAL_TIE
shared_cards	small control phrasebook only	generic remedy parameters and state	generic work-order parameters and state	NONDIAGNOSTIC
silent_arguments	image and record supply content nouns	plant medium patient body and treatment	plant product basin material and work purpose	BOTH_HIGH_COST
learnability	small control grammar plus local exemplars	master expands medical source prose	master expands workshop source prose	FORMAL_TIE
pure_waterwork	fits six Bio records directly	real apparatus layer inside therapy	fails eight of fourteen units	WITHDRAW_PURE_WATERWORK
cross_register_join	no complete field transfer and no visible content pointer	WHAT-HOW-WHEN organizational bridge	material-facility-calendar organizational bridge	BOTH_UNPROVED
overall	formal algebra does not entail domain	leading creative content expansion	strongest complete adversarial content	MEDICAL_NARROW_LEAD
