unit_id	folio	unit_kind	nonmedical_complete_default	medical_default_advantage	nonmedical_advantage	largest_silent_assumption
H1	f10r	herbal_record	Wurzelmaterial reinigen waessern als Standardcharge fuer Wasch- oder Badzusatz ansetzen und Rest lagern	medicinal root water has closer genre parallel	root as practical additive fits workshop inventory	that this plant serves bathing or washing
H2	f10r	herbal_record	Obere Pflanzenteile sammeln Saft oder Farbe ausziehen mit Oel oder Traeger mischen und zweite Charge buchen	external medicine explains oil application	dye fragrance or carrier preparation fits material workflow	colour fragrance and carrier are not encoded
H3	f11r	herbal_record	Blueten- oder Krautmaterial ausziehen durch Tuch klaeren und Duft Farb- oder Waschanteil behalten	violet wine or poultice is historically direct	filtering and retained fraction fit craft preparation	industrial purpose of the pictured plant
H4	f55v	herbal_record	Breite Blaetter zerkleinern Fluessigkeit als Reinigungszusatz und weichen Rest als Packungs- oder Arbeitsmaterial verwenden	wash and poultice fit medical herbals	two product fractions fit workshop bookkeeping	seal packing or cleansing role
H5	f56r	herbal_record	Klebriges Feuchtlandkraut klein dosieren trocknen und als seltenen Duft- Kleb- oder Zusatzstoff buchen	cough remedy gives a coherent medicinal purpose	sticky plant permits craft-material rival	exact craft use is invented
B1	f81v	bio_record	Hauptkreislauf ansetzen temperieren mischen absetzen klaeren und zur naechsten Station fuehren	body treatment integrates figures	long flow sequence is literal plant operation	that pools form one operated circuit
B2	f82r	bio_record	Einzelbecken fuellen bewegen filtern ablassen nachfuellen und Schlusszustaende protokollieren	application explains nearby human figures	basin operation needs no hidden patient semantics	water and basin ownership
B3	f83r	bio_record	Mehrbeckenzyklus mit Nachfuellen Umwaelzen Ablassen Klaeren und wiederholten Stationsgaengen ausfuehren	therapy explains immersion-like figures	outlets and repeated cells fit operating cycle	all shapes belong to one apparatus
B4	f83r	bio_record	Bezeichneten Lauf reinigen durch Tuch filtern unteren Auslass leeren und Warmwasser nachgeben	warm wash or poultice supplies use	cleaning and lower outlet are technically direct	cloth water and connected path
B5	f83r	bio_record	Restbestand abziehen kurz erwaermen halten und an naechste Arbeitsstation uebergeben	medical aftercare offers purpose	short handoff is ordinary workshop log	identity of stock and station
B6	f83r	bio_record	Kalten Vorlauf weiterfuehren Standardportion filtern und an sichtbares Ziel bringen	application can motivate target	open technical addendum requires no body meaning	cold filtration is inferred
A1	f67r2	astro_diagram	Sieben Herrscher Wochentage oder Schichten gegen zwoelf Monate oder Sektoren und lokale Bedingung auswaehlen	medical astrology integrates treatment timing	general workshop calendar needs no therapy	what the 7 and 12 inventories denote
A2	f68r1	astro_diagram	Zentrum als Besitzer eines 28er Stern- oder Kalenderstationskatalogs lesen	moon mansions fit iatromathematics	formal astronomical catalogue is domain neutral	moon and every station identity
A3	f69v	astro_diagram	Achtundzwanzig lokale Arbeits Beschaffungs Ruhe- oder Sperrtage nach Kreisrubriken lesen	regimen rules integrate health practice	operational calendar is plausible annex	each rule content and any connection to f68
