unit_id	page	module	coverage_basis	complete_nonmedical_rival_reading	silent_owner_or_arguments	productive_layer	memorized_layer	strongest_contradiction
f10r_R1	f10r	GARDEN_MATERIAL	full inherited Herbal record; part of 20 fields/100 events	Take the pictured root-stock specimen; note source bed and lot; wash and divide the root; make a water-based craft sample; take a measured swatch; compare clarity, colour or binding behaviour; dry and store the remainder.	pictured plant; root lot; garden source; water; test surface; storage place	Tier-A controls; FIELD grammar; exact recurrence	14-card/2-field local exemplar; opaque cards; all material prose	Abiss-like root-water has a stronger medical parallel; no craft use is pictured
f10r_R2	f10r	GARDEN_MATERIAL	full inherited Herbal record; part of 20 fields/100 events	Open a second lot for the upper parts of the same pictured plant; separate leaf and stem; press or warm an extract; combine one portion with an oil or binder; test it on the workshop material; retain the residue as a comparison batch.	same pictured plant; upper lot; solvent/binder; test material; retained batch	Tier-A controls; open-field continuation; exact Y-AIIN-Y recognition	whole second record; local prefix/tail; formula surface; process default	oil, binder and test surface are record-level inventions and fit an external preparation equally well
f11r_R1	f11r	GARDEN_MATERIAL	full inherited Herbal record; part of 20 fields/100 events	Register the small shade-grown specimen; record place and collection window; separate usable upper and lower material; steep and warm a sample; clarify it; test colour or scent on cloth or parchment; seal the accepted sample for storage.	pictured shade plant; collection window; solvent; cloth/parchment; store	Tier-A controls; licensed 4O/5O open stencils	whole record; rare cards; local surfaces; sample-use prose	violet wine/oil and warm application are historically stronger medical alternatives
f55v_R1	f55v	GARDEN_MATERIAL	full inherited Herbal record; four fields within 20/100 total	Sort and wash the broad-leaf lot; enter a cold steep and a warm maceration as two comparison batches; check fibre, colour or cleansing quality; mark the accepted batch and store it for workshop use.	pictured broadleaf specimen; two vessels; comparison material; quality criterion	FIELD closure; shared controls; exact equality	four-field Herbal-B exemplar; three local terminals; all craft nouns	three closes fit a form test, but no image identifies fibre, dye or cleanser
f56r_R1	f56r	GARDEN_MATERIAL	full inherited Herbal record; part of 20 fields/100 events	Record the wet or sticky habitat specimen; collect small lots; separate glandular or bristly parts; extract one lot and dry another; test the sticky material as size, binder or colour additive; wrap and store the accepted remainder.	pictured wetland/bristly plant; habitat; test recipes; wrapping/store	Tier-A controls; licensed open stencils; repetition	whole rare-tail record; local surfaces; material-test default	sundew/chest-remedy imagery is a live medical rival; adhesive and size are unpictured
f81v_R1	f81v	BATHHOUSE_WATERWORK	full inherited Bio record; part of 115 fields/281 events	Commission the common water circuit: charge the lower reservoir from the prepared feeds; combine and temper the flow; let sediment stand; clarify through the local stage; top up; pass the usable water along the visible run to the next basin and log the state.	reservoir; water; hot/cold feeds; sediment; next basin	FIELD closure; Tier-A controls; exact repetition	whole process order; terminal deck; local categorical values	no card names water or reservoir; therapeutic bath preparation fits the same sequence
f82r_R1	f82r	BATHHOUSE_WATERWORK	full inherited Bio record; 26 fields/62 cards within 115/281 total	Set up one bathhouse service bay: choose the inlet; balance warm and cool charges; distribute flow through the branches; clean the filter; empty and refill the basin; route water to the washing place; commit each inspection cell and hand the bay over.	inlets; water temperatures; filter; basin; washing bay; attendant	short-cell closure; equality; Tier-A controls	complete 26-field exemplar; seven-cell .27; unique qokaiin carry	figures may be patients and the exact sequence does not independently identify hydraulics
f83r_R1	f83r	BATHHOUSE_WATERWORK	full inherited Bio record; part of four records and 115/281 total	Run the long commissioning circuit: prime upper and lower sections; admit warm feed; mix; fill the basins; circulate through successive branches; discharge dirty water; inspect clarity; replenish and repeat the route across the remaining stations.	upper/lower sections; water; basins; dirty discharge; station order	FIELD closure; active-state linking; licensed repetition	whole long record; opaque runs; page-local terminals	illustrated humans make treatment a strong rival; the circuit is not a proven engineering plan
f83r_R2	f83r	BATHHOUSE_WATERWORK	full inherited Bio record; part of four records and 115/281 total	Perform the warm cleaning after-run: flush the marked branch; strain debris; use the warm charge to wash the vessel and conduit; drain it into the lower receiver; refill warm; close and mark the cleaned run.	marked branch; debris; strainer; conduit; lower receiver; warm feed	FIELD closure; local relation setting; Tier-A controls	whole after-run exemplar; local WARM/RINSE/DRAIN mnemonics	warm bodily aftercare is equally coherent and local action mnemonics are unproved
f83r_R3	f83r	BATHHOUSE_WATERWORK	full inherited Bio record; part of four records and 115/281 total	Enter the shift handover: draw off the previous charge; reheat once; hold it for the prescribed watch; connect the retained reservoir state with the next station; deliver it and record responsibility.	shift; charge; time interval; reservoir; next operator/station	parameter and active-state controls; field grammar	whole handover exemplar; timing/delivery prose	neither watch nor operator is visible in a card; a treatment handover reads as well
f83r_R4	f83r	BATHHOUSE_WATERWORK	full inherited Bio record; part of four records and 115/281 total	Add the cold-start note: continue the unheated feed without firing; take the stated portion; pass it through the filter; carry it to the visible outlet or overflow; leave the continuation open for the next service entry.	cold feed; fire; filter; outlet/overflow; next service entry	open continuation; parameter control; licensed relation	whole open-addendum exemplar; opaque payload	cold treatment/application is the strongest content rival and outlet ownership is ambiguous
f67r2_D1	f67r2	CALENDAR_DIAGRAM	74 loci/190 groups; complete selected partition	Use the calendar-drafter's configuration sheet: select one of seven weekday or planetary rulers and one of twelve month/zodiac sectors; enter the second twelve-part condition and one of eight work/weather classes; copy the rubric and central condition for the commissioned table.	weekday/planet convention; month/zodiac convention; work/weather class; client rubric	inventory-size checking; geometry preservation	all 190 local labels and their positions	no complete 7x12 matrix and no label is externally identified as a calendrical value
f68r1_D1	f68r1	CALENDAR_DIAGRAM	37 loci/65 groups; complete selected partition	Copy a star-map teaching specimen: preserve the centre, three fixed anchors, the central legend and all 28 spatial station addresses; identify a station by its two-dimensional place only, without inventing a first station or direction.	star-map genre; central owner; local station convention	centre-plus-28 topology; coordinate copying	all 65 labels and exact positions	lunar mansions remain plausible but unnamed; there is no usable ordinal join to f69v
f69v_D1	f69v	CALENDAR_DIAGRAM	31 loci/140 groups; complete selected partition	Copy an ordered 28-slot workshop almanac: retain the three instructional bands and every radial rule for starting, withholding, gathering, soaking, warming, washing, straining, draining, repairing or resting; give repeated okeod one invariant ordinary-work-permitted rule at 11, 15 and 24; treat LONG/SHORT only as layout.	workshop-task calendar; local rule glossary; ordinal supplied by this page alone	slot count; sequence; exact repeated-form identity	107 ring groups; 33 groups in 28 local rules; every rule default	task meanings are wholly exemplar-supplied; no direct f68r1 mapping or medical/nonmedical discriminator exists
