criterion	measurement	nonmedical_bathhouse_material_almanac_rival	iatromedical_selected_theory	rival_score_0_to_2	medical_score_0_to_2	decision
FORMAL_COVERAGE	fixed ten-page units	14/14 units; 381/381 prose events and 395/395 Astro groups can be preserved as exact exemplar form	Same exact 14/14, 381/381 and 395/395 formal coverage	2	2	TIE: content labels do not alter formal coverage
HARD_SEMANTIC_COVERAGE	V56 Tier A and selected weak layer	45/381 hard prompt events; 145/381 selected weak/formal annotations; no Astro content decoded	Identical 45/381 and 145/381; no Astro content decoded	1	1	TIE: the rival discovers no new card meaning
SILENT_ARGUMENTS	visible versus inserted roles	Uses eleven prose record-owner bindings and 142 Astro loci, but inserts plant product, workshop destination and work-calendar purpose	Uses the same visible bindings, but inserts remedy medium, body/indication and therapeutic-calendar purpose	1	1	TIE overall; rival is cheaper in apparatus-heavy Bio and dearer in Herbal/Astro purpose
LOCAL_EXEMPLAR_BURDEN	exact card inventory	162/173 prose card types remain outside the eleven-card shared bridge deck; all fourteen units need local sheets	Same 162/173 and all fourteen units need local sheets	1	1	TIE: neither theory reduces the exemplar tail
UNIT_LOCAL_CONTENT_EXCEPTIONS	predeclared rule: count one exception where a unit needs a unique end-use/function beyond its register template	Eight: five Herbal product assignments plus three Astro work functions; six Bio records share one facility-cycle template	At least eight: five Herbal medical article functions plus three Astro medical timing functions; Bio shares a mixed therapeutic-apparatus template	1	1	TIE in count; the kinds of unsupported nouns differ
GLOBAL_BRIDGE_ASSUMPTIONS	unwritten links between registers	Two: plant preparations feed the washhouse/material shop; the independent almanac times its work	Two: materia medica feeds treatment; the Astro appendix times diagnosis or treatment	1	1	TIE: no shared full field sequence or visible cross-register pointer
CROSS_REGISTER_COHERENCE	shared exact/formal phrases	Generic parameter, slot, relation and active-state prompts suit both plant batches and facility charges; no medical noun is needed	The same generic controls suit remedy batches and treatment cells; medical vocabulary is likewise local	1	1	TIE: coherence is operational but not diagnostic
ASTRO_FIT	architecture and likely content	All three lookup architectures are retained, but their conversion into a shop calendar is unsupported and f68-to-f69 remains unjoined	All three architectures are retained; iatromathematics/lunar regimen is the selected historical content lead, still without a key	1	2	MEDICAL modestly better on content; architecture ties
LEARNABILITY	V57 source-to-card machine	Same eight-state/fifteen-transition supervised exemplar system; free work order cannot select local cards	Same machine and same semantic round-trip loss	2	2	TIE
HISTORICAL_MECHANISM	mechanism available in allowed synthesis	Bathhouse, washhouse, material ledger and almanac miscellany are generically plausible, but no close nonmedical donor is selected	Materia-medica water parallel, therapeutic bath literature and iatromathematical practice give three more specific mechanisms	1	2	MEDICAL better grounded within the allowed evidence
CONTRADICTION_PRESSURE	strongest adverse observations	Five plant product purposes and all three work-calendar meanings are inserted; pure waterworks fails eight of fourteen units	Disease/body terms are also silent and outlet labels block pure patient prose; selected theory already pays for a real apparatus layer	1	1	TIE at low confidence; contradictions attack different layers
PURE_WATERWORK_TEST	units with direct content fit before adding other registers	6/14 Bio records only = 42.9%; five plant records and three star diagrams force two extra domain templates	Not applicable; the selected theory is explicitly a three-register medical miscellany	0	1	PURE WATERWORK WITHDRAWN; hybrid required
TOTAL_EIGHT_SCORED_CRITERIA	FORMAL_COVERAGE, SILENT_ARGUMENTS, LOCAL_EXEMPLAR_BURDEN, CROSS_REGISTER_COHERENCE, ASTRO_FIT, LEARNABILITY, HISTORICAL_MECHANISM, CONTRADICTION_PRESSURE	10/16	12/16	10	12	IATROMEDICAL RETAINED; nonmedical rival remains strongest control, especially for Bio
