lexicon	shol	paragraph	grammar	chol	timing	mix	relation	index	operation	form	object	value	members	recipient_count	debts	row_status
C	Q	f6v|f6v.6-f6v.21	B	D	O	U	T	7	f6v.8:4	qokom	f6v.8:2	warm	"[""f6v.8:2""]"	0		recorded
C	Q	f6v|f6v.6-f6v.21	B	D	O	U	T	19	f6v.12:3	qokam	f6v.12:4	warm	"[""f6v.12:4""]"	0		recorded
C	Q	f6v|f6v.6-f6v.21	B	D	O	U	T	22	f6v.14:1	qokor	f6v.8:2	hot	"[""f6v.8:2""]"	0	IMPLICIT_SUBJECT_CONTINUATION	recorded
C	Q	f6v|f6v.6-f6v.21	B	D	O	U	T	28	f6v.16:1	ochy	f6v.16:2	cold	"[""f6v.16:2""]"	0		recorded
C	Q	f6v|f6v.6-f6v.21	B	D	O	U	V	7	f6v.8:4	qokom	f6v.8:2	warm	"[""f6v.8:2""]"	0		recorded
C	Q	f6v|f6v.6-f6v.21	B	D	O	U	V	19	f6v.12:3	qokam	f6v.12:4	warm	"[""f6v.12:4""]"	0		recorded
C	Q	f6v|f6v.6-f6v.21	B	D	O	U	V	22	f6v.14:1	qokor	f6v.8:2	hot	"[""f6v.8:2""]"	0	IMPLICIT_SUBJECT_CONTINUATION	recorded
C	Q	f6v|f6v.6-f6v.21	B	D	O	U	V	28	f6v.16:1	ochy	f6v.16:2	cold	"[""f6v.16:2""]"	0		recorded
C	Q	f6v|f6v.6-f6v.21	B	D	O	D	T	7	f6v.8:4	qokom	f6v.8:2	warm	"[""f6v.8:2""]"	0		recorded
C	Q	f6v|f6v.6-f6v.21	B	D	O	D	T	19	f6v.12:3	qokam	f6v.12:4	warm	"[""f6v.12:4""]"	0		recorded
C	Q	f6v|f6v.6-f6v.21	B	D	O	D	T	22	f6v.14:1	qokor	f6v.8:2	hot	"[""f6v.8:2""]"	0	IMPLICIT_SUBJECT_CONTINUATION	recorded
C	Q	f6v|f6v.6-f6v.21	B	D	O	D	T	28	f6v.16:1	ochy	f6v.16:2	cold	"[""f6v.16:2""]"	0		recorded
C	Q	f6v|f6v.6-f6v.21	B	D	O	D	V	7	f6v.8:4	qokom	f6v.8:2	warm	"[""f6v.8:2""]"	0		recorded
C	Q	f6v|f6v.6-f6v.21	B	D	O	D	V	19	f6v.12:3	qokam	f6v.12:4	warm	"[""f6v.12:4""]"	0		recorded
C	Q	f6v|f6v.6-f6v.21	B	D	O	D	V	22	f6v.14:1	qokor	f6v.8:2	hot	"[""f6v.8:2""]"	0	IMPLICIT_SUBJECT_CONTINUATION	recorded
C	Q	f6v|f6v.6-f6v.21	B	D	O	D	V	28	f6v.16:1	ochy	f6v.16:2	cold	"[""f6v.16:2""]"	0		recorded
C	Q	f6v|f6v.6-f6v.21	B	D	I	U	T	7	f6v.8:4	qokom	f6v.8:2	warm	"[""f6v.8:2""]"	0		recorded
C	Q	f6v|f6v.6-f6v.21	B	D	I	U	T	19	f6v.12:3	qokam	f6v.12:4	warm	"[""f6v.12:4""]"	0		recorded
