lexicon	shol	paragraph	grammar	chol	timing	mix	relation	index	operation	form	patient	second	object	second_object	contract	status	before	after	debts	row_status
C	Q	f6v|f6v.6-f6v.21	B	D	O	U	T	13	f6v.10:2	ychear	f6v.10:3		f6v.10:3		UNCHANGED	UNARY_NO_EDGE	[]	[]	MISSING_COINGREDIENT	recorded
C	Q	f6v|f6v.6-f6v.21	B	D	O	U	T	25	f6v.15:1	chockhy	f6v.14:3		f6v.7:4		UNCHANGED	UNARY_NO_EDGE	[]	[]	IMPLICIT_SUBJECT_CONTINUATION;MISSING_COINGREDIENT	recorded
C	Q	f6v|f6v.6-f6v.21	B	D	O	U	V	13	f6v.10:2	ychear	f6v.10:3		f6v.10:3		UNCHANGED	UNARY_NO_EDGE	[]	[]	MISSING_COINGREDIENT	recorded
C	Q	f6v|f6v.6-f6v.21	B	D	O	U	V	25	f6v.15:1	chockhy	f6v.14:3		f6v.7:4		UNCHANGED	UNARY_NO_EDGE	[]	[]	IMPLICIT_SUBJECT_CONTINUATION;MISSING_COINGREDIENT	recorded
C	Q	f6v|f6v.6-f6v.21	B	D	O	D	T	13	f6v.10:2	ychear	f6v.10:3		f6v.10:3		JOIN	MISSING_PARTICIPANT	[]	[]	MISSING_COINGREDIENT	recorded
C	Q	f6v|f6v.6-f6v.21	B	D	O	D	T	25	f6v.15:1	chockhy	f6v.14:3		f6v.7:4		JOIN	MISSING_PARTICIPANT	[]	[]	IMPLICIT_SUBJECT_CONTINUATION;MISSING_COINGREDIENT	recorded
C	Q	f6v|f6v.6-f6v.21	B	D	O	D	V	13	f6v.10:2	ychear	f6v.10:3		f6v.10:3		JOIN	MISSING_PARTICIPANT	[]	[]	MISSING_COINGREDIENT	recorded
C	Q	f6v|f6v.6-f6v.21	B	D	O	D	V	25	f6v.15:1	chockhy	f6v.14:3		f6v.7:4		JOIN	MISSING_PARTICIPANT	[]	[]	IMPLICIT_SUBJECT_CONTINUATION;MISSING_COINGREDIENT	recorded
C	Q	f6v|f6v.6-f6v.21	B	D	I	U	T	13	f6v.10:2	ychear	f6v.10:3		f6v.10:3		UNCHANGED	UNARY_NO_EDGE	[]	[]	MISSING_COINGREDIENT	recorded
C	Q	f6v|f6v.6-f6v.21	B	D	I	U	T	25	f6v.15:1	chockhy	f6v.14:3		f6v.7:4		UNCHANGED	UNARY_NO_EDGE	[]	[]	IMPLICIT_SUBJECT_CONTINUATION;MISSING_COINGREDIENT	recorded
C	Q	f6v|f6v.6-f6v.21	B	D	I	U	V	13	f6v.10:2	ychear	f6v.10:3		f6v.10:3		UNCHANGED	UNARY_NO_EDGE	[]	[]	MISSING_COINGREDIENT	recorded
C	Q	f6v|f6v.6-f6v.21	B	D	I	U	V	25	f6v.15:1	chockhy	f6v.14:3		f6v.7:4		UNCHANGED	UNARY_NO_EDGE	[]	[]	IMPLICIT_SUBJECT_CONTINUATION;MISSING_COINGREDIENT	recorded
C	Q	f6v|f6v.6-f6v.21	B	D	I	D	T	13	f6v.10:2	ychear	f6v.10:3		f6v.10:3		JOIN	MISSING_PARTICIPANT	[]	[]	MISSING_COINGREDIENT	recorded
C	Q	f6v|f6v.6-f6v.21	B	D	I	D	T	25	f6v.15:1	chockhy	f6v.14:3		f6v.7:4		JOIN	MISSING_PARTICIPANT	[]	[]	IMPLICIT_SUBJECT_CONTINUATION;MISSING_COINGREDIENT	recorded
C	Q	f6v|f6v.6-f6v.21	B	D	I	D	V	13	f6v.10:2	ychear	f6v.10:3		f6v.10:3		JOIN	MISSING_PARTICIPANT	[]	[]	MISSING_COINGREDIENT	recorded
C	Q	f6v|f6v.6-f6v.21	B	D	I	D	V	25	f6v.15:1	chockhy	f6v.14:3		f6v.7:4		JOIN	MISSING_PARTICIPANT	[]	[]	IMPLICIT_SUBJECT_CONTINUATION;MISSING_COINGREDIENT	recorded
C	Q	f6v|f6v.6-f6v.21	B	H	O	U	T	13	f6v.10:2	ychear	f6v.10:3		f6v.10:3		UNCHANGED	UNARY_NO_EDGE	[]	[]	MISSING_COINGREDIENT	recorded
