revision_id	kind	locus	written_span_eva	old_renderer_de	new_portable_renderer_de	new_aggressive_c1_renderer_de	evidence	confirmed_plaintext
G764-R01	H1_BOUNDED_FIELD	f105r.24	pcheey dal daiin	H1-Eintrag; X-Feld; Wert III	trockene Form II: Rohstoff I, abgemessen; Wert III	trockene Form II: drei lokale Maße Rohstoff I	GDT655|GDT711|GDT684	0
G764-R02	H1_BOUNDED_FIELD	f105v.5	pchedal qopchdy daiin	H1-Eintrag; X-Feld; Wert III	abgemessenes Trockenmaterial, Stufe I/Form I: qopchdy-Feld, Wert III	abgemessenes Trockenmaterial, Stufe I/Form I: fertige Trockenzubereitung auf Stufe III	GDT687|GDT763	0
G764-R03	H1_BOUNDED_FIELD	f10v.1	pcheey qoty daiin	H1-Eintrag; X-Feld; Wert III	trockene Form II: Kältegrad III	trockene Form II: kalt im dritten Grad	GDT645|GDT647|GDT684	0
G764-R04	H1_BOUNDED_FIELD	f22r.4	pchaiin ofchy daiin	H1-Eintrag; X-Feld; Wert III	Trockenindex oder -grad III: ofchy-Feld, Wert III	Trockenindex oder -grad III: ofchy-Feld III	GDT763	0
G764-R05	H1_BOUNDED_FIELD	f99r.15	pcheody oteody daiin	H1-Eintrag; X-Feld; Wert III	trocken aufbereitetes Ergebnis, Form I: Abkühl-/Ergebnisfeld: Stufe III	trocken aufbereitetes Ergebnis, Form I: abgekühlte fertige Zubereitung auf Stufe III	GDT734|GDT763	0
G764-R06	OL_AMOUNT_ORDER	f112r.36	sain ol	mengenfähiger Zubereitungs-/Inhaltskopf	Menge II — Ansatz/Zubereitung	zwei Drachmen Ansatz/Zubereitung	ol besetzt allein die positionsbevorzugte Inhaltsseite	0
G764-R07	OL_AMOUNT_ORDER	f112r.9	saiin ol	mengenfähiger Zubereitungs-/Inhaltskopf	Menge III — Ansatz/Zubereitung	drei Drachmen Ansatz/Zubereitung	ol besetzt allein die positionsbevorzugte Inhaltsseite	0
G764-R08	OL_AMOUNT_ORDER	f55v.10	ol s aiin	mengenfähiger Zubereitungs-/Inhaltskopf	Ansatz/Zubereitung: Menge III	Ansatz/Zubereitung: drei Drachmen	ol besetzt allein die positionsbevorzugte Inhaltsseite	0
G764-R09	OL_AMOUNT_ORDER	f78r.37	ol s aiin	mengenfähiger Zubereitungs-/Inhaltskopf	Ansatz/Zubereitung: Menge III	Ansatz/Zubereitung: drei Drachmen	ol besetzt allein die positionsbevorzugte Inhaltsseite	0
G764-R10	OL_AMOUNT_ORDER	f79r.13	or aiin ol	mengenfähiger Zubereitungs-/Inhaltskopf	Portionsfeld III; bevorzugter linker Kopf qotar; danach ol-Nebenfeld	drei Portionen; bevorzugter linker Kopf qotar; danach ol-Nebenfeld	positionsbevorzugter linker Gegenkandidat qotar ist reader-exakt (OPEN)	0
G764-R11	OL_AMOUNT_ORDER	f79v.25	sain ol	mengenfähiger Zubereitungs-/Inhaltskopf	Menge II — Ansatz/Zubereitung	zwei Drachmen Ansatz/Zubereitung	vierfach wiederholtes sain ol setzt den rechten Ganzwortkopf; exakter linker Kandidat bleibt Kontextrivale	0
G764-R12	OL_AMOUNT_ORDER	f81r.15	sain ol	mengenfähiger Zubereitungs-/Inhaltskopf	Menge II — Ansatz/Zubereitung	zwei Drachmen Ansatz/Zubereitung	ol besetzt allein die positionsbevorzugte Inhaltsseite	0
G764-R13	OL_AMOUNT_ORDER	f82r.33	sain ol	mengenfähiger Zubereitungs-/Inhaltskopf	Menge II — Ansatz/Zubereitung	zwei Drachmen Ansatz/Zubereitung	ol besetzt allein die positionsbevorzugte Inhaltsseite	0
G764-R14	OL_AMOUNT_ORDER	f85r1.13	ol s aiin ol	mengenfähiger Zubereitungs-/Inhaltskopf	ol-Feld — Menge III — ol-Feld; Seitenrollen offen	ol-Feld — drei Drachmen — ol-Feld; Seitenrollen offen	ol steht auf beiden Seiten derselben Mengenexpression	0
G764-R15	OL_AMOUNT_ORDER	f85r1.27	saiin ol	mengenfähiger Zubereitungs-/Inhaltskopf	Menge III; bevorzugter linker Kopf qokal; danach ol-Nebenfeld	drei Drachmen; bevorzugter linker Kopf qokal; danach ol-Nebenfeld	positionsbevorzugter linker Gegenkandidat qokal ist reader-exakt (OPEN)	0
G764-R16	OL_AMOUNT_ORDER	f86v6.7	or aiin ol	mengenfähiger Zubereitungs-/Inhaltskopf	Portionsfeld III — Ansatz/Zubereitung	drei Portionen Ansatz/Zubereitung	nichtbevorzugte Seite, aber Gegenkandidat lchedor ist nicht reader-exakt	0
G764-R17	OL_AMOUNT_ORDER	f94v.9	ol s aiin	mengenfähiger Zubereitungs-/Inhaltskopf	Ansatz/Zubereitung, Menge III; Prozess-/Abschlussfeld	drei Drachmen Ansatz/Zubereitung; abseihen/trennen	zulässiger Mengenkopf mit folgendem exaktem Prozessfeld oly	0
