ol_repeat_id	source_ol_slot_id	page	physical_folio	locus	section	hand	pattern_eva	amount_expression_eva	amount_candidate_de	amount_rivals_de	amount_mode	expression_line_position	ol_sides_relative_to_amount	position_expected_side	gdt763_slot_function	selected_slot_function	gdt764_role_evolution	dispatch_basis	preferred_competitor_surface	preferred_competitor_reader_exact	outside_span_surface	outside_span_axis_class	portable_renderer_de	aggressive_c1_renderer_de	specific_oil_identity	literal_process_selected	confirmed_plaintext	written_line_eva	component_export_credit
G764-OR01	G763-A01	f112r	f112	f112r.36	S	3	sain ol	sain	zwei Drachmen	zwei gleiche Teile || zwei Unzen	FUSED	FIRST	R	R	HEAD	HEAD	UNCHANGED_FROM_GDT763	ol besetzt allein die positionsbevorzugte Inhaltsseite	LINE_EDGE	0	SEE_OL_OCCURRENCE_R1	NOT_REQUIRED_BY_SELECTED_DISPATCH	Menge II — Ansatz/Zubereitung	zwei Drachmen Ansatz/Zubereitung	0	0	0	sain ol checkhy olchain okeey olam	0
G764-OR02	G763-A02	f112r	f112	f112r.9	S	3	saiin ol	saiin	drei Drachmen	drei gleiche Teile || drei Unzen	FUSED	FIRST	R	R	HEAD	HEAD	UNCHANGED_FROM_GDT763	ol besetzt allein die positionsbevorzugte Inhaltsseite	LINE_EDGE	0	SEE_OL_OCCURRENCE_R1	NOT_REQUIRED_BY_SELECTED_DISPATCH	Menge III — Ansatz/Zubereitung	drei Drachmen Ansatz/Zubereitung	0	0	0	saiin ol okeey qokeey y chedy teedy qokchy qokar y	0
G764-OR03	G763-A04	f55v	f55	f55v.10	H	2	ol s aiin	s aiin	drei Drachmen	drei gleiche Teile || drei Unzen	SEPARATED	MIDDLE	L	L	HEAD	HEAD	UNCHANGED_FROM_GDT763	ol besetzt allein die positionsbevorzugte Inhaltsseite	okaiin	1	okaiin	OPEN	Ansatz/Zubereitung: Menge III	Ansatz/Zubereitung: drei Drachmen	0	0	0	oaiin ol s aiin okaiin oky ytaiin otar y kal ykar ol	0
G764-OR04	G763-A06	f78r	f78	f78r.37	B	2	ol s aiin	s aiin	drei Drachmen	drei gleiche Teile || drei Unzen	SEPARATED	MIDDLE	L	L	HEAD	HEAD	UNCHANGED_FROM_GDT763	ol besetzt allein die positionsbevorzugte Inhaltsseite	shee	0	shee	EDGE_OR_NONEXACT	Ansatz/Zubereitung: Menge III	Ansatz/Zubereitung: drei Drachmen	0	0	0	osal ol s aiin shee aiin oly	0
G764-OR05	G763-A08	f79r	f79	f79r.13	B	2	or aiin ol	or aiin	drei Portionen	Dosis/Dosen || Teil/Teile	SEPARATED	MIDDLE	R	L	CONTEXT_SECOND_FIELD	CONTEXT_SECOND_FIELD	UNCHANGED_FROM_GDT763	positionsbevorzugter linker Gegenkandidat qotar ist reader-exakt (OPEN)	qotar	1	SEE_OL_OCCURRENCE_R1	NOT_REQUIRED_BY_SELECTED_DISPATCH	Portionsfeld III; bevorzugter linker Kopf qotar; danach ol-Nebenfeld	drei Portionen; bevorzugter linker Kopf qotar; danach ol-Nebenfeld	0	0	0	pshorol shckhy qotshdy qokaldy opchedy qotar or aiin ol	0
G764-OR06	G763-A09	f79v	f79	f79v.25	B	2	sain ol	sain	zwei Drachmen	zwei gleiche Teile || zwei Unzen	FUSED	MIDDLE	R	L	CONTEXT_SECOND_FIELD	HEAD	A09_CONTEXT_TO_HEAD_WITH_LEFT_CONTEXT_RIVAL	vierfach wiederholtes sain ol setzt den rechten Ganzwortkopf; exakter linker Kandidat bleibt Kontextrivale	otshey	1	SEE_OL_OCCURRENCE_R1	NOT_REQUIRED_BY_SELECTED_DISPATCH	Menge II — Ansatz/Zubereitung	zwei Drachmen Ansatz/Zubereitung	0	0	0	qokeey ol olshdy qotain oteedy olkain otshey sain ol	0
G764-OR07	G763-A10	f81r	f81	f81r.15	B	2	sain ol	sain	zwei Drachmen	zwei gleiche Teile || zwei Unzen	FUSED	FIRST	R	R	HEAD	HEAD	UNCHANGED_FROM_GDT763	ol besetzt allein die positionsbevorzugte Inhaltsseite	LINE_EDGE	0	SEE_OL_OCCURRENCE_R1	NOT_REQUIRED_BY_SELECTED_DISPATCH	Menge II — Ansatz/Zubereitung	zwei Drachmen Ansatz/Zubereitung	0	0	0	sain ol cheedy qokeedy otedy	0
G764-OR08	G763-A11	f82r	f82	f82r.33	B	2	sain ol	sain	zwei Drachmen	zwei gleiche Teile || zwei Unzen	FUSED	FIRST	R	R	HEAD	HEAD	UNCHANGED_FROM_GDT763	ol besetzt allein die positionsbevorzugte Inhaltsseite	LINE_EDGE	0	SEE_OL_OCCURRENCE_R1	NOT_REQUIRED_BY_SELECTED_DISPATCH	Menge II — Ansatz/Zubereitung	zwei Drachmen Ansatz/Zubereitung	0	0	0	sain ol cheol ey cheor chey	0
G764-OR09	G763-A12	f85r1	f85	f85r1.13	T	2	ol s aiin ol	s aiin	drei Drachmen	drei gleiche Teile || drei Unzen	SEPARATED	MIDDLE	L|R	L	BILATERAL_AMBIGUOUS	BILATERAL_AMBIGUOUS	UNCHANGED_FROM_GDT763	ol steht auf beiden Seiten derselben Mengenexpression	NONE	0	AMBIGUOUS	AMBIGUOUS	ol-Feld — Menge III — ol-Feld; Seitenrollen offen	ol-Feld — drei Drachmen — ol-Feld; Seitenrollen offen	0	0	0	rsheodar qocthy kar okaiin ykeeeody qotal ol s aiin ol daldy shody	0
G764-OR10	G763-A14	f85r1	f85	f85r1.27	T	2	saiin ol	saiin	drei Drachmen	drei gleiche Teile || drei Unzen	FUSED	MIDDLE	R	L	CONTEXT_SECOND_FIELD	CONTEXT_SECOND_FIELD	UNCHANGED_FROM_GDT763	positionsbevorzugter linker Gegenkandidat qokal ist reader-exakt (OPEN)	qokal	1	SEE_OL_OCCURRENCE_R1	NOT_REQUIRED_BY_SELECTED_DISPATCH	Menge III; bevorzugter linker Kopf qokal; danach ol-Nebenfeld	drei Drachmen; bevorzugter linker Kopf qokal; danach ol-Nebenfeld	0	0	0	ychedy shetshdy qotar okedy qokal saiin ol karar odeeeg	0
