x_occurrence_id	surface	selected_field_type	portable_whole_de	confidence	page	physical_folio	locus	section	language	hand	ordinal	line_token_count	line_position	paragraph_start_line	paragraph_end_line	written_line_eva	component_export_credit	l2_surface	l2_reader_exact	l2_status	l2_axes	l2_roles	l2_semantic_candidate_de	l1_surface	l1_reader_exact	l1_status	l1_axes	l1_roles	l1_semantic_candidate_de	r1_surface	r1_reader_exact	r1_status	r1_axes	r1_roles	r1_semantic_candidate_de	r2_surface	r2_reader_exact	r2_status	r2_axes	r2_roles	r2_semantic_candidate_de	left_is_h1	right_is_exact_daiin
G764-X0001	chofol	OPEN_FIELD	chofol-Feld; Bedeutung offen	C0_CONTROL_OPEN	f102r1	f102	f102r1.8	P	A	1	4	8	MIDDLE	1	0	pshodaiin qoorar chopy chofol daiin oteol qoteol doly	0	qoorar	1	CLEAN	NONE	OPEN	[qoorar:?]	chopy	1	CLEAN	NONE	OPEN	[chopy:?]	daiin	1	CLEAN	NONE	SCALAR_VALUE	Wert III	oteol	1	CLEAN	COLD|MATERIAL|PREPARATION|PROCESS|MIDDLE_STAGE	QUALITY_STAGE|CONTENT_PREPARATION|PROCESS_PASS	Drogenstoff im Ansatz bis zur Mittelstufe abkühlen	0	1
G764-X0002	oteody	RESULT_STAGE_HEAD	Abkühl-/Ergebnisfeld	C0_AXIS_C1_WHOLE_STAGE_RIVAL	f102v1	f102	f102v1.22	P	A	1	7	8	MIDDLE	0	0	ykeeody chodaiin qokeos cheol qool chsey oteody okchy	0	qool	1	CLEAN	NONE	OPEN	[qool:?]	chsey	0	NONEXACT	NONE	OPEN	NONEXACT_UNSCORED	okchy	1	CLEAN	HOT|DRY|PREPARATION|BEGIN_STAGE	QUALITY_STAGE|CONTENT_PREPARATION	heiß-trockener Ansatz am Anfang des Grades	LINE_EDGE	0	EDGE	NONE	OPEN	NONE	0	0
G764-X0003	dal	MATERIAL_MEASURE_HEAD	Rohstoff I, abgemessen	C1_ROLE_C0_AXIS_C1_AMOUNT_RIVAL	f103r	f103	f103r.41	S	B	3	13	13	LAST	0	0	cheol sheeey qotey oteeal oteedy shet sho keeo s shey qokeedy qokal dal	0	qokeedy	0	NONEXACT	NONE	OPEN	NONEXACT_UNSCORED	qokal	1	CLEAN	NONE	KNOWN_OTHER	heißes Material I, Anfangsstufe	LINE_EDGE	0	EDGE	NONE	OPEN	NONE	LINE_EDGE	0	EDGE	NONE	OPEN	NONE	0	0
G764-X0004	qoty	QUALITY_HEAD	Kältefeld, Grund-/Anfangsstufe	C2_ROLE_C1_PHRASE	f103r	f103	f103r.52	S	B	3	6	10	MIDDLE	1	0	pchedal oteey qol keedy qokeey qoty chepchy qopchey lkaiin otalsy	0	keedy	0	NONEXACT	NONE	OPEN	NONEXACT_UNSCORED	qokeey	1	CLEAN	HOT|END_STAGE	QUALITY_STAGE	heiß am Ende des Grades	chepchy	1	CLEAN	NONE	OPEN	[chepchy:?]	qopchey	1	QUARANTINED	NONE	OPEN	QUARANTINED_SOURCE_COMPOSITION	0	0
G764-X0005	qoty	QUALITY_HEAD	Kältefeld, Grund-/Anfangsstufe	C2_ROLE_C1_PHRASE	f103r	f103	f103r.54	S	B	3	5	5	LAST	0	1	dsheey qoteeey darchedy qokey qoty	0	darchedy	0	NONEXACT	NONE	OPEN	NONEXACT_UNSCORED	qokey	1	CLEAN	HOT|MIDDLE_STAGE	QUALITY_STAGE	heiß in der Mitte des Grades	LINE_EDGE	0	EDGE	NONE	OPEN	NONE	LINE_EDGE	0	EDGE	NONE	OPEN	NONE	0	0
G764-X0006	dal	MATERIAL_MEASURE_HEAD	Rohstoff I, abgemessen	C1_ROLE_C0_AXIS_C1_AMOUNT_RIVAL	f103v	f103	f103v.1	S	B	3	12	12	LAST	1	0	pol dar olfchey qoky dy qokeey qokeey daiin okeedaky qoteiir shedy dal	0	qoteiir	0	NONEXACT	NONE	OPEN	NONEXACT_UNSCORED	shedy	1	CLEAN	NONE	QUALITY_STAGE|CONTENT_PREPARATION	mittlere Feuchtstufe erreicht	LINE_EDGE	0	EDGE	NONE	OPEN	NONE	LINE_EDGE	0	EDGE	NONE	OPEN	NONE	0	0
G764-X0007	qoty	QUALITY_HEAD	Kältefeld, Grund-/Anfangsstufe	C2_ROLE_C1_PHRASE	f103v	f103	f103v.2	S	B	3	8	11	MIDDLE	0	0	daiin shey qokal shedy qokeedy qoteor shey qoty chckhy qotain chalr	0	qoteor	1	CLEAN	NONE	OPEN	[qoteor:?]	shey	0	NONEXACT	NONE	OPEN	NONEXACT_UNSCORED	chckhy	1	CLEAN	NONE	KNOWN_OTHER	trockene Mischung, Anfangsstufe	qotain	1	CLEAN	NONE	KNOWN_OTHER	kalter Ansatz, Grad II	0	0
G764-X0008	qoty	QUALITY_HEAD	Kältefeld, Grund-/Anfangsstufe	C2_ROLE_C1_PHRASE	f103v	f103	f103v.23	S	B	3	13	13	LAST	0	0	ycheody l ar cheey or aiiin oteey otal otear or ar keey qoty	0	ar	1	CLEAN	NONE	KNOWN_OTHER	Anteil	keey	1	CLEAN	NONE	KNOWN_OTHER	heiß am Ende des Grades	LINE_EDGE	0	EDGE	NONE	OPEN	NONE	LINE_EDGE	0	EDGE	NONE	OPEN	NONE	0	0
G764-X0009	qoty	QUALITY_HEAD	Kältefeld, Grund-/Anfangsstufe	C2_ROLE_C1_PHRASE	f103v	f103	f103v.3	S	B	3	8	12	MIDDLE	0	0	qok or chedy qokey dar chcthy char qoty shdy okeedy qokeey qokain	0	chcthy	0	NONEXACT	NONE	OPEN	NONEXACT_UNSCORED	char	0	NONEXACT	NONE	OPEN	NONEXACT_UNSCORED	shdy	0	NONEXACT	NONE	OPEN	NONEXACT_UNSCORED	okeedy	1	CLEAN	HOT|PREPARATION|CLOSE|END_STAGE	QUALITY_STAGE|CONTENT_PREPARATION|CLOSE	heißer Ansatz am Ende des Grades, abgeschlossen	0	0
G764-X0010	qopchdy	NOMINAL_FIELD	qopchdy-Feld; nominal	C2_NOMINAL_C0_AXIS_C1_STAGE_RIVAL	f103v	f103	f103v.5	S	B	3	7	10	MIDDLE	1	0	pcheor olkeey cheky qokshdy qokaiin okechdy qopchdy qotedy qokaiin oly	0	qokaiin	1	CLEAN	NONE	KNOWN_OTHER	heiß/warm; genaue Funktion und Identität offen	okechdy	1	CLEAN	NONE	OPEN	[okechdy:?]	qotedy	1	CLEAN	COLD|CLOSE|MIDDLE_STAGE|END_STAGE	QUALITY_STAGE|CLOSE	kalt in der Mitte des Grades, abgeschlossen	qokaiin	0	NONEXACT	NONE	OPEN	NONEXACT_UNSCORED	0	0
