group_serial	diagram_id	page	locus	opaque_local_id	visible_owner	visible_surface	namespace_id	local_content_class	detected_literal_atoms	detected_cues	covered_characters	residual_pattern	transfer_class	exact_prose_master_card_id	exact_prose_short_default_de	forward_prediction	forward_predicted_reading_de	existing_astro_component_parse	existing_astro_reading_de	cross_register_reading_de	orientation_rule	crosspage_rule
1	A1	f67r2	f67r2.1	A1:G001	A1_RIGHT_SECTOR_SLOT_01	ykshy	F67_RIGHT_WHEEL_NS	RIGHT_WHEEL_CELESTIAL_OR_CALENDAR_SECTOR	NONE	NONE	0/5	ykshy	LOCAL_ASTRO_NOMENCLATOR	NONE	NONE	NONE	NONE	Position oder Bedingung halten	Sektorplatz A1_RIGHT_SECTOR_SLOT_01: Position oder Bedingung halten; lokaler Namensrest yk/y.	Sektorplatz A1_RIGHT_SECTOR_SLOT_01: Position oder Bedingung halten; lokaler Namensrest yk/y.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
2	A1	f67r2	f67r2.1	A1:G002	A1_RIGHT_SECTOR_SLOT_01	s	F67_RIGHT_WHEEL_NS	RIGHT_WHEEL_CELESTIAL_OR_CALENDAR_SECTOR	NONE	NONE	0/1	s	LOCAL_ASTRO_NOMENCLATOR	NONE	NONE	NONE	NONE	gelerntes lokales Namen- oder Wertsegment	A1_RIGHT_SECTOR_SLOT_01: Nebenwert.	A1_RIGHT_SECTOR_SLOT_01: Nebenwert.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
3	A1	f67r2	f67r2.1	A1:G003	A1_RIGHT_SECTOR_SLOT_01	aram	F67_RIGHT_WHEEL_NS	RIGHT_WHEEL_CELESTIAL_OR_CALENDAR_SECTOR	AR	AR=ar@0-2	2/4	··am	SINGLE_CUE_LOCAL_VALUE	NONE	NONE	NONE	NONE	Ausgangssektor, Ursprung oder Bezugswert	Sektorplatz A1_RIGHT_SECTOR_SLOT_01: Ausgangssektor, Ursprung oder Bezugswert; lokaler Namensrest am.	Sektorplatz A1_RIGHT_SECTOR_SLOT_01: Ausgangssektor, Ursprung oder Bezugswert; lokaler Namensrest am.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
4	A1	f67r2	f67r2.2	A1:G004	A1_RIGHT_SECTOR_SLOT_02	ykecho	F67_RIGHT_WHEEL_NS	RIGHT_WHEEL_CELESTIAL_OR_CALENDAR_SECTOR	HO	HO=cho@3-6	3/6	yke···	SINGLE_CUE_LOCAL_VALUE	NONE	NONE	NONE	NONE	Himmelsobjekt oder Eingangsbedingung	Sektorplatz A1_RIGHT_SECTOR_SLOT_02: Himmelsobjekt oder Eingangsbedingung; lokaler Namensrest ykec.	Sektorplatz A1_RIGHT_SECTOR_SLOT_02: Himmelsobjekt oder Eingangsbedingung; lokaler Namensrest ykec.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
5	A1	f67r2	f67r2.2	A1:G005	A1_RIGHT_SECTOR_SLOT_02	ols	F67_RIGHT_WHEEL_NS	RIGHT_WHEEL_CELESTIAL_OR_CALENDAR_SECTOR	OL	OL=ol@0-2	2/3	··s	SINGLE_CUE_LOCAL_VALUE	NONE	NONE	NONE	NONE	im selben Ring, Band oder Satz fortsetzen	Sektorplatz A1_RIGHT_SECTOR_SLOT_02: im selben Ring, Band oder Satz fortsetzen; lokaler Namensrest s.	Sektorplatz A1_RIGHT_SECTOR_SLOT_02: im selben Ring, Band oder Satz fortsetzen; lokaler Namensrest s.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
6	A1	f67r2	f67r2.2	A1:G006	A1_RIGHT_SECTOR_SLOT_02	eesydy	F67_RIGHT_WHEEL_NS	RIGHT_WHEEL_CELESTIAL_OR_CALENDAR_SECTOR	NONE	NONE	0/6	eesydy	LOCAL_ASTRO_NOMENCLATOR	NONE	NONE	NONE	NONE	lange oder volle Diagrammstufe	Sektorplatz A1_RIGHT_SECTOR_SLOT_02: lange oder volle Diagrammstufe; lokaler Namensrest sydy.	Sektorplatz A1_RIGHT_SECTOR_SLOT_02: lange oder volle Diagrammstufe; lokaler Namensrest sydy.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
7	A1	f67r2	f67r2.3	A1:G007	A1_RIGHT_SECTOR_SLOT_03	ey	F67_RIGHT_WHEEL_NS	RIGHT_WHEEL_CELESTIAL_OR_CALENDAR_SECTOR	NONE	NONE	0/2	ey	LOCAL_ASTRO_NOMENCLATOR	NONE	NONE	NONE	NONE	gelerntes lokales Namen- oder Wertsegment	A1_RIGHT_SECTOR_SLOT_03: aktueller Auswahlwert.	A1_RIGHT_SECTOR_SLOT_03: aktueller Auswahlwert.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
8	A1	f67r2	f67r2.3	A1:G008	A1_RIGHT_SECTOR_SLOT_03	shs	F67_RIGHT_WHEEL_NS	RIGHT_WHEEL_CELESTIAL_OR_CALENDAR_SECTOR	NONE	NONE	0/3	shs	LOCAL_ASTRO_NOMENCLATOR	NONE	NONE	NONE	NONE	Position oder Bedingung halten	Sektorplatz A1_RIGHT_SECTOR_SLOT_03: Position oder Bedingung halten; lokaler Namensrest s.	Sektorplatz A1_RIGHT_SECTOR_SLOT_03: Position oder Bedingung halten; lokaler Namensrest s.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
9	A1	f67r2	f67r2.3	A1:G009	A1_RIGHT_SECTOR_SLOT_03	okar	F67_RIGHT_WHEEL_NS	RIGHT_WHEEL_CELESTIAL_OR_CALENDAR_SECTOR	OK+AR	OK=ok@0-2|AR=ar@2-4	4/4	····	NEW_MULTI_ATOM_CANDIDATE	NONE	NONE	NONE	NONE	Diagrammposten setzen oder aktivieren + Ausgangssektor, Ursprung oder Bezugswert	Sektorplatz A1_RIGHT_SECTOR_SLOT_03: Diagrammposten setzen oder aktivieren + Ausgangssektor, Ursprung oder Bezugswert.	Sektorplatz A1_RIGHT_SECTOR_SLOT_03: Diagrammposten setzen oder aktivieren + Ausgangssektor, Ursprung oder Bezugswert.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
10	A1	f67r2	f67r2.4	A1:G010	A1_RIGHT_SECTOR_SLOT_04	shekchy	F67_RIGHT_WHEEL_NS	RIGHT_WHEEL_CELESTIAL_OR_CALENDAR_SECTOR	KCH	KCH=kch@3-6	3/7	she···y	SINGLE_CUE_LOCAL_VALUE	NONE	NONE	NONE	NONE	Position oder Bedingung halten + Diagrammplatz berechnen oder bearbeiten	Sektorplatz A1_RIGHT_SECTOR_SLOT_04: Position oder Bedingung halten + Diagrammplatz berechnen oder bearbeiten; lokaler Namensrest e/y.	Sektorplatz A1_RIGHT_SECTOR_SLOT_04: Position oder Bedingung halten + Diagrammplatz berechnen oder bearbeiten; lokaler Namensrest e/y.	LOCAL_OWNER_ONLY__NO_START_OR_DIRECTION	NO_F68_F69_KEY__NO_IMPLICIT_NAMESPACE_JOIN
