predicted_atom_sequence	predicted_short_reading_de	prose_status	astro_exact_hit_count	astro_surfaces	astro_pages	astro_owners	existing_astro_readings	cross_register_decision
OK+IIN	Arbeitsstufe einstellen	EMPTY_PRODUCTIVE_CELL	0	NONE	NONE	NONE	NONE	REMAINS_EMPTY
OK+OR	Ansatz ansetzen	EMPTY_PRODUCTIVE_CELL	0	NONE	NONE	NONE	NONE	REMAINS_EMPTY
OL+AIIN	Fortsetzungsmaß	EMPTY_PRODUCTIVE_CELL	0	NONE	NONE	NONE	NONE	REMAINS_EMPTY
OL+AL	zur Folgestelle weiterführen	EMPTY_PRODUCTIVE_CELL	0	NONE	NONE	NONE	NONE	REMAINS_EMPTY
OL+AR	vom Ausgang weiterführen	EMPTY_PRODUCTIVE_CELL	1	olar	f67r2	A1_RIGHT_OUTER_RING_TEXT	Ring- oder Bandstelle A1_RIGHT_OUTER_RING_TEXT: im selben Ring, Band oder Satz fortsetzen + Ausgangssektor, Ursprung oder Bezugswert.	FORWARD_CELL_FILLED_BY_ASTRO
OT+AIN	Folgeportion	EMPTY_PRODUCTIVE_CELL	0	NONE	NONE	NONE	NONE	REMAINS_EMPTY
OT+AIR	nächsten Wasserlauf nehmen	EMPTY_PRODUCTIVE_CELL	1	qotair	f69v	A3_RIGHT_WHEEL_RING_TEXT	lokaler Himmels- oder Kalenderplatz A3_RIGHT_WHEEL_RING_TEXT: naechster Platz oder folgende Bedingung + Himmels-, Ring- oder Zeigerlauf; lokaler Namensrest q.	FORWARD_CELL_FILLED_BY_ASTRO
CHD+AIIN	nach Sollmaß umsetzen	EMPTY_PRODUCTIVE_CELL	1	chedaiin	f67r2	A1_LEFT_LOCAL_FIELD_39	Sternplatz A1_LEFT_LOCAL_FIELD_39: Wert oder Platzbezug uebertragen + Sollwert oder Grad eines Diagrammplatzes.	FORWARD_CELL_FILLED_BY_ASTRO
CHD+IIN	bis zur Stufe umsetzen	EMPTY_PRODUCTIVE_CELL	0	NONE	NONE	NONE	NONE	REMAINS_EMPTY
CTH+AL	an Zielstelle bereitstellen	EMPTY_PRODUCTIVE_CELL	0	NONE	NONE	NONE	NONE	REMAINS_EMPTY
CTH+AR	aus der Quelle bereitstellen	EMPTY_PRODUCTIVE_CELL	0	NONE	NONE	NONE	NONE	REMAINS_EMPTY
CKH+AR	von der Quelle durchleiten	EMPTY_PRODUCTIVE_CELL	0	NONE	NONE	NONE	NONE	REMAINS_EMPTY
CKH+AIIN	bis Sollmaß durchleiten	EMPTY_PRODUCTIVE_CELL	0	NONE	NONE	NONE	NONE	REMAINS_EMPTY
CHK+AL	an der Zielstelle wärmen	EMPTY_PRODUCTIVE_CELL	0	NONE	NONE	NONE	NONE	REMAINS_EMPTY
SHED+AR	aus der Quelle absetzen lassen	EMPTY_PRODUCTIVE_CELL	0	NONE	NONE	NONE	NONE	REMAINS_EMPTY
SOLK+AL	an Zielstelle sammeln	EMPTY_PRODUCTIVE_CELL	0	NONE	NONE	NONE	NONE	REMAINS_EMPTY
HO+AIN	eine Zutatenportion	EMPTY_PRODUCTIVE_CELL	0	NONE	NONE	NONE	NONE	REMAINS_EMPTY
HO+AR	Zutat aus der Quelle	OBSERVED_ELSEWHERE_REVIEW	0	NONE	NONE	NONE	NONE	REMAINS_EMPTY
