visible_surface	occurrences	pages	owners	namespaces	detected_literal_atoms	detected_cues	covered_characters	transfer_class	exact_prose_master_card_id	forward_prediction	representative_astro_reading_de
a	1	f69v	A3_RIGHT_WHEEL_RING_TEXT	F69_RIGHT_WHEEL_NS	NONE	NONE	0/1	LOCAL_ASTRO_NOMENCLATOR	NONE	NONE	A3_RIGHT_WHEEL_RING_TEXT: Hauptwert.
aiin	6	f67r2|f69v	A1_LEFT_LOCAL_FIELD_27|A1_LEFT_LOCAL_FIELD_43|A1_LEFT_LOCAL_FIELD_44|A1_LEFT_LOCAL_FIELD_49|A1_PAIRED_WHEEL_LEGEND_UNRESOLVED|A3_MIDDLE_WHEEL_RING_TEXT	F67_LEFT_WHEEL_NS|F67_PAIRED_LEGEND_QUARANTINE_NS|F69_MIDDLE_WHEEL_NS	AIIN	AIIN=aiin@0-4	4/4	EXACT_PROSE_SURFACE	MC039	NONE	Sternplatz A1_LEFT_LOCAL_FIELD_27: Sollwert oder Grad des bezeichneten Himmelsplatzes.
ain	2	f67r2	A1_LEFT_LOCAL_FIELD_19|A1_RIGHT_RING_BAND_01	F67_LEFT_WHEEL_NS|F67_RIGHT_WHEEL_NS	AIN	AIN=ain@0-3	3/3	SINGLE_CUE_LOCAL_VALUE	NONE	NONE	Ring- oder Bandstelle A1_RIGHT_RING_BAND_01: gezaehlter Teil oder Unterabschnitt.
air	4	f67r2|f69v	A1_LEFT_LOCAL_FIELD_32|A1_PAIRED_WHEEL_LEGEND_UNRESOLVED|A1_RIGHT_PHASE_STATION_01|A3_RIGHT_WHEEL_RING_TEXT	F67_LEFT_WHEEL_NS|F67_PAIRED_LEGEND_QUARANTINE_NS|F67_RIGHT_WHEEL_NS|F69_RIGHT_WHEEL_NS	AIR	AIR=air@0-3	3/3	SINGLE_CUE_LOCAL_VALUE	NONE	NONE	Sternplatz A1_LEFT_LOCAL_FIELD_32: Himmels-, Ring- oder Zeigerlauf.
airchy	1	f69v	A3_MIDDLE_WHEEL_RING_TEXT	F69_MIDDLE_WHEEL_NS	AIR	AIR=air@0-3	3/6	SINGLE_CUE_LOCAL_VALUE	NONE	NONE	lokaler Himmels- oder Kalenderplatz A3_MIDDLE_WHEEL_RING_TEXT: Himmels-, Ring- oder Zeigerlauf; lokaler Namensrest chy.
alaiin	1	f67r2	A1_LEFT_LOCAL_FIELD_32	F67_LEFT_WHEEL_NS	AL+AIIN	AL=al@0-2|AIIN=aiin@2-6	6/6	NEW_MULTI_ATOM_CANDIDATE	NONE	NONE	Sternplatz A1_LEFT_LOCAL_FIELD_32: Zielsektor, Zielstern oder Zielfeld + Sollwert oder Grad eines Diagrammplatzes.
aldaiin	1	f67r2	A1_LEFT_OUTER_RING_TEXT	F67_LEFT_WHEEL_NS	AL+AIIN	AL=al@0-2|AIIN=aiin@3-7	6/7	NEW_MULTI_ATOM_CANDIDATE	NONE	NONE	Ring- oder Bandstelle A1_LEFT_OUTER_RING_TEXT: Zielsektor, Zielstern oder Zielfeld + Sollwert oder Grad eines Diagrammplatzes; lokaler Namensrest d.
aldy	1	f67r2	A1_RIGHT_RING_BAND_01	F67_RIGHT_WHEEL_NS	AL	AL=al@0-2	2/4	SINGLE_CUE_LOCAL_VALUE	NONE	NONE	Ring- oder Bandstelle A1_RIGHT_RING_BAND_01: Zielsektor, Zielstern oder Zielfeld; lokaler Namensrest dy.
alys	1	f69v	A3_LEFT_RADIAL_SLOT_28	F69_LEFT_WHEEL_NS	AL	AL=al@0-2	2/4	SINGLE_CUE_LOCAL_VALUE	NONE	NONE	Radstelle A3_LEFT_RADIAL_SLOT_28: Zielsektor, Zielstern oder Zielfeld; lokaler Namensrest ys.
am	3	f67r2	A1_LEFT_LOCAL_FIELD_21|A1_LEFT_LOCAL_FIELD_27|A1_LEFT_LOCAL_FIELD_28	F67_LEFT_WHEEL_NS	NONE	NONE	0/2	LOCAL_ASTRO_NOMENCLATOR	NONE	NONE	A1_LEFT_LOCAL_FIELD_21: Aspektwert.
amy	1	f67r2	A1_LEFT_LOCAL_FIELD_19	F67_LEFT_WHEEL_NS	NONE	NONE	0/3	LOCAL_ASTRO_NOMENCLATOR	NONE	NONE	A1_LEFT_LOCAL_FIELD_19: aktueller Aspektwert.
ar	9	f67r2|f69v	A1_LEFT_LOCAL_FIELD_19|A1_LEFT_LOCAL_FIELD_21|A1_LEFT_LOCAL_FIELD_24|A1_PAIRED_WHEEL_LEGEND_UNRESOLVED|A1_RIGHT_OUTER_RING_TEXT|A3_LEFT_WHEEL_RING_TEXT|A3_RIGHT_WHEEL_RING_TEXT	F67_LEFT_WHEEL_NS|F67_PAIRED_LEGEND_QUARANTINE_NS|F67_RIGHT_WHEEL_NS|F69_LEFT_WHEEL_NS|F69_RIGHT_WHEEL_NS	AR	AR=ar@0-2	2/2	SINGLE_CUE_LOCAL_VALUE	NONE	NONE	Sternplatz A1_LEFT_LOCAL_FIELD_19: Ausgangssektor, Ursprung oder Bezugswert.
aram	1	f67r2	A1_RIGHT_SECTOR_SLOT_01	F67_RIGHT_WHEEL_NS	AR	AR=ar@0-2	2/4	SINGLE_CUE_LOCAL_VALUE	NONE	NONE	Sektorplatz A1_RIGHT_SECTOR_SLOT_01: Ausgangssektor, Ursprung oder Bezugswert; lokaler Namensrest am.
ay	2	f67r2	A1_PAIRED_WHEEL_LEGEND_UNRESOLVED|A1_RIGHT_PHASE_STATION_06	F67_PAIRED_LEGEND_QUARANTINE_NS|F67_RIGHT_WHEEL_NS	NONE	NONE	0/2	LOCAL_ASTRO_NOMENCLATOR	NONE	NONE	A1_RIGHT_PHASE_STATION_06: aktueller Hauptwert.
ch	1	f69v	A3_MIDDLE_WHEEL_RING_TEXT	F69_MIDDLE_WHEEL_NS	NONE	NONE	0/2	LOCAL_ASTRO_NOMENCLATOR	NONE	NONE	A3_MIDDLE_WHEEL_RING_TEXT: Zustand.
char	1	f69v	A3_LEFT_WHEEL_RING_TEXT	F69_LEFT_WHEEL_NS	AR	AR=ar@2-4	2/4	EXACT_PROSE_SURFACE	MC055	NONE	Radstelle A3_LEFT_WHEEL_RING_TEXT: vom bezeichneten Ausgangsplatz.
chda	1	f69v	A3_RIGHT_WHEEL_RING_TEXT	F69_RIGHT_WHEEL_NS	CHD	CHD=chd@0-3	3/4	SINGLE_CUE_LOCAL_VALUE	NONE	NONE	lokaler Himmels- oder Kalenderplatz A3_RIGHT_WHEEL_RING_TEXT: Wert oder Platzbezug uebertragen; lokaler Namensrest a.
chdy	1	f69v	A3_RIGHT_WHEEL_RING_TEXT	F69_RIGHT_WHEEL_NS	CHD	CHD=chd@0-3	3/4	EXACT_PROSE_SURFACE	MC074	NONE	lokaler Himmels- oder Kalenderplatz A3_RIGHT_WHEEL_RING_TEXT: auf den bezeichneten Diagrammplatz uebertragen.
cheal	1	f69v	A3_MIDDLE_WHEEL_RING_TEXT	F69_MIDDLE_WHEEL_NS	AL	AL=al@3-5	2/5	EXACT_PROSE_SURFACE	MC154	NONE	lokaler Himmels- oder Kalenderplatz A3_MIDDLE_WHEEL_RING_TEXT: zum bezeichneten Zielplatz.
chear	1	f69v	A3_MIDDLE_WHEEL_RING_TEXT	F69_MIDDLE_WHEEL_NS	AR	AR=ar@3-5	2/5	SINGLE_CUE_LOCAL_VALUE	NONE	NONE	lokaler Himmels- oder Kalenderplatz A3_MIDDLE_WHEEL_RING_TEXT: Ausgangssektor, Ursprung oder Bezugswert; lokaler Namensrest che.
chedaiin	1	f67r2	A1_LEFT_LOCAL_FIELD_39	F67_LEFT_WHEEL_NS	CHD+AIIN	CHD=ched@0-4|AIIN=aiin@4-8	8/8	FORWARD_PREDICTED_EXACT	NONE	CHD+AIIN	Sternplatz A1_LEFT_LOCAL_FIELD_39: Wert oder Platzbezug uebertragen + Sollwert oder Grad eines Diagrammplatzes.
chees	1	f69v	A3_LEFT_WHEEL_RING_TEXT	F69_LEFT_WHEEL_NS	NONE	NONE	0/5	LOCAL_ASTRO_NOMENCLATOR	NONE	NONE	Radstelle A3_LEFT_WHEEL_RING_TEXT: lange oder volle Diagrammstufe; lokaler Namensrest ch/s.
cheeteey	1	f68r1	A2_MIDDLE_PANEL_HEADER	F68_MIDDLE_PANEL_HEADER_NS	NONE	NONE	0/8	LOCAL_ASTRO_NOMENCLATOR	NONE	NONE	Sternplatz A2_MIDDLE_PANEL_HEADER: lange oder volle Diagrammstufe + lange oder volle Diagrammstufe; lokaler Namensrest ch/t/y.
cheey	2	f68r1|f69v	A2_MIDDLE_PANEL_HEADER|A3_MIDDLE_WHEEL_RING_TEXT	F68_MIDDLE_PANEL_HEADER_NS|F69_MIDDLE_WHEEL_NS	NONE	NONE	0/5	EXACT_PROSE_SURFACE	MC119	NONE	Sternplatz A2_MIDDLE_PANEL_HEADER: abgelesener oder freigegebener Diagrammwert.
chekody	1	f67r2	A1_LEFT_LOCAL_FIELD_41	F67_LEFT_WHEEL_NS	CHK	CHK=chek@0-4	4/7	SINGLE_CUE_LOCAL_VALUE	NONE	NONE	A1_LEFT_LOCAL_FIELD_41: abgeleiteter Klassenwert.
cheo	1	f69v	A3_MIDDLE_WHEEL_RING_TEXT	F69_MIDDLE_WHEEL_NS	CHEO	CHEO=cheo@0-4	4/4	SINGLE_CUE_LOCAL_VALUE	NONE	NONE	A3_MIDDLE_WHEEL_RING_TEXT: Ablesewert.
cheody	1	f69v	A3_MIDDLE_WHEEL_RING_TEXT	F69_MIDDLE_WHEEL_NS	CHEO	CHEO=cheo@0-4	4/6	SINGLE_CUE_LOCAL_VALUE	NONE	NONE	A3_MIDDLE_WHEEL_RING_TEXT: Ablesewert fest.
cheokorchey	1	f68r1	A2_MIDDLE_PANEL_HEADER	F68_MIDDLE_PANEL_HEADER_NS	CHEO+OR	CHEO=cheo@0-4|OR=or@5-7	6/11	FORWARD_PREDICTED_EMBEDDED	NONE	OK+OR	Sternplatz A2_MIDDLE_PANEL_HEADER: Diagrammposten setzen oder aktivieren + Bedingungs-, Tabellen- oder Wahlansatz; lokaler Namensrest che/chey.
cheor	2	f68r1|f69v	A2_LEFT_PANEL_HEADER|A3_RIGHT_WHEEL_RING_TEXT	F68_LEFT_PANEL_HEADER_NS|F69_RIGHT_WHEEL_NS	CHEO	CHEO=cheo@0-4	4/5	SINGLE_CUE_LOCAL_VALUE	NONE	NONE	Sternplatz A2_LEFT_PANEL_HEADER: Bedingungs-, Tabellen- oder Wahlansatz; lokaler Namensrest che.
cheos	1	f67r2	A1_PAIRED_WHEEL_LEGEND_UNRESOLVED	F67_PAIRED_LEGEND_QUARANTINE_NS	CHEO	CHEO=cheo@0-4	4/5	SINGLE_CUE_LOCAL_VALUE	NONE	NONE	A1_PAIRED_WHEEL_LEGEND_UNRESOLVED: sekundärer Ablesewert.
cheteeser	1	f69v	A3_RIGHT_WHEEL_RING_TEXT	F69_RIGHT_WHEEL_NS	NONE	NONE	0/9	LOCAL_ASTRO_NOMENCLATOR	NONE	NONE	lokaler Himmels- oder Kalenderplatz A3_RIGHT_WHEEL_RING_TEXT: lange oder volle Diagrammstufe; lokaler Namensrest chet/ser.
chetody	1	f69v	A3_LEFT_WHEEL_RING_TEXT	F69_LEFT_WHEEL_NS	NONE	NONE	0/7	LOCAL_ASTRO_NOMENCLATOR	NONE	NONE	A3_LEFT_WHEEL_RING_TEXT: abgeleiteter Platzwert.
chey	4	f69v	A3_LEFT_WHEEL_RING_TEXT|A3_MIDDLE_WHEEL_RING_TEXT|A3_RIGHT_WHEEL_RING_TEXT	F69_LEFT_WHEEL_NS|F69_MIDDLE_WHEEL_NS|F69_RIGHT_WHEEL_NS	NONE	NONE	0/4	EXACT_PROSE_SURFACE	MC123	NONE	Radstelle A3_LEFT_WHEEL_RING_TEXT: dieser lokale Diagrammposten.
cheyky	1	f69v	A3_LEFT_WHEEL_RING_TEXT	F69_LEFT_WHEEL_NS	NONE	NONE	0/6	LOCAL_ASTRO_NOMENCLATOR	NONE	NONE	A3_LEFT_WHEEL_RING_TEXT: Ablesung dieses Hauses.
chkchdar	1	f67r2	A1_RIGHT_SECTOR_SLOT_08	F67_RIGHT_WHEEL_NS	KCH+AR	KCH=kch@2-5|AR=ar@6-8	5/8	NEW_MULTI_ATOM_CANDIDATE	NONE	NONE	Sektorplatz A1_RIGHT_SECTOR_SLOT_08: Grad oder Diagrammzustand justieren + Wert oder Platzbezug uebertragen + Ausgangssektor, Ursprung oder Bezugswert.
chkchykoly	1	f68r1	A2_MULTIPANEL_HEADER_FRAGMENT_07	F68_MULTIPANEL_HEADER_QUARANTINE_NS	KCH+OL	KCH=kch@2-5|OL=ol@7-9	5/10	NEW_MULTI_ATOM_CANDIDATE	NONE	NONE	Tafelkopf A2_MULTIPANEL_HEADER_FRAGMENT_07: Diagrammplatz berechnen oder bearbeiten + im selben Ring, Band oder Satz fortsetzen; lokaler Namensrest ch/yk/y.
chky	1	f67r2	A1_RIGHT_SECTOR_SLOT_11	F67_RIGHT_WHEEL_NS	NONE	NONE	0/4	LOCAL_ASTRO_NOMENCLATOR	NONE	NONE	Sektorplatz A1_RIGHT_SECTOR_SLOT_11: Grad oder Diagrammzustand justieren; lokaler Namensrest y.
cho	2	f67r2|f69v	A1_LEFT_OUTER_STAR_STATION_07|A3_RIGHT_WHEEL_RING_TEXT	F67_LEFT_WHEEL_NS|F69_RIGHT_WHEEL_NS	HO	HO=cho@0-3	3/3	EXACT_PROSE_SURFACE	MC034	NONE	Sternplatz A1_LEFT_OUTER_STAR_STATION_07: Eingangsobjekt oder Eingangsbedingung.
choaiin	1	f69v	A3_LEFT_WHEEL_RING_TEXT	F69_LEFT_WHEEL_NS	HO+AIIN	HO=cho@0-3|AIIN=aiin@3-7	7/7	NEW_MULTI_ATOM_CANDIDATE	NONE	NONE	Radstelle A3_LEFT_WHEEL_RING_TEXT: Himmelsobjekt oder Eingangsbedingung + Sollwert oder Grad eines Diagrammplatzes; lokaler Namensrest c.
chocfhy	2	f67r2|f68r1	A1_LEFT_LOCAL_FIELD_20|A2_STAR_STATION_04	F67_LEFT_WHEEL_NS|F68_LOCAL_STAR_SLOT_NS	HO	HO=cho@0-3	3/7	SINGLE_CUE_LOCAL_VALUE	NONE	NONE	Sternplatz A1_LEFT_LOCAL_FIELD_20: Himmelsobjekt oder Eingangsbedingung; lokaler Namensrest c/cfhy.
choctheeey	1	f68r1	A2_LEFT_PANEL_HEADER	F68_LEFT_PANEL_HEADER_NS	HO+CTH	HO=cho@0-3|CTH=cth@3-6	6/10	NEW_MULTI_ATOM_CANDIDATE	NONE	NONE	Sternplatz A2_LEFT_PANEL_HEADER: Himmelsobjekt oder Eingangsbedingung + lange oder volle Diagrammstufe; lokaler Namensrest c/cth/y.
chod	1	f68r1	A2_MIDDLE_PANEL_HEADER	F68_MIDDLE_PANEL_HEADER_NS	HO	HO=cho@0-3	3/4	SINGLE_CUE_LOCAL_VALUE	NONE	NONE	Sternplatz A2_MIDDLE_PANEL_HEADER: Himmelsobjekt oder Eingangsbedingung; lokaler Namensrest c/d.
choeea	1	f67r2	A1_LEFT_LOCAL_FIELD_50	F67_LEFT_WHEEL_NS	HO	HO=cho@0-3	3/6	SINGLE_CUE_LOCAL_VALUE	NONE	NONE	Sternplatz A1_LEFT_LOCAL_FIELD_50: Himmelsobjekt oder Eingangsbedingung + lange oder volle Diagrammstufe; lokaler Namensrest c/a.
choer	1	f67r2	A1_LEFT_LOCAL_FIELD_49	F67_LEFT_WHEEL_NS	HO	HO=cho@0-3	3/5	SINGLE_CUE_LOCAL_VALUE	NONE	NONE	Sternplatz A1_LEFT_LOCAL_FIELD_49: Himmelsobjekt oder Eingangsbedingung; lokaler Namensrest c/er.
