locus	boundary_class	working_render_de	evidence_type	composition	unresolved_component	reader_scope	render_span_tokens	export_policy	rationale
f103v.12	BOUND_OL_MATERIAL_COMPONENT	Holzstoff	PUBLISHED_EXACT_WHOLE	LOL_WOOD_MATERIAL	NONE	BILATERAL_BOUND	l|ol	LOCAL_COMPOUND_ONLY	Beide Alternativleser binden links zu lol; die publizierte Ganzwortkarte lol trägt Holzstoff.
f103v.16	BOUND_OL_MATERIAL_COMPONENT	erhitzte Drogenbasis	SHARED_COMPONENT_CORE	OL_BASE+K_HOT+E_MIDDLE	DY completion only in IT2a olkedy; RF1b has olke	BILATERAL_BOUND_DIFFERENT_COMPLETION	ol|kedy	LOCAL_COMPOUND_ONLY	IT2a bildet olkedy und trägt Abschluss; RF1b bildet olke ohne publizierte Abschlusskarte. Nur der gemeinsame erhitzte Drogenbasiskern wird gerendert.
f107r.26	BOUND_OL_MATERIAL_COMPONENT	trockener Drogenteil im Grundansatz	INFERRED_COMPOSITION	OL_BASE+CHEOR_DRY_DRUG_PART	NONE	BILATERAL_BOUND	ol|cheor	LOCAL_COMPOUND_ONLY	Beide Alternativleser binden rechts zu olcheor; die Bedeutung ist eine OL+CHEOR-Komposition, keine publizierte Ganzwortkarte.
f108v.53	BOUND_OL_MATERIAL_COMPONENT	fertig getrocknete Holzdroge im Ansatz	PUBLISHED_EXACT_WHOLE	OLCHEDY_DRY_WOOD_PREPARATION	RF1b loses initial O and reads lchedy	IT2A_EXACT_BOUND_RF1B_FUZZY_BOUND	ol|chedy	LOCAL_COMPOUND_ONLY	IT2a liest die publizierte olchedy-Karte; RF1b bindet denselben Quellspan fuzzy zu lchedy. Der gemeinsame trockene Holzdrogenkern bleibt lokal.
f10v.3	BOUND_OL_MATERIAL_COMPONENT	kalter Grundansatz auf Anfangsstufe	INFERRED_COMPOSITION	OL_BASE+TY_COLD_INITIAL	NONE	BILATERAL_BOUND	ol|ty	LOCAL_COMPOUND_ONLY	Beide Alternativleser binden ol mit folgendem ty; publiziert ist ty als kalt am Anfang des Grades, nicht als zusätzliche Handlung.
f111r.33	BOUND_OL_MATERIAL_COMPONENT	vollständig erhitzter Holzdrogenansatz	PUBLISHED_EXACT_WHOLE	OLKEEY_FULLY_HEATED_WOOD_PREPARATION	NONE	BILATERAL_BOUND	ol|keey	LOCAL_COMPOUND_ONLY	Beide Alternativleser binden rechts zu olkeey; die publizierte Ganzwortkarte ist vollständig erhitzter Holzdrogenansatz.
f112r.32	LOCAL_MATERIAL_READER_CONFLICT	feuchter Rohstoff I; Abschluss-/Schlussmarker leserabhängig	READER_COMPOSITION_SHARED_AL_SHE	AL_RAW_I+SHE_WET+(DY_FINISHED|Y_START_OR_CLOSE)	IT2a DY-Abschluss gegenüber separatem RF1b-Y-Marker	IT2A_FUZZY_BOUND_RF1B_RESEG_2_2	ol|shedy	NO_OL_EXPORT	IT2a bindet den Quellspan fuzzy zu alshedy; RF1b resegmentiert ihn zu alshe und separatem y. Gemeinsam bleiben Rohstoff I und Feuchtzustand, während Abschluss beziehungsweise Schlussmarker leserabhängig bleibt; kein ol-Wert wird exportiert.
f113v.20	BOUND_OL_MATERIAL_COMPONENT	drei Teile Drogenstoff	PUBLISHED_EXACT_WHOLE	OLAIIN_DRUG_MATERIAL_QUANTITY_III	NONE	BILATERAL_BOUND	ol|aiin	LOCAL_COMPOUND_ONLY	Beide Alternativleser binden rechts zu olaiin; die publizierte Karte bezeichnet Drogenstoff in Menge III.
f113v.30	LOCAL_MATERIAL_READER_CONFLICT	Rohstoffklasse I	PUBLISHED_READER_RIVAL	AL_RAW_I	NONE	BILATERAL_GLYPH_RIVAL	ol	NO_OL_EXPORT	Beide Alternativleser lesen al statt freiem ol; die publizierte al-Karte liefert lokal Rohstoffklasse I.
f115r.1	BOUND_OL_MATERIAL_COMPONENT	bis zur Mittelstufe getrockneter Pulverstoff	PUBLISHED_READER_BOUND_CARD	CHEOP_MIDDLE_DRY+OL_POWDER_MATERIAL_HEAD	IT2a additionally joins following TEEEDY	BILATERAL_LEFT_BOUND	cheop|ol	LOCAL_COMPOUND_ONLY	Beide Alternativleser binden cheop und ol; IT2a bindet zusätzlich teeedy. Der gemeinsame cheopol-Pulverstoff wird einmal gerendert, teeedy bleibt als eigener ZL3b-Zustand sichtbar.
