candidate_ordinal	physical_page	source_selector_values	selected	draw_ordinal
1	f100r	f100r	NO	NONE
2	f100v	f100v	NO	NONE
3	f101r	f101r	NO	NONE
4	f101v	f101v	NO	NONE
5	f102r	f102r1|f102r2	NO	NONE
6	f102v	f102v1|f102v2	NO	NONE
7	f103r	f103r	NO	NONE
8	f103v	f103v	NO	NONE
9	f104r	f104r	NO	NONE
10	f104v	f104v	NO	NONE
11	f105r	f105r	NO	NONE
12	f105v	f105v	NO	NONE
13	f106r	f106r	NO	NONE
14	f106v	f106v	NO	NONE
15	f107r	f107r	NO	NONE
16	f107v	f107v	NO	NONE
17	f108r	f108r	NO	NONE
18	f108v	f108v	NO	NONE
19	f10v	f10v	NO	NONE
20	f111r	f111r	NO	NONE
21	f111v	f111v	NO	NONE
22	f112r	f112r	NO	NONE
23	f112v	f112v	NO	NONE
24	f113r	f113r	NO	NONE
25	f113v	f113v	NO	NONE
26	f114r	f114r	NO	NONE
27	f114v	f114v	NO	NONE
28	f115r	f115r	NO	NONE
29	f115v	f115v	NO	NONE
30	f116r	f116r	NO	NONE
31	f116v	f116v	NO	NONE
32	f11v	f11v	NO	NONE
33	f13v	f13v	NO	NONE
34	f14r	f14r	NO	NONE
35	f14v	f14v	NO	NONE
36	f15r	f15r	NO	NONE
37	f15v	f15v	NO	NONE
38	f16r	f16r	NO	NONE
39	f16v	f16v	NO	NONE
40	f17v	f17v	NO	NONE
41	f18v	f18v	NO	NONE
42	f19r	f19r	NO	NONE
43	f19v	f19v	NO	NONE
44	f1v	f1v	NO	NONE
45	f20r	f20r	NO	NONE
46	f20v	f20v	YES	3
47	f21r	f21r	NO	NONE
48	f21v	f21v	NO	NONE
49	f22r	f22r	NO	NONE
50	f22v	f22v	NO	NONE
51	f23r	f23r	NO	NONE
52	f23v	f23v	NO	NONE
53	f24r	f24r	NO	NONE
54	f25r	f25r	NO	NONE
55	f25v	f25v	NO	NONE
56	f26r	f26r	NO	NONE
57	f26v	f26v	NO	NONE
58	f27r	f27r	NO	NONE
59	f27v	f27v	NO	NONE
60	f28r	f28r	NO	NONE
61	f28v	f28v	NO	NONE
62	f29r	f29r	NO	NONE
63	f29v	f29v	NO	NONE
64	f2r	f2r	NO	NONE
65	f2v	f2v	NO	NONE
66	f30r	f30r	NO	NONE
67	f30v	f30v	NO	NONE
68	f31r	f31r	YES	1
69	f31v	f31v	NO	NONE
70	f32r	f32r	NO	NONE
71	f32v	f32v	NO	NONE
72	f33r	f33r	NO	NONE
73	f33v	f33v	NO	NONE
74	f34r	f34r	NO	NONE
75	f34v	f34v	NO	NONE
76	f35r	f35r	NO	NONE
77	f35v	f35v	NO	NONE
78	f36r	f36r	NO	NONE
79	f36v	f36v	NO	NONE
80	f37r	f37r	NO	NONE
81	f37v	f37v	NO	NONE
82	f38r	f38r	NO	NONE
83	f38v	f38v	NO	NONE
84	f39r	f39r	NO	NONE
85	f39v	f39v	NO	NONE
86	f3r	f3r	NO	NONE
87	f3v	f3v	NO	NONE
88	f40r	f40r	NO	NONE
89	f40v	f40v	NO	NONE
90	f41r	f41r	NO	NONE
91	f41v	f41v	NO	NONE
92	f42r	f42r	NO	NONE
93	f42v	f42v	NO	NONE
94	f43r	f43r	NO	NONE
95	f43v	f43v	NO	NONE
96	f44r	f44r	NO	NONE
97	f44v	f44v	NO	NONE
98	f45r	f45r	NO	NONE
99	f45v	f45v	NO	NONE
100	f46r	f46r	NO	NONE
101	f46v	f46v	NO	NONE
102	f47r	f47r	NO	NONE
103	f47v	f47v	NO	NONE
104	f48r	f48r	NO	NONE
105	f48v	f48v	NO	NONE
106	f49r	f49r	NO	NONE
107	f49v	f49v	NO	NONE
108	f4r	f4r	YES	4
109	f4v	f4v	NO	NONE
110	f50r	f50r	NO	NONE
111	f50v	f50v	NO	NONE
112	f51r	f51r	NO	NONE
113	f51v	f51v	NO	NONE
114	f52r	f52r	NO	NONE
115	f52v	f52v	NO	NONE
116	f53r	f53r	NO	NONE
117	f53v	f53v	NO	NONE
118	f54r	f54r	NO	NONE
119	f54v	f54v	NO	NONE
120	f55r	f55r	NO	NONE
121	f56v	f56v	NO	NONE
122	f57r	f57r	NO	NONE
123	f57v	f57v	NO	NONE
124	f58r	f58r	NO	NONE
125	f58v	f58v	NO	NONE
126	f5r	f5r	NO	NONE
127	f5v	f5v	NO	NONE
128	f65r	f65r	NO	NONE
129	f65v	f65v	NO	NONE
130	f66r	f66r	YES	2
131	f66v	f66v	NO	NONE
132	f67v	f67v1|f67v2	NO	NONE
133	f68v	f68v1|f68v2|f68v3	NO	NONE
134	f69r	f69r	NO	NONE
135	f6r	f6r	NO	NONE
136	f6v	f6v	NO	NONE
137	f70r	f70r1|f70r2	NO	NONE
138	f71r	f71r	NO	NONE
139	f72v	f72v1|f72v2|f72v3	NO	NONE
140	f73r	f73r	NO	NONE
141	f73v	f73v	NO	NONE
142	f75v	f75v	NO	NONE
143	f76v	f76v	NO	NONE
144	f77v	f77v	NO	NONE
145	f78r	f78r	NO	NONE
146	f78v	f78v	NO	NONE
147	f79r	f79r	NO	NONE
148	f79v	f79v	NO	NONE
149	f7r	f7r	NO	NONE
150	f7v	f7v	NO	NONE
151	f80r	f80r	NO	NONE
152	f80v	f80v	NO	NONE
153	f82v	f82v	NO	NONE
154	f83v	f83v	NO	NONE
155	f85r	f85r1|f85r2	NO	NONE
156	f86v	f86v3|f86v4|f86v5|f86v6	NO	NONE
157	f87r	f87r	NO	NONE
158	f87v	f87v	NO	NONE
159	f89v	f89v1|f89v2	NO	NONE
160	f8r	f8r	NO	NONE
161	f8v	f8v	NO	NONE
162	f90r	f90r1|f90r2	NO	NONE
163	f90v	f90v1|f90v2	NO	NONE
164	f93r	f93r	NO	NONE
165	f93v	f93v	NO	NONE
166	f94r	f94r	NO	NONE
167	f94v	f94v	NO	NONE
168	f95r	f95r1|f95r2	NO	NONE
169	f96r	f96r	NO	NONE
170	f96v	f96v	NO	NONE
171	f99r	f99r	NO	NONE
172	f99v	f99v	NO	NONE
173	f9r	f9r	NO	NONE
174	f9v	f9v	NO	NONE
