master_card_id	master_form	semantic_atoms	short_default_de	records	event_count	bridge_status	event_serials	teaching_instruction
MC001	chdal	CHD+AL	umsetzen+Ziel	B5	1	BIO_CARD_WITH_SHARED_BRIDGE_ATOM	368	teach the shared atom once, but practice this exact card only on its attested section tablet
MC004	ldy	L+CLOSE	abführen+Schluss	B2|B3	2	BIO_CARD_WITH_SHARED_BRIDGE_ATOM	184|308	teach the shared atom once, but practice this exact card only on its attested section tablet
MC005	okchedy	OK+CHD+CLOSE	ansetzen+umsetzen+Schluss	B1|B3	2	BIO_CARD_WITH_SHARED_BRIDGE_ATOM	151|264	teach the shared atom once, but practice this exact card only on its attested section tablet
MC008	lchy	L+Y	abführen+Posten	B2	1	BIO_CARD_WITH_SHARED_BRIDGE_ATOM	202	teach the shared atom once, but practice this exact card only on its attested section tablet
MC011	lchedar	L+CHD+AR	abführen+umsetzen+Quelle	B2	1	BIO_CARD_WITH_SHARED_BRIDGE_ATOM	215	teach the shared atom once, but practice this exact card only on its attested section tablet
MC014	chair	AIR	Lauf	H1	1	HERBAL_CARD_WITH_SHARED_BRIDGE_ATOM	6	teach the shared atom once, but practice this exact card only on its attested section tablet
MC017	okain	OK+AIN	ansetzen+Anteil	B1|B2|B3|B4	7	BIO_CARD_WITH_SHARED_BRIDGE_ATOM	127|169|198|200|288|341|352	teach the shared atom once, but practice this exact card only on its attested section tablet
MC022	chckhal	CKH+AL	Durchlass+Ziel	B4	1	BIO_CARD_WITH_SHARED_BRIDGE_ATOM	355	teach the shared atom once, but practice this exact card only on its attested section tablet
MC023	kair	AIR	Lauf	B1	1	BIO_CARD_WITH_SHARED_BRIDGE_ATOM	103	teach the shared atom once, but practice this exact card only on its attested section tablet
MC025	dchedy	CHD+CLOSE	umsetzen+Schluss	B1|B2|B3	4	BIO_CARD_WITH_SHARED_BRIDGE_ATOM	120|167|239|283	teach the shared atom once, but practice this exact card only on its attested section tablet
MC028	olchedy	OL+CHD+CLOSE	weiter+umsetzen+Schluss	B1|B2|B3	3	BIO_CARD_WITH_SHARED_BRIDGE_ATOM	126|168|242	teach the shared atom once, but practice this exact card only on its attested section tablet
MC029	lar	L+AR	abführen+Quelle	B2	1	BIO_CARD_WITH_SHARED_BRIDGE_ATOM	211	teach the shared atom once, but practice this exact card only on its attested section tablet
MC030	lo	L	abführen	B3	1	BIO_CARD_WITH_SHARED_BRIDGE_ATOM	263	teach the shared atom once, but practice this exact card only on its attested section tablet
MC031	dalchdy	AL+CHD+CLOSE	Ziel+umsetzen+Schluss	B3	1	BIO_CARD_WITH_SHARED_BRIDGE_ATOM	280	teach the shared atom once, but practice this exact card only on its attested section tablet
MC032	cheeky	CHK+EE+Y	wärmen+länger+Posten	B4|H4	2	PORTABLE_EXACT_BRIDGE_CARD	66|333	teach the exact card in both prose sections
MC033	oiiin	IIN	Stufe	B1|B3	2	BIO_CARD_WITH_SHARED_BRIDGE_ATOM	161|309	teach the shared atom once, but practice this exact card only on its attested section tablet
MC035	chckhy	CKH+Y	Durchlass+Posten	B1|B2	4	BIO_CARD_WITH_SHARED_BRIDGE_ATOM	119|128|139|179	teach the shared atom once, but practice this exact card only on its attested section tablet
MC042	cheedar	CHD+AR	umsetzen+Quelle	B3	1	BIO_CARD_WITH_SHARED_BRIDGE_ATOM	285	teach the shared atom once, but practice this exact card only on its attested section tablet
MC043	shecthedchy	CTH+CHD+Y	bereit+umsetzen+Posten	B3	1	BIO_CARD_WITH_SHARED_BRIDGE_ATOM	250	teach the shared atom once, but practice this exact card only on its attested section tablet
MC047	ykain	Y+AIN	Posten+Anteil	H4	1	HERBAL_CARD_WITH_SHARED_BRIDGE_ATOM	58	teach the shared atom once, but practice this exact card only on its attested section tablet
MC048	kaiiin	IIN	Stufe	H2	1	HERBAL_CARD_WITH_SHARED_BRIDGE_ATOM	36	teach the shared atom once, but practice this exact card only on its attested section tablet
MC051	lchedal	L+CHD+AL	abführen+umsetzen+Ziel	B1	1	BIO_CARD_WITH_SHARED_BRIDGE_ATOM	147	teach the shared atom once, but practice this exact card only on its attested section tablet
MC057	otchedy	OT+CHD+CLOSE	danach+umsetzen+Schluss	B3	2	BIO_CARD_WITH_SHARED_BRIDGE_ATOM	281|301	teach the shared atom once, but practice this exact card only on its attested section tablet
MC058	sheckhal	CKH+E+AL	Durchlass+kurz+Ziel	B1	1	BIO_CARD_WITH_SHARED_BRIDGE_ATOM	115	teach the shared atom once, but practice this exact card only on its attested section tablet
MC061	sshkchdy	SH+KCH+CHD+CLOSE	halten+bearbeiten+umsetzen+Schluss	B1	1	BIO_CARD_WITH_SHARED_BRIDGE_ATOM	122	teach the shared atom once, but practice this exact card only on its attested section tablet
MC064	chedchy	CHD+Y	umsetzen+Posten	B3	1	BIO_CARD_WITH_SHARED_BRIDGE_ATOM	240	teach the shared atom once, but practice this exact card only on its attested section tablet
MC065	ls	L	abführen	B2	1	BIO_CARD_WITH_SHARED_BRIDGE_ATOM	196	teach the shared atom once, but practice this exact card only on its attested section tablet
MC066	lcheey	L+CHEEY	abführen+Ergebnis	B2	1	BIO_CARD_WITH_SHARED_BRIDGE_ATOM	206	teach the shared atom once, but practice this exact card only on its attested section tablet
MC067	otchdy	OT+CHD+CLOSE	danach+umsetzen+Schluss	B5	1	BIO_CARD_WITH_SHARED_BRIDGE_ATOM	362	teach the shared atom once, but practice this exact card only on its attested section tablet
MC072	orain	OR+AIN	Ansatz+Anteil	H4	1	HERBAL_CARD_WITH_SHARED_BRIDGE_ATOM	73	teach the shared atom once, but practice this exact card only on its attested section tablet
MC074	chdy	CHD+Y	umsetzen+Posten	B1|B3|B4|B5|H4	11	PORTABLE_EXACT_BRIDGE_CARD	62|123|145|244|252|287|304|319|328|342|372	teach the exact card in both prose sections
MC081	okair	OK+AIR	ansetzen+Lauf	B3	1	BIO_CARD_WITH_SHARED_BRIDGE_ATOM	260	teach the shared atom once, but practice this exact card only on its attested section tablet
MC086	chety	PARTITION+TY	teilen+Teil	B3|H1	2	PORTABLE_EXACT_BRIDGE_CARD	4|311	teach the exact card in both prose sections
MC088	qokchdy	OK+CHD+CLOSE	ansetzen+umsetzen+Schluss	B1|B3|B5	3	BIO_CARD_WITH_SHARED_BRIDGE_ATOM	131|284|363	teach the shared atom once, but practice this exact card only on its attested section tablet
MC091	dairydy	AIR+Y+CLOSE	Lauf+Posten+Schluss	B4	1	BIO_CARD_WITH_SHARED_BRIDGE_ATOM	351	teach the shared atom once, but practice this exact card only on its attested section tablet
