global_running_event_id	physical_page	register	locus	surface	component_recipe	literal_core_reading_de	family_rung
G407-E0732	f55v	HERBAL	f55v.6	cheky	CH+K+E+Y	NEHMEN · GEBEN · GRAD I · AKTIVER POSTEN	I
G407-E0780	f55v	HERBAL	f55v.11	cheeky	CH+K+EE+Y	NEHMEN · GEBEN · GRAD II · AKTIVER POSTEN	II
G407-E0790	f55v	HERBAL	f55v.12	cheky	CH+K+E+Y	NEHMEN · GEBEN · GRAD I · AKTIVER POSTEN	I
G407-E1200	f72r	CELESTIAL	f72r1.12	cheky	CH+K+E+Y	NEHMEN · GEBEN · GRAD I · AKTIVER POSTEN	I
G407-E1690	f75r	BIOLOGICAL	f75r.30	cheeky	CH+K+EE+Y	NEHMEN · GEBEN · GRAD II · AKTIVER POSTEN	II
G407-E1693	f75r	BIOLOGICAL	f75r.30	cheky	CH+K+E+Y	NEHMEN · GEBEN · GRAD I · AKTIVER POSTEN	I
G407-E2571	f77r	BIOLOGICAL	f77r.30	cheeky	CH+K+EE+Y	NEHMEN · GEBEN · GRAD II · AKTIVER POSTEN	II
G407-E2958	f81v	BIOLOGICAL	f81v.4	cheeky	CH+K+EE+Y	NEHMEN · GEBEN · GRAD II · AKTIVER POSTEN	II
G407-E3088	f81v	BIOLOGICAL	f81v.18	cheky	CH+K+E+Y	NEHMEN · GEBEN · GRAD I · AKTIVER POSTEN	I
G407-E3174	f81v	BIOLOGICAL	f81v.27	cheky	CH+K+E+Y	NEHMEN · GEBEN · GRAD I · AKTIVER POSTEN	I
G407-E3692	f83r	BIOLOGICAL	f83r.28	cheeky	CH+K+EE+Y	NEHMEN · GEBEN · GRAD II · AKTIVER POSTEN	II
G407-E3726	f83r	BIOLOGICAL	f83r.35	cheky	CH+K+E+Y	NEHMEN · GEBEN · GRAD I · AKTIVER POSTEN	I
G407-E4255	f89r	PHARMA	f89r2.13	cheky	CH+K+E+Y	NEHMEN · GEBEN · GRAD I · AKTIVER POSTEN	I
G407-E4322	f89r	PHARMA	f89r2.23	cheky	CH+K+E+Y	NEHMEN · GEBEN · GRAD I · AKTIVER POSTEN	I
