surface	recipe	old_event_count	old_pages	old_registers	contains_EEE_atom	contains_CH_atom	contains_K_atom	recipe_skeleton	relation
cheeety	EEE+T+Y	1	f83r	BIOLOGICAL	YES	NO	NO	GRADE+T+Y	GLOBAL_cheee_RENDERER_CONTROL
choctheeey	CH+O+CH+T+EEE+Y	1	f68r1	CELESTIAL	YES	YES	NO	CH+O+CH+T+GRADE+Y	OTHER_LONG_e_GRADE_CONTROL
cpheeedol	CH+P+EEE+D_ADDR+OL	1	f89r	PHARMA	YES	YES	NO	CH+P+GRADE+D_ADDR+OL	OTHER_LONG_e_GRADE_CONTROL
deeedy	D_ADDR+EEE+D_ADDR+Y	1	f82r	BIOLOGICAL	YES	NO	NO	D_ADDR+GRADE+D_ADDR+Y	OTHER_LONG_e_GRADE_CONTROL
doleeey	D_ADDR+OL+EEE+Y	1	f88r	PHARMA	YES	NO	NO	D_ADDR+OL+GRADE+Y	OTHER_LONG_e_GRADE_CONTROL
eeedy	EEE+DY	1	f77r	BIOLOGICAL	YES	NO	NO	GRADE+DY	OTHER_LONG_e_GRADE_CONTROL
eeer	EEE+DY	1	f72r	CELESTIAL	YES	NO	NO	GRADE+DY	OTHER_LONG_e_GRADE_CONTROL
eteeey	E+T+EEE+Y	1	f72r	CELESTIAL	YES	NO	NO	GRADE+T+GRADE+Y	OTHER_LONG_e_GRADE_CONTROL
keeedy	K+EEE+D_ADDR+Y	2	f82r	BIOLOGICAL	YES	NO	YES	K+GRADE+D_ADDR+Y	OTHER_LONG_e_GRADE_CONTROL
oeeed	O+EEE+D_ADDR	1	f55v	HERBAL	YES	NO	NO	O+GRADE+D_ADDR	OTHER_LONG_e_GRADE_CONTROL
oeeedy	O+EEE+DY	1	f81r	BIOLOGICAL	YES	NO	NO	O+GRADE+DY	OTHER_LONG_e_GRADE_CONTROL
oeees	O+EEE+S	1	f13r	HERBAL	YES	NO	NO	O+GRADE+S	OTHER_LONG_e_GRADE_CONTROL
oeeey	O+EEE+Y	1	f24v	HERBAL	YES	NO	NO	O+GRADE+Y	OTHER_LONG_e_GRADE_CONTROL
okeeey	OK+EEE+Y	2	f72r|f89r	CELESTIAL|PHARMA	YES	NO	NO	OK+GRADE+Y	OTHER_LONG_e_GRADE_CONTROL
oleeed	OL+EEE+D_ADDR	1	f76r	BIOLOGICAL	YES	NO	NO	OL+GRADE+D_ADDR	OTHER_LONG_e_GRADE_CONTROL
oteees	OT+EEE+S_ADDR	1	f72r	CELESTIAL	YES	NO	NO	OT+GRADE+S_ADDR	OTHER_LONG_e_GRADE_CONTROL
qeeedy	CARRIER_Q+EEE+D_ADDR+Y	1	f83r	BIOLOGICAL	YES	NO	NO	CARRIER_Q+GRADE+D_ADDR+Y	OTHER_LONG_e_GRADE_CONTROL
qeeey	CARRIER_Q+EEE+Y	1	f76r	BIOLOGICAL	YES	NO	NO	CARRIER_Q+GRADE+Y	OTHER_LONG_e_GRADE_CONTROL
qoeeeo	O+EE+Y	1	f72r	CELESTIAL	NO	NO	NO	O+GRADE+Y	OTHER_LONG_e_GRADE_CONTROL
qokeeedy	OK+EEE+DY	2	f68r1|f82r	BIOLOGICAL|CELESTIAL	YES	NO	NO	OK+GRADE+DY	OTHER_LONG_e_GRADE_CONTROL
qokeeey	OK+EEE+Y	3	f55v|f82r	BIOLOGICAL|HERBAL	YES	NO	NO	OK+GRADE+Y	OTHER_LONG_e_GRADE_CONTROL
qoteeedy	OT+EEE+DY	1	f77r	BIOLOGICAL	YES	NO	NO	OT+GRADE+DY	OTHER_LONG_e_GRADE_CONTROL
teeey	T+EEE+Y	1	f71v	CELESTIAL	YES	NO	NO	T+GRADE+Y	OTHER_LONG_e_GRADE_CONTROL
ykeeey	Y+K+EEE+Y	1	f88r	PHARMA	YES	NO	YES	Y+K+GRADE+Y	OTHER_LONG_e_GRADE_CONTROL
dalcheeeky	AL+CH+K+EEE+Y	0	NONE	NONE	YES	YES	YES	AL+CH+K+GRADE+Y	TARGET_LOCAL_cheeeky_K_GRADE_FAMILY
