surface	candidate_recipe	gdt529_rank	gdt529_score	candidate_space_status	recipe_skeleton	matches_CH_K_GRADE_Y_order	matches_exact_cheky_grade_frame	decision
dalcheeeky	AL+EEE+K+Y	1	7.380002282	GENERATED	AL+GRADE+K+Y	NO	NO	REJECT_DROPS_CH_FROM_RECURRENT_cheky_FAMILY
dalcheeeky	AL+CH+EEE+K+Y	2	9.629385859	GENERATED	AL+CH+GRADE+K+Y	NO	NO	REPLACE_GRADE_BEFORE_K_WITH_LOCAL_K_GRADE_ORDER
dalcheeeky	AL+CH+E+EE+K+Y	3	10.084818162	GENERATED	AL+CH+GRADE+GRADE+K+Y	NO	NO	RETAIN_AS_FINITE_RIVAL
dalcheeeky	AL+LOCAL_C+EEE+K+Y	4	10.138279641	GENERATED	AL+LOCAL_C+GRADE+K+Y	NO	NO	RETAIN_AS_FINITE_RIVAL
dalcheeeky	AL+CH+EE+E+K+Y	5	10.419691378	GENERATED	AL+CH+GRADE+GRADE+K+Y	NO	NO	RETAIN_AS_FINITE_RIVAL
dalcheeeky	D_ADDR+AL+EEE+K+Y	6	10.567159932	GENERATED	D_ADDR+AL+GRADE+K+Y	NO	NO	RETAIN_AS_FINITE_RIVAL
dalcheeeky	D_ADDR+AL+CH+EEE+K+Y	7	10.790128412	GENERATED	D_ADDR+AL+CH+GRADE+K+Y	NO	NO	RETAIN_AS_FINITE_RIVAL
dalcheeeky	AL+CHD+EE+K+Y	8	11.470249367	GENERATED	AL+CHD+GRADE+K+Y	NO	NO	RETAIN_AS_FINITE_RIVAL
dalcheeeky	D_ADDR+AL+LOCAL_C+EEE+K+Y	9	11.651430082	GENERATED	D_ADDR+AL+LOCAL_C+GRADE+K+Y	NO	NO	RETAIN_AS_FINITE_RIVAL
dalcheeeky	AL+CH+EE+K+Y	10	11.765376881	GENERATED	AL+CH+GRADE+K+Y	NO	NO	RETAIN_AS_FINITE_RIVAL
dalcheeeky	D_ADDR+AL+CH+E+EE+K+Y	11	11.917816638	GENERATED	D_ADDR+AL+CH+GRADE+GRADE+K+Y	NO	NO	RETAIN_AS_FINITE_RIVAL
dalcheeeky	AL+CH+K+EE+Y	12	12.732227736	GENERATED	AL+CH+K+GRADE+Y	NO	YES	RETAIN_AS_FINITE_RIVAL
dalcheeeky	AL+CH+K+EEE+Y	UNGENERATED	NOT_SCORED	OUTSIDE_GDT529_FINITE_SET	AL+CH+K+GRADE+Y	YES	YES	SELECT_THIRD_RUNG_FAMILY_COMPLETION
