event_id	physical_page	locus	line_number	statement_id	card_ordinal_in_statement	prose_block_id	owner_id	surface	gdt516_context_recipe	gdt516_literal_reading_de	relation
G515-E0414	f66r	f66r.63	63	G515-S047	1	F66R_PROSE_03	F66R_TEXT_BLOCK_03	pchof	P+CH+O+LOCAL_CHAR_F	EINSETZEN · NEHMEN · [O:STEUERUNG=AUSFÜHRUNG] · [LOCAL_CHAR_F:STEUERUNG=HIER]	SAME_STATEMENT
G515-E0415	f66r	f66r.63	63	G515-S047	2	F66R_PROSE_03	F66R_TEXT_BLOCK_03	sholfordaiin	SH+OL+LOCAL_CHAR_F+OR+D_ADDR+AIIN	HALTEN · FORTSETZEN · [LOCAL_CHAR_F:STEUERUNG=HIER] · EINHEIT · [D_ADDR:STEUERUNG=HIER] · WERT	SAME_STATEMENT
G515-E0416	f66r	f66r.63	63	G515-S047	3	F66R_PROSE_03	F66R_TEXT_BLOCK_03	qotar	OT+AR	DANACH · AUSGANG	SAME_STATEMENT
G515-E0417	f66r	f66r.63	63	G515-S047	4	F66R_PROSE_03	F66R_TEXT_BLOCK_03	otalor	OT+AL+OR	DANACH · ZIELORT · EINHEIT	SAME_STATEMENT
G515-E0418	f66r	f66r.63	63	G515-S047	5	F66R_PROSE_03	F66R_TEXT_BLOCK_03	fchedyr	LOCAL_CHAR_F+CHD+Y+R	[LOCAL_CHAR_F:STEUERUNG=HIER] · BEARBEITEN · POSTEN · MARKIEREN	SAME_STATEMENT
G515-E0419	f66r	f66r.63	63	G515-S047	6	F66R_PROSE_03	F66R_TEXT_BLOCK_03	chedy	CHD+Y	BEARBEITEN · POSTEN	SAME_STATEMENT
G515-E0420	f66r	f66r.63	63	G515-S047	7	F66R_PROSE_03	F66R_TEXT_BLOCK_03	dar	D_ADDR+AR	[D_ADDR:STEUERUNG=HIER] · AUSGANG	SAME_STATEMENT
G515-E0421	f66r	f66r.63	63	G515-S047	8	F66R_PROSE_03	F66R_TEXT_BLOCK_03	odair	O+D_ADDR+AIR	[O:STEUERUNG=AUSFÜHRUNG] · [D_ADDR:STEUERUNG=HIER] · BAHN	SAME_STATEMENT
G515-E0422	f66r	f66r.63	63	G515-S047	9	F66R_PROSE_03	F66R_TEXT_BLOCK_03	ofaram	O+LOCAL_CHAR_F+AR+AM_ADDR	[O:STEUERUNG=AUSFÜHRUNG] · [LOCAL_CHAR_F:STEUERUNG=HIER] · AUSGANG · [AM_ADDR:STEUERUNG=HIER]	SAME_STATEMENT
G515-E0423	f66r	f66r.64	64	G515-S047	10	F66R_PROSE_03	F66R_TEXT_BLOCK_03	dalcheeeky	AL+CH+EEE+K+Y	ZIELORT · NEHMEN · [EEE:STEUERUNG=GRAD III] · GEBEN · POSTEN	TARGET
G515-E0424	f66r	f66r.64	64	G515-S047	11	F66R_PROSE_03	F66R_TEXT_BLOCK_03	sheol	SH+E+OL	HALTEN · [E:STEUERUNG=GRAD I] · FORTSETZEN	SAME_STATEMENT
G515-E0425	f66r	f66r.64	64	G515-S047	12	F66R_PROSE_03	F66R_TEXT_BLOCK_03	dairody	D_ADDR+AIR+O+DY	[D_ADDR:STEUERUNG=HIER] · BAHN · [O:STEUERUNG=AUSFÜHRUNG] · [DY:STEUERUNG=SCHLUSS]	SAME_STATEMENT
G515-E0426	f66r	f66r.64	64	G515-S048	1	F66R_PROSE_03	F66R_TEXT_BLOCK_03	chekchy	CH+K+CH+Y	NEHMEN · GEBEN · NEHMEN · POSTEN	SAME_OWNER_BLOCK
G515-E0427	f66r	f66r.64	64	G515-S048	2	F66R_PROSE_03	F66R_TEXT_BLOCK_03	shed	SH+E+D_ADDR	HALTEN · [E:STEUERUNG=GRAD I] · [D_ADDR:STEUERUNG=HIER]	SAME_OWNER_BLOCK
G515-E0428	f66r	f66r.64	64	G515-S048	3	F66R_PROSE_03	F66R_TEXT_BLOCK_03	ykesho	Y+K+E+SH+O	POSTEN · GEBEN · [E:STEUERUNG=GRAD I] · HALTEN · [O:STEUERUNG=AUSFÜHRUNG]	SAME_OWNER_BLOCK
G515-E0429	f66r	f66r.64	64	G515-S048	4	F66R_PROSE_03	F66R_TEXT_BLOCK_03	l	L	VERBINDUNG	SAME_OWNER_BLOCK
G515-E0430	f66r	f66r.64	64	G515-S048	5	F66R_PROSE_03	F66R_TEXT_BLOCK_03	lor	L+OR	VERBINDUNG · EINHEIT	SAME_OWNER_BLOCK
G515-E0431	f66r	f66r.64	64	G515-S048	6	F66R_PROSE_03	F66R_TEXT_BLOCK_03	sheor	SH+E+OR	HALTEN · [E:STEUERUNG=GRAD I] · EINHEIT	SAME_OWNER_BLOCK
G515-E0432	f66r	f66r.64	64	G515-S048	7	F66R_PROSE_03	F66R_TEXT_BLOCK_03	cheal	AL	ZIELORT	SAME_OWNER_BLOCK
G515-E0433	f66r	f66r.65	65	G515-S048	8	F66R_PROSE_03	F66R_TEXT_BLOCK_03	dor	D_ADDR+OR	[D_ADDR:STEUERUNG=HIER] · EINHEIT	SAME_OWNER_BLOCK
G515-E0434	f66r	f66r.65	65	G515-S048	9	F66R_PROSE_03	F66R_TEXT_BLOCK_03	shedy	SH+E+DY	HALTEN · [E:STEUERUNG=GRAD I] · [DY:STEUERUNG=SCHLUSS]	SAME_OWNER_BLOCK
G515-E0435	f66r	f66r.65	65	G515-S049	1	F66R_PROSE_03	F66R_TEXT_BLOCK_03	okar	OK+AR	SETZEN · AUSGANG	SAME_OWNER_BLOCK
G515-E0436	f66r	f66r.65	65	G515-S049	2	F66R_PROSE_03	F66R_TEXT_BLOCK_03	shedy	SH+E+DY	HALTEN · [E:STEUERUNG=GRAD I] · [DY:STEUERUNG=SCHLUSS]	SAME_OWNER_BLOCK
G515-E0437	f66r	f66r.65	65	G515-S050	1	F66R_PROSE_03	F66R_TEXT_BLOCK_03	kcheody	K+CH+E+O+Y	GEBEN · NEHMEN · [E:STEUERUNG=GRAD I] · [O:STEUERUNG=AUSFÜHRUNG] · POSTEN	SAME_OWNER_BLOCK
G515-E0438	f66r	f66r.65	65	G515-S050	2	F66R_PROSE_03	F66R_TEXT_BLOCK_03	chxar	CH+LOCAL_X+AR	NEHMEN · [LOKALES_X:ZEICHEN_ODER_NAMENSKERN] · AUSGANG	SAME_OWNER_BLOCK
G515-E0439	f66r	f66r.65	65	G515-S050	3	F66R_PROSE_03	F66R_TEXT_BLOCK_03	daly	AL+Y	ZIELORT · POSTEN	SAME_OWNER_BLOCK
G515-E0440	f66r	f66r.65	65	G515-S050	4	F66R_PROSE_03	F66R_TEXT_BLOCK_03	fchdar	LOCAL_CHAR_F+CHD+AR	[LOCAL_CHAR_F:STEUERUNG=HIER] · BEARBEITEN · AUSGANG	SAME_OWNER_BLOCK
G515-E0441	f66r	f66r.65	65	G515-S050	5	F66R_PROSE_03	F66R_TEXT_BLOCK_03	cheor	CH+E+O+R	NEHMEN · [E:STEUERUNG=GRAD I] · [O:STEUERUNG=AUSFÜHRUNG] · MARKIEREN	SAME_OWNER_BLOCK
G515-E0442	f66r	f66r.65	65	G515-S050	6	F66R_PROSE_03	F66R_TEXT_BLOCK_03	aly	AL+Y	ZIELORT · POSTEN	SAME_OWNER_BLOCK
G515-E0443	f66r	f66r.65	65	G515-S050	7	F66R_PROSE_03	F66R_TEXT_BLOCK_03	ry	R+Y	MARKIEREN · POSTEN	SAME_OWNER_BLOCK
G515-E0444	f66r	f66r.66	66	G515-S050	8	F66R_PROSE_03	F66R_TEXT_BLOCK_03	shor	SH+OR	HALTEN · EINHEIT	SAME_OWNER_BLOCK
G515-E0445	f66r	f66r.66	66	G515-S050	9	F66R_PROSE_03	F66R_TEXT_BLOCK_03	shckheody	SH+CH+K+E+O+DY	HALTEN · NEHMEN · GEBEN · [E:STEUERUNG=GRAD I] · [O:STEUERUNG=AUSFÜHRUNG] · [DY:STEUERUNG=SCHLUSS]	SAME_OWNER_BLOCK
G515-E0446	f66r	f66r.66	66	G515-S051	1	F66R_PROSE_03	F66R_TEXT_BLOCK_03	dal	AL	ZIELORT	SAME_OWNER_BLOCK
G515-E0447	f66r	f66r.66	66	G515-S051	2	F66R_PROSE_03	F66R_TEXT_BLOCK_03	shedy	SH+E+DY	HALTEN · [E:STEUERUNG=GRAD I] · [DY:STEUERUNG=SCHLUSS]	SAME_OWNER_BLOCK
G515-E0448	f66r	f66r.66	66	G515-S052	1	F66R_PROSE_03	F66R_TEXT_BLOCK_03	qokor	OK+OR	SETZEN · EINHEIT	SAME_OWNER_BLOCK
G515-E0449	f66r	f66r.66	66	G515-S052	2	F66R_PROSE_03	F66R_TEXT_BLOCK_03	al	AL	ZIELORT	SAME_OWNER_BLOCK
G515-E0450	f66r	f66r.66	66	G515-S052	3	F66R_PROSE_03	F66R_TEXT_BLOCK_03	shes	SH+E+S	HALTEN · [E:STEUERUNG=GRAD I] · WÄHLEN	SAME_OWNER_BLOCK
