event_id	page	record	statement_id	locus	silent_owner_de	containing_clause_de	component_parse	atomic_card_value_de	local_action_expansion_de	allograph_source	predicted_card_no	observed_card_no	card_roundtrip	renderer_source	renderer_rule	predicted_surface	observed_surface	surface_roundtrip	free_choice
E001	f10r	H1	H1-S001	f10r.2	abgebildete breit gezähnte radialblütige Pflanze	den laufenden Posten kurz abnehmen	CH+E+Y	diesen Posten kurz abziehen	abnehmen	DIRECT_UNIQUE_PARSE	PROC001	PROC001	YES	GLOBAL_RULE_RENDERER	GLOBAL_CARD_SURFACE	dchey	dchey	YES	NO
E002	f10r	H1	H1-S001	f10r.2	abgebildete breit gezähnte radialblütige Pflanze	den laufenden Posten von dort im Arbeitsgang bis bereit übertragen	CTH+O+OR	bereit · Arbeitsgang · Ansatz	NON_ACTION_CONTRIBUTION	DIRECT_UNIQUE_PARSE	PROC002	PROC002	YES	GLOBAL_RULE_RENDERER	GLOBAL_CARD_SURFACE	cthoor	cthoor	YES	NO
E003	f10r	H1	H1-S001	f10r.2	abgebildete breit gezähnte radialblütige Pflanze	den laufenden Posten von dort im Arbeitsgang bis bereit übertragen	AR	von dort	NON_ACTION_CONTRIBUTION	DIRECT_UNIQUE_PARSE	PROC003	PROC003	YES	GLOBAL_RULE_RENDERER	GLOBAL_CARD_SURFACE	char	char	YES	NO
E004	f10r	H1	H1-S001	f10r.2	abgebildete breit gezähnte radialblütige Pflanze	den laufenden Posten von dort im Arbeitsgang bis bereit übertragen	T+Y	den aktuellen Posten eintragen	übertragen	DIRECT_UNIQUE_PARSE	PROC004	PROC004	YES	GLOBAL_RULE_RENDERER	GLOBAL_CARD_SURFACE	chty	chty	YES	NO
E005	f10r	H1	H1-S001	f10r.2	abgebildete breit gezähnte radialblütige Pflanze	den laufenden Posten im Lauf ablaufen lassen	OS	Arbeitsfach	NON_ACTION_CONTRIBUTION	DIRECT_UNIQUE_PARSE	PROC005	PROC005	YES	GLOBAL_RULE_RENDERER	GLOBAL_CARD_SURFACE	os	os	YES	NO
E006	f10r	H1	H1-S001	f10r.2	abgebildete breit gezähnte radialblütige Pflanze	den laufenden Posten im Lauf ablaufen lassen	CH+AIR	den laufenden Posten durch laufender Bestand abziehen	ablaufen lassen	DIRECT_UNIQUE_PARSE	PROC006	PROC006	YES	GLOBAL_RULE_RENDERER	GLOBAL_CARD_SURFACE	chair	chair	YES	NO
E007	f10r	H1	H1-S001	f10r.2	abgebildete breit gezähnte radialblütige Pflanze	danach den laufenden Posten weiter eintragen und abnehmen	OT+Y+T+CH+OL	danach fortsetzen diesen Posten eintragen und abziehen	eintragen + abnehmen	DIRECT_UNIQUE_PARSE	PROC007	PROC007	YES	GLOBAL_RULE_RENDERER	GLOBAL_CARD_SURFACE	otytchol	otytchol	YES	NO
E008	f10r	H1	H1-S001	f10r.2	abgebildete breit gezähnte radialblütige Pflanze	den laufenden Posten einsetzen	OK+Y	den aktuellen Posten in Einsatz bringen	einsetzen	LOCAL_LOCUS_MEMORY	PROC008	PROC008	YES	RECORD_WRAPPER_MELODY	RM01:1	oky	oky	YES	NO
E009	f10r	H1	H1-S001	f10r.2	abgebildete breit gezähnte radialblütige Pflanze	den laufenden Posten nach vorgeschriebenem Maß kurz eintragen	AIIN	vorgeschriebenes Maß	NON_ACTION_CONTRIBUTION	DIRECT_UNIQUE_PARSE	PROC009	PROC009	YES	GLOBAL_RULE_RENDERER	GLOBAL_CARD_SURFACE	daiin	daiin	YES	NO
E010	f10r	H1	H1-S001	f10r.2	abgebildete breit gezähnte radialblütige Pflanze	den laufenden Posten nach vorgeschriebenem Maß kurz eintragen	E+T+Y	diesen Posten kurz eintragen	eintragen	DIRECT_UNIQUE_PARSE	PROC010	PROC010	YES	GLOBAL_RULE_RENDERER	GLOBAL_CARD_SURFACE	etyd	etyd	YES	NO
