record	page	events	statements	component_parses	allograph_rule_events	global_surface_events	context_surface_events	cadence_surface_events	melody_surface_events	card_roundtrip	surface_roundtrip
H1	f10r	14	2	13	3	12	0	0	2	YES	YES
H2	f10r	24	3	15	2	16	1	7	0	YES	YES
H3	f11r	17	4	15	4	14	1	0	2	YES	YES
H4	f55v	18	4	15	4	13	1	0	4	YES	YES
H5	f56r	27	6	20	6	25	0	0	2	YES	YES
B1	f81v	66	21	41	16	52	0	10	4	YES	YES
B2	f82r	62	22	46	6	55	1	2	4	YES	YES
B3	f83r	86	34	50	15	70	1	11	4	YES	YES
B4	f83r	47	16	33	11	40	3	0	4	YES	YES
B5	f83r	11	3	10	5	9	0	2	0	YES	YES
B6	f83r	9	1	8	2	8	0	0	1	YES	YES
