gdt753_surface_id	gdt753_pair_id	comparison_group	pair_side	surface	reader_exact_occurrences	reader_exact_pages	complete_fields	complete_field_pages	anchored_complete_fields	process_or_material_middle_support_fields	process_or_material_middle_support_pages	preparation_support_fields	preparation_support_pages	process_support_fields	material_support_fields	middle_stage_support_fields	quality_stage_support_fields	process_or_material_middle_rate	preparation_rate	channel_counts_complete	literal_identity	confirmed_lexeme	component_export_credit
G753-P01-PREFIX	G753-P01	TARGET_Q_PAIR	PREFIX	qokeol	34	24	15	11	10	3	2	6	6	1	7	3	10	0.200000	0.400000	DESCRIPTIVE_MATERIA:5|DESCRIPTIVE_QUALITY:1|MATERIA_OR_INGREDIENT:3|OPEN:5|PRESCRIPTIVE_RECIPE:1	OPEN	0	0
G753-P01-BASE	G753-P01	TARGET_Q_PAIR	BASE	okeol	41	24	19	14	13	4	4	8	8	4	8	4	11	0.210526	0.421053	DESCRIPTIVE_MATERIA:7|MATERIA_OR_INGREDIENT:2|OPEN:6|PRESCRIPTIVE_PROCESS:1|PRESCRIPTIVE_RECIPE:3	OPEN	0	0
G753-P02-PREFIX	G753-P02	MATCHED_Q_PAIR	PREFIX	qoteey	38	27	23	16	12	3	3	2	2	3	6	3	10	0.130435	0.086957	DESCRIPTIVE_MATERIA:5|DESCRIPTIVE_QUALITY:2|OPEN:11|PRESCRIPTIVE_PROCESS:1|PRESCRIPTIVE_RECIPE:2|QUANTITY_OR_PART:2	OPEN	0	0
G753-P02-BASE	G753-P02	MATCHED_Q_PAIR	BASE	oteey	90	40	48	30	27	7	6	8	7	6	8	11	27	0.145833	0.166667	DESCRIPTIVE_MATERIA:11|DESCRIPTIVE_QUALITY:9|MATERIA_OR_INGREDIENT:1|OPEN:21|PRESCRIPTIVE_PROCESS:4|PRESCRIPTIVE_RECIPE:2	OPEN	0	0
G753-P03-PREFIX	G753-P03	MATCHED_Q_PAIR	PREFIX	qotedy	49	30	29	19	12	2	2	3	3	4	3	4	10	0.068966	0.103448	DESCRIPTIVE_MATERIA:4|DESCRIPTIVE_QUALITY:3|OPEN:17|PRESCRIPTIVE_PROCESS:3|PRESCRIPTIVE_RECIPE:1|QUANTITY_OR_PART:1	OPEN	0	0
G753-P03-BASE	G753-P03	MATCHED_Q_PAIR	BASE	otedy	75	34	44	25	18	5	5	7	6	9	5	9	16	0.113636	0.159091	DESCRIPTIVE_MATERIA:6|DESCRIPTIVE_QUALITY:2|MATERIA_OR_INGREDIENT:1|OPEN:26|PRESCRIPTIVE_PROCESS:2|PRESCRIPTIVE_RECIPE:7	OPEN	0	0
G753-P04-PREFIX	G753-P04	MATCHED_Q_PAIR	PREFIX	qotain	60	29	31	19	13	3	3	4	4	2	6	6	13	0.096774	0.129032	DESCRIPTIVE_MATERIA:6|DESCRIPTIVE_QUALITY:3|MATERIA_OR_INGREDIENT:1|OPEN:18|PRESCRIPTIVE_PROCESS:1|PRESCRIPTIVE_RECIPE:1|QUANTITY_OR_PART:1	OPEN	0	0
G753-P04-BASE	G753-P04	MATCHED_Q_PAIR	BASE	otain	88	42	40	21	16	3	3	5	3	2	8	4	16	0.075000	0.125000	DESCRIPTIVE_MATERIA:9|DESCRIPTIVE_QUALITY:3|MATERIA_OR_INGREDIENT:2|OPEN:24|PRESCRIPTIVE_RECIPE:2	OPEN	0	0
G753-P05-PREFIX	G753-P05	MATCHED_Q_PAIR	PREFIX	qoaiin	20	18	5	5	4	0	0	1	1	1	2	0	3	0.000000	0.200000	DESCRIPTIVE_QUALITY:1|OPEN:2|PRESCRIPTIVE_RECIPE:1|QUANTITY_OR_PART:1	OPEN	0	0
G753-P05-BASE	G753-P05	MATCHED_Q_PAIR	BASE	oaiin	17	14	7	6	4	0	0	4	3	0	1	0	4	0.000000	0.571429	DESCRIPTIVE_MATERIA:3|MATERIA_OR_INGREDIENT:1|OPEN:3	OPEN	0	0
