gdt753_pair_id	comparison_group	source_pair_id	prefix_surface	base_surface	pre_outcome_match_cost	prefix_complete_fields	base_complete_fields	prefix_process_material_middle_fields	prefix_process_material_middle_pages	base_process_material_middle_fields	base_process_material_middle_pages	prefix_preparation_fields	prefix_preparation_pages	base_preparation_fields	base_preparation_pages	process_material_middle_rate_delta_prefix_minus_base	preparation_rate_delta_base_minus_prefix	cross_page_directional_role_gate	literal_identity	confirmed_lexeme	component_export_credit
G753-P01	TARGET_Q_PAIR	G751-Q025	qokeol	okeol	0.000000	15	19	3	2	4	4	6	6	8	8	-0.010526	0.021053	0	OPEN	0	0
G753-P02	MATCHED_Q_PAIR	G751-Q044	qoteey	oteey	0.881403	23	48	3	3	7	6	2	2	8	7	-0.015398	0.079710	0	OPEN	0	0
G753-P03	MATCHED_Q_PAIR	G751-Q043	qotedy	otedy	0.949739	29	44	2	2	5	5	3	3	7	6	-0.044670	0.055643	0	OPEN	0	0
G753-P04	MATCHED_Q_PAIR	G751-Q036	qotain	otain	1.306493	31	40	3	3	3	3	4	4	5	3	0.021774	-0.004032	0	OPEN	0	0
G753-P05	MATCHED_Q_PAIR	G751-Q001	qoaiin	oaiin	1.358123	5	7	0	0	0	0	1	1	4	3	0.000000	0.371429	0	OPEN	0	0
G753-P06	MATCHED_Q_PAIR	G751-Q012	qokair	okair	1.512274	5	7	1	1	0	0	3	2	3	3	0.200000	-0.171429	0	OPEN	0	0
G753-P07	MATCHED_NONQ_PAIR	G751-C135	ykaiin	kaiin	0.097980	12	12	1	1	1	1	2	2	4	4	0.000000	0.166666	0	OPEN	0	0
G753-P08	MATCHED_NONQ_PAIR	G751-C069	okeedy	keedy	0.958850	25	11	2	2	2	2	4	4	1	1	-0.101818	-0.069091	0	OPEN	0	0
G753-P09	MATCHED_NONQ_PAIR	G751-C143	ykeedy	keedy	1.161791	12	11	2	2	2	2	3	3	1	1	-0.015151	-0.159091	0	OPEN	0	0
G753-P10	MATCHED_NONQ_PAIR	G751-C088	otchor	tchor	1.569433	10	9	1	1	2	2	3	3	5	5	-0.122222	0.255556	0	OPEN	0	0
G753-P11	MATCHED_NONQ_PAIR	G751-C087	otchol	tchol	1.589235	15	3	1	1	0	0	6	6	1	1	0.066667	-0.066667	0	OPEN	0	0
