gdt753_reader_id	gdt753_occurrence_id	surface	page	locus	token_ordinal	boundary_complete	anchor_tags	field_channel	role_evidence_decision	old_composition_derived_render_de	old_concrete_render_disposition	current_working_whole_default_de	safe_occurrence_render_de	written_line_eva	literal_identity	confirmed_lexeme	component_export_credit
G753-R001	G753-O0004	okeol	f3v	f3v.9	2	1	MATERIAL	MATERIA_OR_INGREDIENT	OTHER_ANCHORED_CONTEXT	Grundansatz bis zur mittleren Heizstufe erwärmt	DEMOTED_TO_BACKGROUND_HYPOTHESIS	Wärme-/Mittelstufenfeld; genaue Funktion und Träger offen	okeol: MATERIA_OR_INGREDIENT; genaue Ganzformrolle offen	ytcheear okeol cthodoaly chor cthy	OPEN	0	0
G753-R002	G753-O0008	okeol	f4v	f4v.12	3	1	MOIST|PART|MATERIAL|PREPARATION|CLOSE|END_STAGE	DESCRIPTIVE_MATERIA	PREPARATION_CONTEXT	Grundansatz bis zur mittleren Heizstufe erwärmt	DEMOTED_TO_BACKGROUND_HYPOTHESIS	Wärme-/Mittelstufenfeld; genaue Funktion und Träger offen	okeol: Zubereitungskontext; genaue Ganzformrolle offen	qokey sho okeol s keey shar char ody	OPEN	0	0
G753-R003	G753-O0042	okeol	f17v	f17v.14	5	1	HOT|MATERIAL|PREPARATION|END_STAGE	DESCRIPTIVE_MATERIA	PREPARATION_CONTEXT	Grundansatz bis zur mittleren Heizstufe erwärmt	DEMOTED_TO_BACKGROUND_HYPOTHESIS	Wärme-/Mittelstufenfeld; genaue Funktion und Träger offen	okeol: Zubereitungskontext; genaue Ganzformrolle offen	olo r okeeol chodaiin okeol tchory	OPEN	0	0
G753-R004	G753-O0043	okeol	f17v	f17v.16	3	1	MATERIAL	MATERIA_OR_INGREDIENT	OTHER_ANCHORED_CONTEXT	Grundansatz bis zur mittleren Heizstufe erwärmt	DEMOTED_TO_BACKGROUND_HYPOTHESIS	Wärme-/Mittelstufenfeld; genaue Funktion und Träger offen	okeol: MATERIA_OR_INGREDIENT; genaue Ganzformrolle offen	okcheol chol okeol cthol otcheolom	OPEN	0	0
G753-R005	G753-O0049	qokeol	f21r	f21r.6	8	0	NONE	OPEN	CENSORED_FIELD_NO_ROLE_CREDIT	erhitze den Drogenstoff bis zur Mittelstufe	DEMOTED_TO_BACKGROUND_HYPOTHESIS	Wärme-/Mittelstufenfeld; genaue Funktion und Träger offen	qokeol: Ganzformrolle offen (Feld abgeschnitten)	dchor y kol y ky chol kol qokeol chol ol qoteeol dady	OPEN	0	0
G753-R006	G753-O0054	okeol	f23v	f23v.3	3	0	DRY|PREPARATION	DESCRIPTIVE_MATERIA	CENSORED_FIELD_NO_ROLE_CREDIT	Grundansatz bis zur mittleren Heizstufe erwärmt	DEMOTED_TO_BACKGROUND_HYPOTHESIS	Wärme-/Mittelstufenfeld; genaue Funktion und Träger offen	okeol: Ganzformrolle offen (Feld abgeschnitten)	ycho okaiin okeol eees o l daiin okeeor daiin qotcholg	OPEN	0	0
G753-R007	G753-O0056	qokeol	f24r	f24r.8	6	0	PART	QUANTITY_OR_PART	CENSORED_FIELD_NO_ROLE_CREDIT	erhitze den Drogenstoff bis zur Mittelstufe	DEMOTED_TO_BACKGROUND_HYPOTHESIS	Wärme-/Mittelstufenfeld; genaue Funktion und Träger offen	qokeol: Ganzformrolle offen (Feld abgeschnitten)	ychor s om qoear daiin qokeol	OPEN	0	0
G753-R008	G753-O0069	okeol	f31r	f31r.9	4	1	MOIST|PART|MATERIAL|PREPARATION|END_STAGE	DESCRIPTIVE_MATERIA	PREPARATION_CONTEXT	Grundansatz bis zur mittleren Heizstufe erwärmt	DEMOTED_TO_BACKGROUND_HYPOTHESIS	Wärme-/Mittelstufenfeld; genaue Funktion und Träger offen	okeol: Zubereitungskontext; genaue Ganzformrolle offen	daiir sheeo shcthey okeol	OPEN	0	0
G753-R009	G753-O0121	qokeol	f48r	f48r.7	2	1	NONE	OPEN	COMPLETE_OPEN_CONTEXT	erhitze den Drogenstoff bis zur Mittelstufe	DEMOTED_TO_BACKGROUND_HYPOTHESIS	Wärme-/Mittelstufenfeld; genaue Funktion und Träger offen	qokeol: Ganzformrolle offen	tocthy qokeol yteedy lolkeol otolches al ar ykeeodam okedy okam	OPEN	0	0
G753-R010	G753-O0125	qokeol	f49v	f49v.26	1	0	COLD|PREPARATION	DESCRIPTIVE_MATERIA	CENSORED_FIELD_NO_ROLE_CREDIT	erhitze den Drogenstoff bis zur Mittelstufe	DEMOTED_TO_BACKGROUND_HYPOTHESIS	Wärme-/Mittelstufenfeld; genaue Funktion und Träger offen	qokeol: Ganzformrolle offen (Feld abgeschnitten)	qokeol chokeeody otol kcho s chol daiin	OPEN	0	0
