gdt753_pair_id	comparison_group	source_pair_id	control_rank_within_group	prefix_character	prefix_surface	base_surface	base_length	prefix_reader_exact_occurrences	base_reader_exact_occurrences	pre_outcome_match_cost	matching_used_position_semantics_or_role_outcome	source_prefix_canonical_axes_not_used_for_matching	source_base_canonical_axes_not_used_for_matching	literal_identity	confirmed_lexeme	component_export_credit
G753-P01	TARGET_Q_PAIR	G751-Q025	0	q	qokeol	okeol	5	34	41	0.000000	0	HOT|MIDDLE_STAGE|MATERIAL|PROCESS	HOT|MIDDLE_STAGE|PREPARATION	OPEN	0	0
G753-P02	MATCHED_Q_PAIR	G751-Q044	1	q	qoteey	oteey	5	38	90	0.881403	0	COLD|END_STAGE	COLD|END_STAGE|PREPARATION	OPEN	0	0
G753-P03	MATCHED_Q_PAIR	G751-Q043	2	q	qotedy	otedy	5	49	75	0.949739	0	COLD|MIDDLE_STAGE|END_STAGE|CLOSE	COLD|MIDDLE_STAGE|PREPARATION	OPEN	0	0
G753-P04	MATCHED_Q_PAIR	G751-Q036	3	q	qotain	otain	5	60	88	1.306493	0	COLD|LEVEL_II|PREPARATION	COLD|LEVEL_II|PREPARATION	OPEN	0	0
G753-P05	MATCHED_Q_PAIR	G751-Q001	4	q	qoaiin	oaiin	5	20	17	1.358123	0	PART	AMOUNT|PREPARATION	OPEN	0	0
G753-P06	MATCHED_Q_PAIR	G751-Q012	5	q	qokair	okair	5	17	17	1.512274	0	HOT|PART|PROCESS	HOT|PART|MATERIAL|PREPARATION	OPEN	0	0
G753-P07	MATCHED_NONQ_PAIR	G751-C135	1	y	ykaiin	kaiin	5	33	44	0.097980	0	HOT|LEVEL_III|PROCESS	HOT|LEVEL_III	OPEN	0	0
G753-P08	MATCHED_NONQ_PAIR	G751-C069	2	o	okeedy	keedy	5	49	22	0.958850	0	HOT|END_STAGE|PREPARATION|CLOSE	HOT|END_STAGE|CLOSE	OPEN	0	0
G753-P09	MATCHED_NONQ_PAIR	G751-C143	3	y	ykeedy	keedy	5	19	22	1.161791	0	HOT|END_STAGE|CLOSE	HOT|END_STAGE|CLOSE	OPEN	0	0
G753-P10	MATCHED_NONQ_PAIR	G751-C088	4	o	otchor	tchor	5	16	17	1.569433	0	COLD|DRY|AMOUNT|MATERIAL|PREPARATION	COLD|DRY|AMOUNT|MATERIAL	OPEN	0	0
G753-P11	MATCHED_NONQ_PAIR	G751-C087	5	o	otchol	tchol	5	24	11	1.589235	0	COLD|DRY|MATERIAL|PREPARATION	COLD|DRY|MATERIAL	OPEN	0	0
