gdt753_occurrence_id	gdt753_pair_id	comparison_group	pair_side	surface	paired_surface	page	physical_folio	locus	token_ordinal	line_token_count	normalized_position	current_inherited_semantic_value_de_not_used_as_field_anchor	current_inherited_confidence_not_used_for_field_anchor	current_inherited_authority_not_used_for_field_anchor	current_inherited_dispatch_not_used_for_field_anchor	written_line_eva	left_extent	right_extent	left_boundary_reason	right_boundary_reason	boundary_complete	anchor_count	anchor_surfaces	anchor_tags	anchor_evidence	field_channel	slot_class	slot_label_de	process_or_material_middle_support	preparation_support	quality_stage_support	process_support	material_support	middle_stage_support	unknown_cells_inside	literal_identity	confirmed_lexeme	component_export_credit
G753-O0001	G753-P11	MATCHED_NONQ_PAIR	PREFIX	otchol	tchol	f3r	f3	f3r.7	1	5	0.000000	kalt-trockener Zubereitungsstoff	W3_SOLID_WORKING_THEORY	otchol#GLOBAL	UNCHANGED_GDT733	otchol qodaiin chom shom damo	0	4	LINE_EDGE_AFTER_R0	LINE_EDGE_AFTER_R4	1	0	NONE	NONE	NONE	OPEN	UNASSIGNED	Inhaltsrolle offen	0	0	0	0	0	0	3	OPEN	0	0
G753-O0002	G753-P10	MATCHED_NONQ_PAIR	PREFIX	otchor	tchor	f3r	f3	f3r.19	1	9	0.000000	kalt-trockene Drogenportion im Ansatz	W3_SOLID_WORKING_THEORY	otchor#GLOBAL	UNCHANGED_GDT733	otchor ol cheor qoeor dair qoteol qosaiin chor cthy	0	5	LINE_EDGE_AFTER_R0	RADIUS5_CENSORED	0	1	cheor	DRY|PART|MATERIAL	R2 cheor=trockener Drogenteil [DRY|PART|MATERIAL;W3_SOLID_WORKING_THEORY]	DESCRIPTIVE_MATERIA	LEMMA_OR_DESCRIPTIVE_CONTENT	Lemma-/Beschreibungsinhalt offen	0	0	0	0	0	0	1	OPEN	0	0
G753-O0003	G753-P10	MATCHED_NONQ_PAIR	BASE	tchor	otchor	f3v	f3	f3v.7	1	5	0.000000	kalt-trockene Drogenportion	W3_SOLID_WORKING_THEORY	tchor#GLOBAL	UNCHANGED_GDT733	tchor otcham chor cfham s	0	4	LINE_EDGE_AFTER_R0	LINE_EDGE_AFTER_R4	1	0	NONE	NONE	NONE	OPEN	UNASSIGNED	Inhaltsrolle offen	0	0	0	0	0	0	2	OPEN	0	0
G753-O0004	G753-P01	TARGET_Q_PAIR	BASE	okeol	qokeol	f3v	f3	f3v.9	2	5	0.250000	Grundansatz bis zur mittleren Heizstufe erwärmt	W2_PROVISIONAL_WORKING	okeol#GLOBAL	UNCHANGED_GDT733	ytcheear okeol cthodoaly chor cthy	1	3	LINE_EDGE_AFTER_R1	LINE_EDGE_AFTER_R3	1	1	cthy	MATERIAL	R3 cthy=CTH-Drogenmaterial [MATERIAL;W3_SOLID_WORKING_THEORY]	MATERIA_OR_INGREDIENT	LEMMA_OR_INGREDIENT	Lemma-/Zutatinhalt offen	0	0	0	0	1	0	2	OPEN	0	0
G753-O0005	G753-P10	MATCHED_NONQ_PAIR	BASE	tchor	otchor	f3v	f3	f3v.11	4	6	0.600000	kalt-trockene Drogenportion	W3_SOLID_WORKING_THEORY	tchor#GLOBAL	UNCHANGED_GDT733	sho shockho ckhy tchor chodaiin chom	3	2	LINE_EDGE_AFTER_R3	LINE_EDGE_AFTER_R2	1	1	sho	MOIST|PREPARATION	L3 sho=feuchter Ansatz [MOIST|PREPARATION;W3_SOLID_WORKING_THEORY]	DESCRIPTIVE_MATERIA	LEMMA_OR_DESCRIPTIVE_CONTENT	Lemma-/Beschreibungsinhalt offen	0	1	1	0	0	0	2	OPEN	0	0
G753-O0006	G753-P10	MATCHED_NONQ_PAIR	BASE	tchor	otchor	f3v	f3	f3v.12	4	6	0.600000	kalt-trockene Drogenportion	W3_SOLID_WORKING_THEORY	tchor#GLOBAL	UNCHANGED_GDT733	osh chodair ytchy tchor kcham s	3	2	LINE_EDGE_AFTER_R3	LINE_EDGE_AFTER_R2	1	1	ytchy	COLD|DRY|BEGIN_STAGE	L1 ytchy=Eintrag: kalt-trockene Grundform [COLD|DRY|BEGIN_STAGE;W3_SOLID_WORKING_THEORY]	DESCRIPTIVE_QUALITY	LEMMA_OR_DESCRIPTIVE_CONTENT	Lemma-/Beschreibungsinhalt offen	0	0	1	0	0	0	3	OPEN	0	0
G753-O0007	G753-P11	MATCHED_NONQ_PAIR	PREFIX	otchol	tchol	f4r	f4	f4r.3	1	7	0.000000	kalt-trockener Zubereitungsstoff	W3_SOLID_WORKING_THEORY	otchol#GLOBAL	UNCHANGED_GDT733	otchol chol chy chaiin qotaiin daiin shain	0	5	LINE_EDGE_AFTER_R0	RADIUS5_CENSORED	0	0	NONE	NONE	NONE	OPEN	UNASSIGNED	Inhaltsrolle offen	0	0	0	0	0	0	0	OPEN	0	0
G753-O0008	G753-P01	TARGET_Q_PAIR	BASE	okeol	qokeol	f4v	f4	f4v.12	3	8	0.285714	Grundansatz bis zur mittleren Heizstufe erwärmt	W2_PROVISIONAL_WORKING	okeol#GLOBAL	UNCHANGED_GDT733	qokey sho okeol s keey shar char ody	2	5	LINE_EDGE_AFTER_R2	CURRENT_CLOSE_INCLUDED_R5	1	3	sho|shar|ody	MOIST|PART|MATERIAL|PREPARATION|CLOSE|END_STAGE	L1 sho=feuchter Ansatz [MOIST|PREPARATION;W3_SOLID_WORKING_THEORY] || R3 shar=angefeuchtete Drogenfraktion I [MOIST|PART|MATERIAL;W3_SOLID_WORKING_THEORY] || R5 ody=fertiggestellter Ansatz [PREPARATION|CLOSE|END_STAGE;W3_SOLID_WORKING_THEORY]	DESCRIPTIVE_MATERIA	LEMMA_OR_DESCRIPTIVE_CONTENT	Lemma-/Beschreibungsinhalt offen	0	1	1	0	1	0	0	OPEN	0	0
G753-O0009	G753-P05	MATCHED_Q_PAIR	BASE	oaiin	qoaiin	f5r	f5	f5r.1	4	9	0.375000	drei Ansatzportionen	W3_SOLID_WORKING_THEORY	oaiin#GLOBAL	UNCHANGED_GDT733	kchody fchoy chkoy oaiin oar olsy chody dkshy dy	3	5	LINE_EDGE_AFTER_R3	RADIUS5_CENSORED	0	0	NONE	NONE	NONE	OPEN	UNASSIGNED	Inhaltsrolle offen	0	0	0	0	0	0	4	OPEN	0	0
G753-O0010	G753-P05	MATCHED_Q_PAIR	PREFIX	qoaiin	oaiin	f5r	f5	f5r.3	1	8	0.000000	nimm drei Teile	W3_SOLID_WORKING_THEORY	qoaiin#GLOBAL	UNCHANGED_GDT733	qoaiin otan chy daiin oteeeb chocthy otchy qotchody	0	5	LINE_EDGE_AFTER_R0	RADIUS5_CENSORED	0	0	NONE	NONE	NONE	OPEN	UNASSIGNED	Inhaltsrolle offen	0	0	0	0	0	0	1	OPEN	0	0
