case	engine	context_index	class_name	variant_index	groups	new_spellings	new_THEN_spellings	THEN_positions	longest_THEN_run	cargos	hazard_pairs	qokedy_hazard_degree	voyage_counts	consistent_paths	original_example	independent_meaning_capacity
FULL01	primary	2	DIFFERENT_CARGO_NAME	0	93	75	19	30	8	2	0	0	13	1	L02_009	0
FULL01	independent	2	DIFFERENT_CARGO_NAME	0	93	75	17	24	5	3	1	1	9	1	L02_009	0
FULL02	primary	2	DIFFERENT_CARGO_NAME	2	93	75	20	30	8	3	0	0	11	1	L02_009	0
FULL02	independent	2	DIFFERENT_CARGO_NAME	2	93	75	17	24	4	3	1	1	9	1	L02_009	0
FULL03	primary	2	DIFFERENT_CARGO_NAME	4	93	75	24	35	8	3	0	0	11	2	L02_026	0
FULL03	independent	2	DIFFERENT_CARGO_NAME	4	93	75	17	24	5	3	1	1	9	1	L02_026	0
FULL04	primary	2	DIFFERENT_CARGO_NAME	6	93	75	19	22	3	3	0	0	19	2	L02_026	0
FULL04	independent	2	DIFFERENT_CARGO_NAME	6	93	75	19	26	4	2	1	1	7	1	L02_026	0
FULL05	primary	2	DIFFERENT_CARGO_NAME	8	93	75	19	27	5	3	0	0	15	1	L02_009	0
FULL05	independent	2	DIFFERENT_CARGO_NAME	8	93	75	17	24	5	3	1	1	9	1	L02_009	0
FULL06	primary	2	DIFFERENT_CARGO_NAME	10	93	75	23	27	4	3	0	0	15	1	L02_009	0
FULL06	independent	2	DIFFERENT_CARGO_NAME	10	93	75	17	24	4	3	1	1	9	1	L02_009	0
FULL07	primary	2	DIFFERENT_CARGO_NAME	12	93	75	28	39	11	3	0	0	11	2	L02_027	0
FULL07	independent	2	DIFFERENT_CARGO_NAME	12	93	75	17	24	5	3	1	1	9	1	L02_027	0
FULL08	primary	2	DIFFERENT_CARGO_NAME	14	93	75	18	25	5	3	0	0	15	2	L02_027	0
FULL08	independent	2	DIFFERENT_CARGO_NAME	14	93	75	17	24	4	3	1	1	9	1	L02_027	0
FULL09	primary	2	FIRST_REFERENCE	0	93	75	22	33	8	2	0	0	9	1	L02_054	0
FULL10	primary	2	FIRST_REFERENCE	2	93	75	21	26	5	3	0	0	15	3	L02_054	0
FULL10	independent	2	FIRST_REFERENCE	2	93	75	17	24	4	3	1	1	9	1	L02_054	0
FULL11	primary	4	DIFFERENT_CARGO_NAME	0	89	71	19	31	8	3	0	0	13	1	L02_009	0
FULL12	primary	4	DIFFERENT_CARGO_NAME	2	89	71	19	30	9	3	0	0	9	2	L02_009	0
FULL13	primary	4	DIFFERENT_CARGO_NAME	4	89	71	16	24	5	3	0	0	15	1	L02_026	0
FULL14	primary	4	DIFFERENT_CARGO_NAME	6	89	71	20	28	5	3	0	0	13	1	L02_026	0
FULL15	primary	4	DIFFERENT_CARGO_NAME	8	89	71	16	23	4	3	2	1	11	1	L02_009	0
FULL16	primary	4	DIFFERENT_CARGO_NAME	10	89	71	18	22	3	3	0	0	17	1	L02_009	0
FULL17	primary	4	DIFFERENT_CARGO_NAME	12	89	71	14	17	2	3	0	0	19	1	L02_027	0
FULL18	primary	4	DIFFERENT_CARGO_NAME	14	89	71	24	36	10	3	0	0	9	1	L02_027	0
FULL19	primary	4	FIRST_REFERENCE	0	89	71	20	28	5	3	0	0	13	1	L02_054	0
FULL20	primary	4	FIRST_REFERENCE	2	89	71	19	27	6	3	0	0	13	1	L02_054	0
