original	context_index	valid_original_variants	positive_variants	excluded_variants	unknown_variants	independent_meaning_capacity
L02_009	2	0,2,8,10	0,2,8,10			0
L02_009	4	0,2,8,10	0,2,8,10			0
L02_012	2	0,2,8,10	0,2,8,10			0
L02_012	4	0,2,8,10	0,2,8,10			0
L02_024	2	0,2,8,10	0,2,8,10			0
L02_024	4	0,2,8,10	0,2,8,10			0
L02_026	2	0,2,4,6	0,2,4,6			0
L02_026	4	0,2,4,6	0,2,4,6			0
L02_027	2	0,2,4,6,8,10,12,14	0,2,4,6,8,10,12,14			0
L02_027	4	0,2,4,6,8,10,12,14	0,2,4,6,8,10,12,14			0
L02_028	2	4,6,12,14	4,6,12,14			0
L02_028	4	4,6,12,14	4,6,12,14			0
L02_036	2	0,2,4,6	0,2,4,6			0
L02_036	4	0,2,4,6	0,2,4,6			0
L02_038	2	4,6,12,14	4,6,12,14			0
L02_038	4	4,6,12,14	4,6,12,14			0
L02_039	2	0,2,4,6,8,10,12,14	0,2,4,6,8,10,12,14			0
L02_039	4	0,2,4,6,8,10,12,14	0,2,4,6,8,10,12,14			0
L02_042	2	0,2,8,10	0,2,8,10			0
L02_042	4	0,2,8,10	0,2,8,10			0
L02_054	2	0,2	0,2			0
L02_054	4	0,2	0,2			0
L02_057	2	0,2	0,2			0
L02_057	4	0,2	0,2			0
L02_064	2	0,2	0,2			0
L02_064	4	0,2	0,2			0
L02_070	2	0,2	0,2			0
L02_070	4	0,2	0,2			0
L02_077	2	0,2	0,2			0
L02_077	4	0,2	0,2			0
L02_080	2	0,2	0,2			0
L02_080	4	0,2	0,2			0
L02_094	2	0,2,8,10	0,2,8,10			0
L02_094	4	0,2,8,10	0,2,8,10			0
L02_100	2	0,2,4,6,8,10,12,14	0,2,4,6,8,10,12,14			0
L02_100	4	0,2,4,6,8,10,12,14	0,2,4,6,8,10,12,14			0
L02_101	2	0,2,4,6	0,2,4,6			0
L02_101	4	0,2,4,6	0,2,4,6			0
L02_103	2	4,6,12,14	4,6,12,14			0
L02_103	4	4,6,12,14	4,6,12,14			0
L02_109	2	0,2,8,10	0,2,8,10			0
L02_109	4	0,2,8,10	0,2,8,10			0
L02_115	2	0,2,8,10	0,2,8,10			0
L02_115	4	0,2,8,10	0,2,8,10			0
L02_121	2	0,2,4,6	0,2,4,6			0
L02_121	4	0,2,4,6	0,2,4,6			0
L02_123	2	4,6,12,14	4,6,12,14			0
L02_123	4	4,6,12,14	4,6,12,14			0
L02_124	2	0,2,4,6,8,10,12,14	0,2,4,6,8,10,12,14			0
L02_124	4	0,2,4,6,8,10,12,14	0,2,4,6,8,10,12,14			0
L02_130	2	0,2,8,10	0,2,8,10			0
L02_130	4	0,2,8,10	0,2,8,10			0
L02_182	2	0,2,8,10	0,2,8,10			0
L02_182	4	0,2,8,10	0,2,8,10			0
L02_185	2	0,2,4,6,8,10,12,14	0,2,4,6,8,10,12,14			0
L02_185	4	0,2,4,6,8,10,12,14	0,2,4,6,8,10,12,14			0
L02_186	2	0,2,4,6	0,2,4,6			0
L02_186	4	0,2,4,6	0,2,4,6			0
L02_188	2	4,6,12,14	4,6,12,14			0
L02_188	4	4,6,12,14	4,6,12,14			0
L02_196	2	0,2,4,6	0,2,4,6			0
L02_196	4	0,2,4,6	0,2,4,6			0
L02_197	2	0,2,4,6,8,10,12,14	0,2,4,6,8,10,12,14			0
L02_197	4	0,2,4,6,8,10,12,14	0,2,4,6,8,10,12,14			0
L02_198	2	4,6,12,14	4,6,12,14			0
L02_198	4	4,6,12,14	4,6,12,14			0
L02_200	2	0,2,8,10	0,2,8,10			0
L02_200	4	0,2,8,10	0,2,8,10			0
L02_212	2	0,2,8,10	0,2,8,10			0
L02_212	4	0,2,8,10	0,2,8,10			0
L02_215	2	0,2,8,10	0,2,8,10			0
L02_215	4	0,2,8,10	0,2,8,10			0
