record_unit_id	page	event_count	distinct_card_count	shared_deck_cards_used	new_extension_cards	reused_extension_cards	new_extension_master_forms	lesson_instruction
H1	f10r	14	14	6	8	0	dchey|cthoor|os|chair|otytchol|etyd|chokchy|qotchol	review shared deck, introduce listed new section cards, then copy the complete record
H2	f10r	24	15	7	8	0	ycheor|cthaiin|qoctholy|otchor|otol|oykchor|kaiiin|chodaiin	review shared deck, introduce listed new section cards, then copy the complete record
H3	f11r	17	15	4	11	0	tshol|schoal|cfhy|shfydaiin|cphy|tchody|shoyty|dchol|kchy|qotchy|okchol	review shared deck, introduce listed new section cards, then copy the complete record
H4	f55v	18	16	8	8	0	ykain|ykan|ody|talam|ykaiin|cheoar|oltchy|orain	review shared deck, introduce listed new section cards, then copy the complete record
H5	f56r	27	21	4	14	3	chochor|cho|chodaly|kchol|choy|cheeckhody|sh|kchey|qokokchy|chokcheo|kchal|kchoar|sotodan|keol	review shared deck, introduce listed new section cards, then copy the complete record
B1	f81v	66	43	10	33	0	qokedy|kair|chkain|olkain|rol|dl|sheckhal|qokeedal|chckhy|dchedy|sshkchdy|cheedy|olchedy|okain|ral|qokchdy|cheky|lsho|okey|lshedy|qolky|lchedal|otar|ytey|okchedy|okeey|teol|dchdy|ly|dsheol|oiiin|olkeedy|shckhedy	review shared deck, introduce listed new section cards, then copy the complete record
B2	f82r	62	46	8	31	7	qokeedy|lcheckhy|lched|lcheckhedy|qokaly|solkaiin|octheol|chkeey|ldy|oteey|sheckhy|dshedy|otaiin|qokar|solshedy|ls|lchy|qcthey|lcheey|qokeeedy|lchedy|lar|tshey|lchedar|ches|pchedy|rsheal|daldy|rshedy|qoteedy|lochedy	review shared deck, introduce listed new section cards, then copy the complete record
B3	f83r	86	52	12	23	17	otal|chkeedy|chedchy|pchedal|otedy|shecthedchy|chary|okair|sheedy|lo|qokshedy|shedal|shecthy|dalchdy|otchedy|cheedar|chldaiin|chealror|cheeety|schedair|chedain|qotedaiin|olsaly	review shared deck, introduce listed new section cards, then copy the complete record
B4	f83r	47	34	11	12	11	qolchey|qokylddy|dain|sheey|okeeol|lkedy|qokol|qockhey|dairydy|chckhal|solkey|skar	review shared deck, introduce listed new section cards, then copy the complete record
B5	f83r	11	10	4	4	2	otchdy|lol|chdal|daiiin	review shared deck, introduce listed new section cards, then copy the complete record
B6	f83r	9	8	3	4	1	solkeey|qekey|raly|ldalor	review shared deck, introduce listed new section cards, then copy the complete record
