master_card_id	master_form	registered_surfaces	semantic_atoms	short_default_de	section_deck_status	herbal_event_count	biological_event_count	herbal_records	biological_records	final_teaching_tier
MC006	chokcheo	chokcheo	OK+CHEO	ansetzen+Auszug	HERBAL_EXTENSION_49	1	0	H5	NONE	SPECIALIST_TABLET_CARD
MC010	chodaly	chodaly	HO+AL+Y	Zutat+Ziel+Posten	HERBAL_EXTENSION_49	1	0	H5	NONE	SPECIALIST_TABLET_CARD
MC013	otchor	otchor|qotchor	OT+OR	danach+Ansatz	HERBAL_EXTENSION_49	2	0	H2|H5	NONE	SECTIONAL_CARD_WITH_PORTABLE_CORE_ATOMS
MC014	chair	chair	AIR	Lauf	HERBAL_EXTENSION_49	1	0	H1	NONE	SECTIONAL_CARD_WITH_SHARED_BRIDGE_ATOM
MC015	qokokchy	qokokchy	OK+OK+Y	ansetzen+ansetzen+Posten	HERBAL_EXTENSION_49	1	0	H5	NONE	SECTIONAL_CARD_WITH_PORTABLE_CORE_ATOMS
MC019	oldy	oldy	OL+CLOSE	weiter+Schluss	SHARED_17	1	1	H4	B4	PORTABLE_EXACT_CORE_CARD
MC021	oltchy	oltchy	OL+CTH+Y	weiter+bereit+Posten	HERBAL_EXTENSION_49	1	0	H4	NONE	SECTIONAL_CARD_WITH_PORTABLE_CORE_ATOMS
MC026	choky	choky|oky|qoky	OK+Y	ansetzen+Posten	SHARED_17	3	7	H1|H5	B1|B2|B3|B4	PORTABLE_EXACT_CORE_CARD
MC027	oykchor	oykchor	Y+KCH+OR	Posten+bearbeiten+Ansatz	HERBAL_EXTENSION_49	1	0	H2	NONE	SECTIONAL_CARD_WITH_PORTABLE_CORE_ATOMS
MC032	cheeky	cheeky	CHK+EE+Y	wärmen+länger+Posten	SHARED_17	1	1	H4	B4	PORTABLE_EXACT_BRIDGE_CARD
MC034	cho	cho|sho	HO	Zutat	HERBAL_EXTENSION_49	4	0	H5	NONE	SPECIALIST_TABLET_CARD
MC037	tchody	tchody	HO+CLOSE	Zutat+Schluss	HERBAL_EXTENSION_49	1	0	H3	NONE	SPECIALIST_TABLET_CARD
MC039	aiin	aiin|chaiin|daiin|saiin|taiin	AIIN	Sollmaß	SHARED_17	9	11	H1|H2|H3|H4|H5	B1|B2|B3|B4|B5|B6	PORTABLE_EXACT_CORE_CARD
MC040	okal	okal|qokal	OK+AL	ansetzen+Ziel	SHARED_17	1	5	H4	B1|B2|B3	PORTABLE_EXACT_CORE_CARD
MC041	okchol	okchol	OK+OL	ansetzen+weiter	HERBAL_EXTENSION_49	1	0	H3	NONE	SECTIONAL_CARD_WITH_PORTABLE_CORE_ATOMS
MC047	ykain	ykain	Y+AIN	Posten+Anteil	HERBAL_EXTENSION_49	1	0	H4	NONE	SECTIONAL_CARD_WITH_SHARED_BRIDGE_ATOM
MC048	kaiiin	kaiiin	IIN	Stufe	HERBAL_EXTENSION_49	1	0	H2	NONE	SECTIONAL_CARD_WITH_SHARED_BRIDGE_ATOM
MC049	schoal	schoal	HO+AL	Zutat+Ziel	HERBAL_EXTENSION_49	1	0	H3	NONE	SPECIALIST_TABLET_CARD
MC053	otol	otol	OT+OL	danach+weiter	HERBAL_EXTENSION_49	1	0	H2	NONE	SECTIONAL_CARD_WITH_PORTABLE_CORE_ATOMS
MC055	char	char|dar|sar	AR	Quelle	SHARED_17	2	3	H1|H2	B1|B2|B3	PORTABLE_EXACT_CORE_CARD
MC062	shoyty	shoyty	HO+Y+TY	Zutat+Posten+Teil	HERBAL_EXTENSION_49	1	0	H3	NONE	SPECIALIST_TABLET_CARD
MC068	sotodan	sotodan	OT+DAN	danach+anwenden	HERBAL_EXTENSION_49	1	0	H5	NONE	SPECIALIST_TABLET_CARD
MC069	otytchol	otytchol	OT+TY+OL	danach+Teil+weiter	HERBAL_EXTENSION_49	1	0	H1	NONE	SECTIONAL_CARD_WITH_PORTABLE_CORE_ATOMS
MC071	dchey	dchey	DCHE+Y	Wurzel+Posten	HERBAL_EXTENSION_49	1	0	H1	NONE	SPECIALIST_TABLET_CARD
MC072	orain	orain	OR+AIN	Ansatz+Anteil	HERBAL_EXTENSION_49	1	0	H4	NONE	SECTIONAL_CARD_WITH_SHARED_BRIDGE_ATOM
MC074	chdy	chdy|chedy	CHD+Y	umsetzen+Posten	SHARED_17	1	10	H4	B1|B3|B4|B5	PORTABLE_EXACT_BRIDGE_CARD
MC075	ycheor	ycheor	Y+CHEO+OR	Posten+Auszug+Ansatz	HERBAL_EXTENSION_49	1	0	H2	NONE	SPECIALIST_TABLET_CARD
MC077	kchal	kchal	KCH+AL	bearbeiten+Ziel	HERBAL_EXTENSION_49	1	0	H5	NONE	SECTIONAL_CARD_WITH_PORTABLE_CORE_ATOMS
MC080	chor	chor|or|shor|sor	OR	Ansatz	SHARED_17	5	2	H2|H4	B3|B4	PORTABLE_EXACT_CORE_CARD
MC085	cheoar	cheoar	CHEO+AR	Auszug+Quelle	HERBAL_EXTENSION_49	1	0	H4	NONE	SPECIALIST_TABLET_CARD
MC086	chety	chety|chty	PARTITION+TY	teilen+Teil	SHARED_17	1	1	H1	B3	PORTABLE_EXACT_BRIDGE_CARD
MC087	chodaiin	chodaiin	HO+AIIN	Zutat+Sollmaß	HERBAL_EXTENSION_49	1	0	H2	NONE	SPECIALIST_TABLET_CARD
MC090	kchol	kchol	KCH+OL	bearbeiten+weiter	HERBAL_EXTENSION_49	1	0	H5	NONE	SECTIONAL_CARD_WITH_PORTABLE_CORE_ATOMS
MC098	tshol	tshol	HO+L	Zutat+abführen	HERBAL_EXTENSION_49	1	0	H3	NONE	SPECIALIST_TABLET_CARD
MC099	cheeckhody	cheeckhody	EE+CKH+HO+CLOSE	länger+Durchlass+Zutat+Schluss	HERBAL_EXTENSION_49	1	0	H5	NONE	SPECIALIST_TABLET_CARD
MC100	ody	ody	ODY	kühlen	HERBAL_EXTENSION_49	1	0	H4	NONE	SPECIALIST_TABLET_CARD
MC103	chokchy	chokchy|okchy|qokchy	OK+Y	ansetzen+Posten	HERBAL_EXTENSION_49	3	0	H1|H5	NONE	SECTIONAL_CARD_WITH_PORTABLE_CORE_ATOMS
MC104	keol	keol	E+OL	kurz+weiter	HERBAL_EXTENSION_49	1	0	H5	NONE	SECTIONAL_CARD_WITH_PORTABLE_CORE_ATOMS
MC107	qotchy	qotchy	OT+Y	danach+Posten	HERBAL_EXTENSION_49	1	0	H3	NONE	SECTIONAL_CARD_WITH_PORTABLE_CORE_ATOMS
MC108	etyd	etyd	E+TY	kurz+Teil	HERBAL_EXTENSION_49	1	0	H1	NONE	SECTIONAL_CARD_WITH_PORTABLE_CORE_ATOMS
MC111	shfydaiin	shfydaiin	SH+AIIN	halten+Sollmaß	HERBAL_EXTENSION_49	1	0	H3	NONE	SECTIONAL_CARD_WITH_PORTABLE_CORE_ATOMS
MC114	sh	sh	SH	halten	HERBAL_EXTENSION_49	1	0	H5	NONE	SECTIONAL_CARD_WITH_PORTABLE_CORE_ATOMS
MC115	qoctholy	qoctholy	CTH+OL+Y	bereit+weiter+Posten	HERBAL_EXTENSION_49	1	0	H2	NONE	SECTIONAL_CARD_WITH_PORTABLE_CORE_ATOMS
MC117	kchy	kchy	KCH+Y	bearbeiten+Posten	HERBAL_EXTENSION_49	1	0	H3	NONE	SECTIONAL_CARD_WITH_PORTABLE_CORE_ATOMS
MC119	cheey	cheey|shey	CHEEY	Ergebnis	SHARED_17	1	3	H3	B2|B4	PORTABLE_EXACT_BRIDGE_CARD
MC120	okaiin	okaiin|qokaiin	OK+AIIN	ansetzen+Sollmaß	SHARED_17	1	8	H4	B1|B2|B3	PORTABLE_EXACT_CORE_CARD
MC122	kchey	kchey	KCH+E+Y	bearbeiten+kurz+Posten	HERBAL_EXTENSION_49	1	0	H5	NONE	SECTIONAL_CARD_WITH_PORTABLE_CORE_ATOMS
MC123	chey	chey|chy|dy|shy|sy|y	Y	Posten	SHARED_17	9	9	H2|H3|H4	B1|B2|B3|B4|B6	PORTABLE_EXACT_CORE_CARD
MC125	chochor	chochor	HO+OR	Zutat+Ansatz	HERBAL_EXTENSION_49	1	0	H5	NONE	SPECIALIST_TABLET_CARD
MC129	cfhy	cfhy	CFH+Y	auswringen+Posten	HERBAL_EXTENSION_49	1	0	H3	NONE	SPECIALIST_TABLET_CARD
MC131	choy	choy	HO+Y	Zutat+Posten	HERBAL_EXTENSION_49	1	0	H5	NONE	SPECIALIST_TABLET_CARD
MC136	kchoar	kchoar	CHEO+AR	Auszug+Quelle	HERBAL_EXTENSION_49	1	0	H5	NONE	SPECIALIST_TABLET_CARD
MC142	dchol	dchol|schol	DCHOL	vorher	HERBAL_EXTENSION_49	2	0	H3|H5	NONE	SPECIALIST_TABLET_CARD
MC148	ykan	ykan	Y+AIN	Posten+Anteil	HERBAL_EXTENSION_49	1	0	H4	NONE	SECTIONAL_CARD_WITH_SHARED_BRIDGE_ATOM
MC153	cheol	cheol|chol|ol|qol|sol|tol	OL	weiter	SHARED_17	3	16	H1|H2	B1|B3|B4|B5|B6	PORTABLE_EXACT_CORE_CARD
MC154	al	al|chal|cheal|dal|sal|tal	AL	Ziel	SHARED_17	1	9	H5	B1|B2|B3|B4|B5	PORTABLE_EXACT_CORE_CARD
MC156	cphy	cphy	CPH+Y	nachseihen+Posten	HERBAL_EXTENSION_49	1	0	H3	NONE	SPECIALIST_TABLET_CARD
MC157	cholor	cholor|olor	OL+OR	weiter+Ansatz	SHARED_17	1	1	H2	B1	PORTABLE_EXACT_CORE_CARD
MC158	cthoor	cthoor	CTH+OR	bereit+Ansatz	HERBAL_EXTENSION_49	1	0	H1	NONE	SECTIONAL_CARD_WITH_PORTABLE_CORE_ATOMS
MC159	os	os	OS	Gefäß	HERBAL_EXTENSION_49	1	0	H1	NONE	SPECIALIST_TABLET_CARD
MC160	talam	talam	AL+AM	Ziel+verwahren	HERBAL_EXTENSION_49	1	0	H4	NONE	SPECIALIST_TABLET_CARD
MC161	checthy	checthy|cthy|shcthy	CTH+Y	bereit+Posten	SHARED_17	3	4	H1|H2|H3	B3	PORTABLE_EXACT_CORE_CARD
MC163	qotchol	qotchol	OT+OL	danach+weiter	HERBAL_EXTENSION_49	1	0	H1	NONE	SECTIONAL_CARD_WITH_PORTABLE_CORE_ATOMS
MC169	cthaiin	cthaiin	CTH+AIIN	bereit+Sollmaß	HERBAL_EXTENSION_49	1	0	H2	NONE	SECTIONAL_CARD_WITH_PORTABLE_CORE_ATOMS
MC170	ykaiin	ykaiin	Y+AIIN	Posten+Sollmaß	HERBAL_EXTENSION_49	1	0	H4	NONE	SECTIONAL_CARD_WITH_PORTABLE_CORE_ATOMS
MC171	otchey	otchey	OT+Y	danach+Posten	SHARED_17	1	1	H5	B4	PORTABLE_EXACT_CORE_CARD
