master_card_id	master_form	registered_surfaces	semantic_atoms	short_default_de	section_deck_status	herbal_event_count	biological_event_count	herbal_records	biological_records	final_teaching_tier
MC001	chdal	chdal	CHD+AL	umsetzen+Ziel	BIOLOGICAL_EXTENSION_107	0	1	NONE	B5	SECTIONAL_CARD_WITH_SHARED_BRIDGE_ATOM
MC002	okeey	okeey|qokeey	OK+EE+Y	ansetzen+länger+Posten	BIOLOGICAL_EXTENSION_107	0	7	NONE	B1|B2|B3|B4	SECTIONAL_CARD_WITH_PORTABLE_CORE_ATOMS
MC003	sheedy	sheedy	SHED+EE+CLOSE	absetzen+länger+Schluss	BIOLOGICAL_EXTENSION_107	0	1	NONE	B3	SPECIALIST_TABLET_CARD
MC004	ldy	ldy	L+CLOSE	abführen+Schluss	BIOLOGICAL_EXTENSION_107	0	2	NONE	B2|B3	SECTIONAL_CARD_WITH_SHARED_BRIDGE_ATOM
MC005	okchedy	okchedy|qokchedy	OK+CHD+CLOSE	ansetzen+umsetzen+Schluss	BIOLOGICAL_EXTENSION_107	0	2	NONE	B1|B3	SECTIONAL_CARD_WITH_SHARED_BRIDGE_ATOM
MC006	chokcheo	chokcheo	OK+CHEO	ansetzen+Auszug	HERBAL_EXTENSION_49	1	0	H5	NONE	SPECIALIST_TABLET_CARD
MC007	okey	okey|qokey	OK+E+Y	ansetzen+kurz+Posten	BIOLOGICAL_EXTENSION_107	0	2	NONE	B1|B2	SECTIONAL_CARD_WITH_PORTABLE_CORE_ATOMS
MC008	lchy	lchy	L+Y	abführen+Posten	BIOLOGICAL_EXTENSION_107	0	1	NONE	B2	SECTIONAL_CARD_WITH_SHARED_BRIDGE_ATOM
MC009	chary	chary	AR+Y	Quelle+Posten	BIOLOGICAL_EXTENSION_107	0	1	NONE	B3	SECTIONAL_CARD_WITH_PORTABLE_CORE_ATOMS
MC010	chodaly	chodaly	HO+AL+Y	Zutat+Ziel+Posten	HERBAL_EXTENSION_49	1	0	H5	NONE	SPECIALIST_TABLET_CARD
