event_id	statement_id	surface	joint_tuple_id	operation	register_before	register_after	working_reading_de
E018	H2-S001	cthaiin	f3c23f42baf625639e1e	CRUSH	PLANT_MASS	CRUSHED_PLANT_MASS	Kraut zerstoßen
E019	H2-S001	qoctholy	af816c04e65874a0f2fa	PRESS_SPLIT	CRUSHED_PLANT_MASS	PRESS_PAIR	in Flüssigkeit und Pressmasse trennen
E020	H2-S001	dy	b921a237be883a820352	OPEN_REFERENT_1	PRESS_PAIR	PRESSED_LIQUID	ausgepresste Flüssigkeit als Posten 1
E021	H2-S001	chy	b921a237be883a820352	OPEN_REFERENT_2	PRESS_PAIR	PRESSED_PLANT_MASS	feuchte Pressmasse als Posten 2
E022	H2-S001	taiin	2f1c5e56e8f0ff459065	BIND_PAIR_MEASURE	PRESSED_LIQUID|PRESSED_PLANT_MASS	MEASURED_PRESS_PAIR	Sollverhältnis der zwei Pressposten setzen
E023	H2-S001	shy	b921a237be883a820352	KEEP_PAIR_ACTIVE	MEASURED_PRESS_PAIR	ACTIVE_PRESS_PAIR	das abgemessene Paar weiterführen
E028	H2-S002	cholor	dec401773c1f0347793d	RECALL_PREVIOUS_BRANCH	FOLLOW_ON_BATCH	TWO_ACTIVE_PREPARATIONS	vorigen Zweig wieder hinzunehmen
E033	H2-S003	shor	7a4bb8136330ee4e6e56	RECALL_PREPARATION_1	TWO_ACTIVE_PREPARATIONS	FOLLOW_ON_PREPARATION	Folgezubereitung in das Gefäß setzen
E034	H2-S003	chor	7a4bb8136330ee4e6e56	RECALL_PREPARATION_2	TWO_ACTIVE_PREPARATIONS	PRIMARY_PREPARATION	vorige Presszubereitung in das Gefäß setzen
E035	H2-S003	chy	b921a237be883a820352	COLLAPSE_TO_CURRENT	FOLLOW_ON_PREPARATION|PRIMARY_PREPARATION	COMBINED_VESSEL_ITEM	beide als einen Gefäßposten weiterführen
